doc_id	camp	valor_origen	correccio	motiu
temes/costums/calendari-festiu/calendari-festiu	redistribucio	False	no	valor original preservat; enum derivat per al corpus
temes/costums/calendari-festiu/el-carnaval-dencamp	redistribucio	False	no	valor original preservat; enum derivat per al corpus
temes/costums/caramelles/les-caramelles	redistribucio	False	no	valor original preservat; enum derivat per al corpus
temes/costums/danses/danses	redistribucio	False	no	valor original preservat; enum derivat per al corpus
temes/costums/danses/el-ball-del-cerda	redistribucio	False	no	valor original preservat; enum derivat per al corpus
temes/costums/danses/el-contrapas	redistribucio	False	no	valor original preservat; enum derivat per al corpus
temes/costums/festes-majors/el-calendari-de-les-festes-majors	redistribucio	False	no	valor original preservat; enum derivat per al corpus
temes/costums/festes-majors/festes-majors	redistribucio	False	no	valor original preservat; enum derivat per al corpus
temes/costums/meritxell/meritxell	redistribucio	False	no	valor original preservat; enum derivat per al corpus
temes/costums/ritus-de-pas/la-passa	redistribucio	False	no	valor original preservat; enum derivat per al corpus
temes/costums/sant-antoni/escudelles-de-sant-antoni	redistribucio	False	no	valor original preservat; enum derivat per al corpus
temes/cultura/arquitectura/espai-columba	redistribucio	False	no	valor original preservat; enum derivat per al corpus
temes/cultura/llegendes/el-buner-dordino	redistribucio	False	no	valor original preservat; enum derivat per al corpus
temes/cultura/llegendes/el-llac-dengolasters	redistribucio	False	no	valor original preservat; enum derivat per al corpus
temes/cultura/llegendes/la-troballa-de-meritxell	redistribucio	False	no	valor original preservat; enum derivat per al corpus
temes/cultura/museus-i-arxius/com-sentra-a-larxiu-nacional	redistribucio	citacio	pendent	valor original preservat; enum derivat per al corpus
temes/cultura/museus-i-arxius/museus/museu-de-la-moto-i-centre-de-natura	redistribucio	False	no	valor original preservat; enum derivat per al corpus
temes/cultura/musica-i-cancons/musica-i-cancons	redistribucio	False	no	valor original preservat; enum derivat per al corpus
temes/economia/banca-i-fiscalitat/contribucio-industrial-comerc-1849	redistribucio	Rendicions d’imatge conservades per a recerca interna; no es publica una transcripció reutilitzable	no	valor original preservat; enum derivat per al corpus
temes/economia/banca-i-fiscalitat/conveni-banc-agricol-caixa-pensions-1934	redistribucio	Es conserva una previsualització pública; no es publica una transcripció ni el document complet	no	valor original preservat; enum derivat per al corpus
temes/economia/banca-i-fiscalitat/el-cas-bpa	redistribucio	False	no	valor original preservat; enum derivat per al corpus
temes/economia/banca-i-fiscalitat/el-delme-es-converteix-en-tribut-eclesiastic-1905	redistribucio	instrument de descripció per a identificació, lectura i citació	pendent	valor original preservat; enum derivat per al corpus
temes/economia/banca-i-fiscalitat/la-carta-de-gracia	redistribucio	False	no	valor original preservat; enum derivat per al corpus
temes/economia/banca-i-fiscalitat/loperacio-catalunya	redistribucio	False	no	valor original preservat; enum derivat per al corpus
temes/economia/comerc/blat-cerdanya-parroquies-1904	redistribucio	Imatges conservades com a rendicions de consulta; no es publica una transcripció reutilitzable	no	valor original preservat; enum derivat per al corpus
temes/economia/transformacio-economica/enviaments-ferro-farga-areny-1808	redistribucio	Rendicions d’imatge conservades per a recerca interna; no es publica una transcripció reutilitzable	no	valor original preservat; enum derivat per al corpus
temes/economia/transformacio-economica/rebut-dandine-farga-1812	redistribucio	Rendició d’imatge conservada per a recerca interna; no es publica una transcripció reutilitzable	no	valor original preservat; enum derivat per al corpus
temes/economia/transport/les-carreteres	redistribucio	si, amb atribució	pendent	valor original preservat; enum derivat per al corpus
temes/economia/transport/pont-grau-seu-andorra-1595	redistribucio	Rendicions d’imatge conservades per a recerca interna; no es publica una transcripció reutilitzable	no	valor original preservat; enum derivat per al corpus
temes/economia/transport/primera-maquina-llevaneu-1936	redistribucio	Es conserva una previsualització pública per a recerca; no es publica com a material de lliure reutilització	no	valor original preservat; enum derivat per al corpus
temes/economia/turisme-i-neu/estacions/naturland	redistribucio	sí, amb atribució	pendent	valor original preservat; enum derivat per al corpus
temes/esports/altres-esports/pere-praxedes	redistribucio	si, amb atribució	pendent	valor original preservat; enum derivat per al corpus
temes/esports/seleccions/els-deu-primers-campions-del-1998	redistribucio	False	no	valor original preservat; enum derivat per al corpus
temes/esports/seleccions/els-dotze-campions-a-casa-del-2000	redistribucio	False	no	valor original preservat; enum derivat per al corpus
temes/esports/seleccions/els-dotze-campions-del-2024	redistribucio	False	no	valor original preservat; enum derivat per al corpus
temes/esports/seleccions/els-dotze-de-la-primera-final-del-2004	redistribucio	False	no	valor original preservat; enum derivat per al corpus
temes/esports/seleccions/els-dotze-del-triple-de-galera-del-2014	redistribucio	False	no	valor original preservat; enum derivat per al corpus
temes/esports/seleccions/els-dotze-dels-set-segons-del-2012	redistribucio	False	no	valor original preservat; enum derivat per al corpus
temes/gastronomia/rebosteria/la-coca-massegada	redistribucio	False	no	valor original preservat; enum derivat per al corpus
temes/historia/antic-regim/apoca-dot-ordino-1581	redistribucio	Imatges de consulta conservades per a recerca interna; no es publica una transcripció reutilitzable	no	valor original preservat; enum derivat per al corpus
temes/historia/antic-regim/cens-anual-empriu-lles-1600	redistribucio	Rendició parcial digitalitzada conservada per a recerca interna; no es publica com a transcripció reutilitzable	no	valor original preservat; enum derivat per al corpus
temes/historia/antic-regim/cens-empriu-lles-travesseres-1489	redistribucio	Pergamí digitalitzat conservat per a recerca interna; no es publica com a transcripció reutilitzable	no	valor original preservat; enum derivat per al corpus
temes/historia/antic-regim/censos-de-la-pera-1635-1642	redistribucio	Document digitalitzat conservat per a recerca interna; no es publica com a transcripció reutilitzable	no	valor original preservat; enum derivat per al corpus
temes/historia/antic-regim/concordia-lles-andorra-emprius-1570	redistribucio	Pergamí digitalitzat conservat per a recerca interna; no es publica com a transcripció reutilitzable	no	valor original preservat; enum derivat per al corpus
temes/historia/antic-regim/el-bisbe-bernat-de-salba-confirma-els-privilegis-1610	redistribucio	False	no	valor original preservat; enum derivat per al corpus
temes/historia/antic-regim/la-gabella-de-siguer-i-els-papers-de-caulet-1612-1615	redistribucio	False	no	valor original preservat; enum derivat per al corpus
temes/historia/antic-regim/la-reial-audiencia-i-empriu-pera-1572	redistribucio	Pergamí digitalitzat conservat per a recerca interna; no es publica com a transcripció reutilitzable	no	valor original preservat; enum derivat per al corpus
temes/historia/antic-regim/la-sentencia-que-protegeix-la-farina-dencamp-1606	redistribucio	False	no	valor original preservat; enum derivat per al corpus
temes/historia/antic-regim/la-vall-defensa-els-privilegis-davant-caramany-1618	redistribucio	False	no	valor original preservat; enum derivat per al corpus
temes/historia/antic-regim/la-vall-demana-mantenir-el-comerc-amb-franca-1604	redistribucio	False	no	valor original preservat; enum derivat per al corpus
temes/historia/antic-regim/la-vall-reivindica-els-seus-jutges-i-els-seus-bens-1612	redistribucio	False	no	valor original preservat; enum derivat per al corpus
temes/historia/antic-regim/lluis-xiii-confirma-els-privilegis-1611	redistribucio	False	no	valor original preservat; enum derivat per al corpus
temes/historia/antic-regim/ordinacions-cort-quadrilles-rodamons-1580	redistribucio	Rendicions d’imatge conservades per a recerca interna; no es publica una transcripció reutilitzable	no	valor original preservat; enum derivat per al corpus
temes/historia/antic-regim/privilegi-fira-sant-mateu-1542	redistribucio	PDF digitalitzat conservat per a recerca interna; no es publica com a text reutilitzable	no	valor original preservat; enum derivat per al corpus
temes/historia/antic-regim/privilegi-mercat-quinzenal-andorra-1512	redistribucio	PDF digitalitzat conservat per a recerca interna; no es publica com a text reutilitzable	no	valor original preservat; enum derivat per al corpus
temes/historia/antic-regim/privilegi-mercat-quinzenal-andorra-1516	redistribucio	PDF digitalitzat conservat per a recerca interna; no es publica com a text reutilitzable	no	valor original preservat; enum derivat per al corpus
temes/historia/antic-regim/rodalia-empriu-pera-1792	redistribucio	Document digitalitzat conservat per a recerca interna; no es publica com a transcripció reutilitzable	no	valor original preservat; enum derivat per al corpus
temes/historia/democratitzacio/democratitzacio	redistribucio	no; es conserva per a lectura i citació	pendent	valor original preservat; enum derivat per al corpus
temes/historia/democratitzacio/el-sufragi-femeni-andorra-1967-1973	redistribucio	no; es conserva per a lectura i citació	pendent	valor original preservat; enum derivat per al corpus
temes/historia/edat-mitjana/alberga-servitud-episcopal-1466	redistribucio	Imatges de consulta conservades per a recerca interna; no es publica una transcripció reutilitzable	no	valor original preservat; enum derivat per al corpus
temes/historia/edat-mitjana/andorra-defensa-emprius-lles-travesseres-1386	redistribucio	Pergamí digitalitzat conservat per a recerca interna; no es publica com a transcripció reutilitzable	no	valor original preservat; enum derivat per al corpus
temes/historia/edat-mitjana/concordia-batlle-1176-1379	redistribucio	PDF digitalitzat conservat per a recerca interna; no es publica com a text reutilitzable	no	valor original preservat; enum derivat per al corpus
temes/historia/edat-mitjana/concordia-pasturatge-castellbo-1543	redistribucio	Imatges de consulta conservades per a recerca interna; no es publica una transcripció reutilitzable	no	valor original preservat; enum derivat per al corpus
temes/historia/edat-mitjana/debitori-dot-margarida-vilar-1374	redistribucio	PDF digitalitzat conservat per a recerca interna; no es publica com a text reutilitzable	no	valor original preservat; enum derivat per al corpus
temes/historia/edat-mitjana/el-precepte-de-860-i-el-delme-del-ferro	redistribucio	derivat digital CARo reutilitzable segons Etalab 2.0; no es redistribueix una edició nova del llibre de 1943	pendent	valor original preservat; enum derivat per al corpus
temes/historia/edat-mitjana/el-proces-dels-emprius-de-cantabra-i-la-pera-1542	redistribucio	Procés digitalitzat conservat per a recerca interna; no es publica com a transcripció reutilitzable	no	valor original preservat; enum derivat per al corpus
temes/historia/edat-mitjana/franquesa-lleuda-muntanyes-foix-1366	redistribucio	PDF digitalitzat conservat per a recerca interna; no es publica com a text reutilitzable	no	valor original preservat; enum derivat per al corpus
temes/historia/edat-mitjana/franquesa-mesuratge-oli-seu-1265	redistribucio	PDF digitalitzat conservat per a recerca interna; no es publica com a text reutilitzable	no	valor original preservat; enum derivat per al corpus
temes/historia/edat-mitjana/la-memoria-de-la-cosenyoria-1347	redistribucio	False	no	valor original preservat; enum derivat per al corpus
temes/historia/edat-mitjana/la-venda-perpetua-delempriu-de-la-pera-1475	redistribucio	Unitat digitalitzada conservada per a recerca interna; no es publica com a transcripció reutilitzable	no	valor original preservat; enum derivat per al corpus
temes/historia/edat-mitjana/lleuda-agramunt-1493-1503	redistribucio	PDFs digitalitzats conservats per a recerca interna; no es publiquen com a text reutilitzable	no	valor original preservat; enum derivat per al corpus
