id	tipus	seccio	desti	usos	decisio	motiu	volatilitat	estat_buit	doc_id	font	familia_font	llicencia	redistribucio	domini	anys	entitats	estat_revisio
parla/oral/cal-pal-esther-jover#b1	avis	(preàmbul)	-	-	excloure	fitxa editorial de la tanda; la durada passa al frontmatter	-	-	parla/oral/cal-pal-esther-jover	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	2026,1347,1435,1961,1956,2018,2019	Andorra Recerca; Commons Attribution; Esther Jover; Cal Pal; Joan Pal; Anton Torres Armengol; Reig-Tribó; Evidentment Calpal; El Colomer; Jordi Fulla; Francina Pons	-
parla/oral/cal-pal-esther-jover#b2	cos	Estat de revisió	-	-	incloure	fora dels usos de dades	0.0	-	parla/oral/cal-pal-esther-jover	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	2026,1347,1435,1961,1956,2018,2019	Andorra Recerca; Commons Attribution; Esther Jover; Cal Pal; Joan Pal; Anton Torres Armengol; Reig-Tribó; Evidentment Calpal; El Colomer; Jordi Fulla; Francina Pons	-
parla/oral/cal-pal-esther-jover#b3	nota-treball	Llicència i atribució	-	-	excloure	referència local a raw/; paràgraf exclòs per higiene del chunk	-	-	parla/oral/cal-pal-esther-jover	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	2026,1347,1435,1961,1956,2018,2019	Andorra Recerca; Commons Attribution; Esther Jover; Cal Pal; Joan Pal; Anton Torres Armengol; Reig-Tribó; Evidentment Calpal; El Colomer; Jordi Fulla; Francina Pons	-
parla/oral/cal-pal-esther-jover#b4	taula-fitxa	Qui parla	-	-	excloure	passa al frontmatter com a «parlant»	-	-	parla/oral/cal-pal-esther-jover	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	2026,1347,1435,1961,1956,2018,2019	Andorra Recerca; Commons Attribution; Esther Jover; Cal Pal; Joan Pal; Anton Torres Armengol; Reig-Tribó; Evidentment Calpal; El Colomer; Jordi Fulla; Francina Pons	-
parla/oral/cal-pal-esther-jover#b5	transcripcio	La transcripció	llengua	llengua	pendent	veu originària sense verificar contra l'àudio: pendent-escolta	-	-	parla/oral/cal-pal-esther-jover	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	2026,1347,1435,1961,1956,2018,2019	Andorra Recerca; Commons Attribution; Esther Jover; Cal Pal; Joan Pal; Anton Torres Armengol; Reig-Tribó; Evidentment Calpal; El Colomer; Jordi Fulla; Francina Pons	-
parla/oral/cal-pal-esther-jover#b6	taula	Una troballa, i és bona	-	-	incloure	taula de dades conservada en Markdown	0.0	-	parla/oral/cal-pal-esther-jover	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	2026,1347,1435,1961,1956,2018,2019	Andorra Recerca; Commons Attribution; Esther Jover; Cal Pal; Joan Pal; Anton Torres Armengol; Reig-Tribó; Evidentment Calpal; El Colomer; Jordi Fulla; Francina Pons	-
parla/oral/cal-pal-esther-jover#b7	cos	Una troballa, i és bona	-	-	incloure	fora dels usos de dades	0.0	-	parla/oral/cal-pal-esther-jover	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	2026,1347,1435,1961,1956,2018,2019	Andorra Recerca; Commons Attribution; Esther Jover; Cal Pal; Joan Pal; Anton Torres Armengol; Reig-Tribó; Evidentment Calpal; El Colomer; Jordi Fulla; Francina Pons	-
parla/oral/cal-pal-esther-jover#b8	nota-treball	Una troballa, i és bona	-	-	excloure	el subjecte és «el corpus»	-	-	parla/oral/cal-pal-esther-jover	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	2026,1347,1435,1961,1956,2018,2019	Andorra Recerca; Commons Attribution; Esther Jover; Cal Pal; Joan Pal; Anton Torres Armengol; Reig-Tribó; Evidentment Calpal; El Colomer; Jordi Fulla; Francina Pons	-
parla/oral/cal-pal-esther-jover#b9	cos	La resta ja hi era	-	-	incloure	fora dels usos de dades	0.0	-	parla/oral/cal-pal-esther-jover	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	2026,1347,1435,1961,1956,2018,2019	Andorra Recerca; Commons Attribution; Esther Jover; Cal Pal; Joan Pal; Anton Torres Armengol; Reig-Tribó; Evidentment Calpal; El Colomer; Jordi Fulla; Francina Pons	-
parla/oral/cal-pal-esther-jover#b10	buit	Buits registrats	-	-	excloure	no-es-buit: limitació de la mostra	-	no-es-buit	parla/oral/cal-pal-esther-jover	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	2026,1347,1435,1961,1956,2018,2019	Andorra Recerca; Commons Attribution; Esther Jover; Cal Pal; Joan Pal; Anton Torres Armengol; Reig-Tribó; Evidentment Calpal; El Colomer; Jordi Fulla; Francina Pons	-
