fitxer	titol	estat	nota
raw/academic/andorra-1933/gonzalez-vilalta-2009/README.md	*La cruïlla andorrana de 1933: la revolució de la modernitat*	identificable	
raw/academic/ari/aiguat-1982/README.md	*Aiguats del 1982 — Andorra Recerca i Innovació i ICGC*	identificable	
raw/academic/ari/carta-pobla-2018/README.md	*Carlemany i Andorra — Història de la Carta Pobla*	identificable	
raw/academic/arxiu-nacional/camp-vermell-2009.README.md	Camp Vermell i els orígens de Sant Julià	identificable	
raw/academic/arxiu-nacional/inventari-set-claus/README.md	Inventari de l’Arxiu de les Set Claus	identificable	
raw/academic/arxiu-nacional/necropolis-andorranes-2012.README.md	Les necròpolis andorranes (2012)	identificable	
raw/academic/arxiu-nacional/roc-enclar-comunitat-rural-1997.README.md	El Roc d’Enclar com a comunitat rural (1997)	identificable	
raw/academic/arxiu-nacional/tribunal-corts/tc-6237/README.md	Expedient TC-6237 del Tribunal de Corts	identificable	
raw/academic/arxiu-nacional/tribunal-corts/tc-6238/README.md	Expedient TC-6238 del Tribunal de Corts	identificable	
raw/academic/arxiu-nacional/tribunal-corts/tc-6242/README.md	Expedient TC-6242 del Tribunal de Corts	identificable	
raw/academic/arxiu-nacional/tribunal-corts/tc-6243/README.md	Expedient TC-6243 del Tribunal de Corts	identificable	
raw/academic/arxiu-nacional/tribunal-corts/tc-6249/README.md	Expedient TC-6249 del Tribunal de Corts	identificable	
raw/academic/diades/1991-referendums/README.md	*El futur d’Andorra* — reforma institucional i referèndums de 1977–1978	identificable	
raw/academic/enciclopedia/README.md	Segon pariatge d’Andorra (1288)	identificable	
raw/academic/enciclopedia/sant-vicenc-enclar.README.md	Sant Vicenç d’Enclar (Andorra la Vella) — captura local	identificable	
raw/academic/energia-andorra/codina-carbo-farga-2010.README.md	*El carbó vegetal i la farga a Andorra*	identificable	
raw/academic/evasions/lang-valchs-2016/README.md	*Els refugiats “andorrans” de la Guerra Civil Espanyola — Una aproximació*	identificable	
raw/academic/historiografia/caro-charles-860.README.md	Precepte de Carles el Calb per a l'església d'Urgell (860)	identificable	
raw/academic/iec/sant-vicenc-andorra.README.md	La disgregació del món ibèric a la Vall d’Andorra — captura local	identificable	
raw/academic/madriu-neolithic.README.md	*Madriu–Perafita–Claror: ocupació neolítica i calcolítica*	identificable	
raw/academic/papers-recerca/constitucio-boris-1934/README.md	*El rei rus d’Andorra: fantasies i fets* — annex de la Constitució de 1934	identificable	
raw/academic/papers-recerca/reforma-institucional-1975-1981/README.md	*De nosaltres a Simeón de Guinda passant per Fiter i Rossell* — Joan Massa (2023)	identificable	
raw/academic/raco/taxes-notaris-1356/README.md	Taxes dels notaris andorrans (1356)	identificable	
raw/academic/sigillografia/bernat-salba-1610/README.md	Ferran de Sagarra — *Sigil·lografia catalana*, volum III	identificable	
raw/consell-general/actes-historiques/dcg-18-1990-reforma-institucional.README.md	*Acta 18/1990* — discurs del copríncep Joan Martí sobre la reforma institucional	identificable	
raw/consell-general/actes-historiques/introduccio-llibre-iv-1743-1864.README.md	*Introducció al Llibre IV* — 1743–1864	identificable	
raw/consell-general/actes-historiques/llibre-iii-1682-1744.README.md	Llibre III de les Actes del Consell General (1682–1744)	identificable	
raw/consell-general/actes-historiques/llibre-iv-1743-1864.README.md	*Llibre IV de les Actes del Consell General* — 1743–1864	identificable	
raw/corpus-parla-andorrana/README.md	Corpus independent de parla andorrana	identificable	
raw/corpus-parla-andorrana/grafo/README.md	Graf independent del corpus de parla andorrana	identificable	
raw/corpus-parla-andorrana/proveniencia/README.md	Proveniència del corpus independent	identificable	
raw/corpus-parla-andorrana/proveniencia/candidats/README.md	Candidats fora del recompte canònic	identificable	
raw/corpus-parla-andorrana/proveniencia/candidats/lead-cg-001-xavier-espot/README.md	Procedència — candidat Consell General — Xavier Espot	identificable	
raw/corpus-parla-andorrana/proveniencia/candidats/lead-cg-001-xavier-espot/graf/README.md	Graf provisional — Xavier Espot	identificable	
raw/corpus-parla-andorrana/proveniencia/candidats/lead-cg-002-pere-lopez/README.md	Procedència — candidat Consell General — Pere López	identificable	
raw/corpus-parla-andorrana/proveniencia/candidats/lead-cg-003-roser-sune/README.md	Procedència — candidata Consell General — Roser Suñé	identificable	
raw/corpus-parla-andorrana/proveniencia/candidats/lead-rtva-001/README.md	Procedència — candidat RTVA — Joan Verdú	identificable	
raw/corpus-parla-andorrana/proveniencia/candidats/lead-rtva-001/graf/README.md	Graf provisional — Joan Verdú	identificable	
raw/corpus-parla-andorrana/proveniencia/candidats/lead-rtva-002-ian-moya/README.md	Procedència — candidat RTVA — Ian Moya	identificable	
raw/corpus-parla-andorrana/proveniencia/candidats/lead-rtva-002-ian-moya/graf/README.md	Graf provisional — Ian Moya	identificable	
raw/corpus-parla-andorrana/proveniencia/candidats/lead-rtva-003-dj-neura/README.md	Procedència — candidat RTVA — DJ Neura	identificable	
raw/corpus-parla-andorrana/proveniencia/candidats/lead-rtva-003-dj-neura/graf/README.md	Graf provisional — DJ Neura	identificable	
raw/corpus-parla-andorrana/proveniencia/candidats/lead-rtva-004-joan-mico/README.md	Procedència — candidat RTVA — Joan Micó	identificable	
raw/corpus-parla-andorrana/proveniencia/candidats/lead-rtva-004-joan-mico/graf/README.md	Graf provisional — Joan Micó	identificable	
raw/corpus-parla-andorrana/proveniencia/candidats/lead-rtva-005-carine-montaner/README.md	Procedència — candidata RTVA — Carine Montaner	identificable	
raw/corpus-parla-andorrana/proveniencia/candidats/lead-rtva-006-jaume-tomas/README.md	Procedència — candidat RTVA — Jaume Tomàs	identificable	
raw/corpus-parla-andorrana/proveniencia/candidats/lead-rtva-007-robert-guirao/README.md	Procedència — candidat RTVA — Robert Guirao	identificable	
raw/corpus-parla-andorrana/proveniencia/candidats/lead-rtva-008-mireia-pedescoll/README.md	Procedència — candidata RTVA — Mireia Pedescoll	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-001/README.md	Procedència — pa-001 — Albert Gelabert Grau	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-002/README.md	Procedència — pa-002 — Jordi Farràs Forné	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-003/README.md	Procedència — pa-003 — Roser Bastida	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-004/README.md	Procedència — pa-004 — Francina Pons	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-005/README.md	Procedència — pa-005 — Ludmilla Lacueva	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-006/README.md	Procedència — pa-006 — Alan Ward	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-007/README.md	Procedència — pa-007 — Alfred Llahí	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-008/README.md	Procedència — pa-008 — Albert Roig	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-009/README.md	Procedència — pa-009 — Robert Lizarte	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-010/README.md	Procedència — pa-010 — Xavier Planas	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-011/README.md	Procedència — pa-011 — Esther Jover	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-012/README.md	Procedència — pa-012 — Albert Rossa Naudí	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-013/README.md	Procedència — pa-013 — Ruth Casabella	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-014/README.md	Procedència — pa-014 — Teo Armengol	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-015/README.md	Procedència — pa-015 — Sara Ubach	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-016/README.md	Procedència — pa-016 — Olga Adellach Coma	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-017/README.md	Procedència — pa-017 — Nadia Aleix Tugas	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-018/README.md	Procedència — pa-018 — Miquel Aleix Areny	identificable	
