id_a	id_b	n_dimensions	distancia_z	dimensions	formes_compartides_asr	estat
spk-001	spk-005	6	1.1989	f0_hz,f1_hz,f2_hz,f3_hz,pausa_mediana_s,veu_proporcio	10	semblança acústica exploratòria; pendent d'audició
spk-001	spk-008	6	1.1932	f0_hz,f1_hz,f2_hz,f3_hz,pausa_mediana_s,veu_proporcio	8	semblança acústica exploratòria; pendent d'audició
spk-001	spk-022	6	1.2460	f0_hz,f1_hz,f2_hz,f3_hz,pausa_mediana_s,veu_proporcio	8	semblança acústica exploratòria; pendent d'audició
spk-001	spk-024	6	0.7435	f0_hz,f1_hz,f2_hz,f3_hz,pausa_mediana_s,veu_proporcio	12	semblança acústica exploratòria; pendent d'audició
spk-001	spk-031	6	1.3214	f0_hz,f1_hz,f2_hz,f3_hz,pausa_mediana_s,veu_proporcio	6	semblança acústica exploratòria; pendent d'audició
spk-001	spk-032	6	1.1677	f0_hz,f1_hz,f2_hz,f3_hz,pausa_mediana_s,veu_proporcio	4	semblança acústica exploratòria; pendent d'audició
spk-001	spk-039	6	1.0930	f0_hz,f1_hz,f2_hz,f3_hz,pausa_mediana_s,veu_proporcio	8	semblança acústica exploratòria; pendent d'audició
spk-001	spk-043	6	1.1374	f0_hz,f1_hz,f2_hz,f3_hz,pausa_mediana_s,veu_proporcio	9	semblança acústica exploratòria; pendent d'audició
spk-001	spk-048	6	1.2346	f0_hz,f1_hz,f2_hz,f3_hz,pausa_mediana_s,veu_proporcio	10	semblança acústica exploratòria; pendent d'audició
spk-001	spk-049	6	1.0292	f0_hz,f1_hz,f2_hz,f3_hz,pausa_mediana_s,veu_proporcio	7	semblança acústica exploratòria; pendent d'audició
spk-001	spk-053	6	1.2698	f0_hz,f1_hz,f2_hz,f3_hz,pausa_mediana_s,veu_proporcio	7	semblança acústica exploratòria; pendent d'audició
spk-001	spk-058	6	0.9625	f0_hz,f1_hz,f2_hz,f3_hz,pausa_mediana_s,veu_proporcio	5	semblança acústica exploratòria; pendent d'audició
