id_a	id_b	distancia_mad	features	nota
pa-001	pa-034	2.663	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-001	pa-032	2.943	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-001	pa-031	3.022	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-002	pa-061	21.161	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-002	pa-003	56.113	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-002	pa-021	62.390	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-003	pa-021	12.551	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-003	pa-011	17.473	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-003	pa-043	18.419	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-004	pa-008	15.896	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-004	pa-066	16.325	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-004	pa-026	17.310	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-005	pa-009	18.652	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-005	pa-008	18.841	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-005	pa-048	19.178	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-006	pa-048	7.567	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-006	pa-032	8.139	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-006	pa-037	8.277	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-007	pa-059	4.953	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-007	pa-017	4.995	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-007	pa-049	5.303	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-008	pa-048	6.015	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-008	pa-009	6.095	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-008	pa-045	6.597	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-009	pa-048	4.704	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-009	pa-045	4.801	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-009	pa-020	5.555	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-010	pa-031	6.804	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-010	pa-025	7.482	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-010	pa-059	7.811	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-011	pa-043	7.413	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-011	pa-066	10.143	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-011	pa-042	11.788	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-012	pa-013	17.883	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-012	pa-015	19.844	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-011	pa-012	21.645	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-007	pa-013	18.198	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-013	pa-015	18.245	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-014	pa-035	3.743	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-014	pa-032	6.044	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-014	pa-028	6.125	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-015	pa-053	16.350	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-015	pa-052	18.243	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-016	pa-020	2.338	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-016	pa-038	2.899	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-016	pa-040	2.959	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-017	pa-059	0.318	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-017	pa-020	2.251	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-017	pa-031	2.274	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-018	pa-065	4.991	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-018	pa-062	6.079	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-018	pa-055	6.435	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-019	pa-057	1.422	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-019	pa-029	1.634	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-019	pa-033	2.357	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-020	pa-059	2.359	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-021	pa-043	10.549	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-011	pa-021	13.944	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-022	pa-027	2.667	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
