origen	desti	relacio	pes	evidencia
pa-001	trait-be	usa	10	recompte ASR; revisió auditiva pendent
pa-002	trait-be	usa	11	recompte ASR; revisió auditiva pendent
pa-003	trait-be	usa	3	recompte ASR; revisió auditiva pendent
pa-004	trait-be	usa	4	recompte ASR; revisió auditiva pendent
pa-005	trait-be	usa	3	recompte ASR; revisió auditiva pendent
pa-006	trait-be	usa	3	recompte ASR; revisió auditiva pendent
pa-007	trait-be	usa	1	recompte ASR; revisió auditiva pendent
pa-008	trait-be	usa	3	recompte ASR; revisió auditiva pendent
pa-009	trait-be	usa	2	recompte ASR; revisió auditiva pendent
pa-010	trait-be	usa	3	recompte ASR; revisió auditiva pendent
pa-011	trait-be	usa	2	recompte ASR; revisió auditiva pendent
pa-012	trait-be	usa	12	recompte ASR; revisió auditiva pendent
pa-013	trait-be	usa	1	recompte ASR; revisió auditiva pendent
pa-014	trait-be	usa	8	recompte ASR; revisió auditiva pendent
pa-015	trait-be	usa	3	recompte ASR; revisió auditiva pendent
pa-016	trait-be	usa	5	recompte ASR; revisió auditiva pendent
pa-017	trait-be	usa	4	recompte ASR; revisió auditiva pendent
pa-018	trait-be	usa	6	recompte ASR; revisió auditiva pendent
pa-019	trait-be	usa	6	recompte ASR; revisió auditiva pendent
pa-020	trait-be	usa	24	recompte ASR; revisió auditiva pendent
pa-021	trait-be	usa	16	recompte ASR; revisió auditiva pendent
pa-022	trait-be	usa	4	recompte ASR; revisió auditiva pendent
pa-023	trait-be	usa	2	recompte ASR; revisió auditiva pendent
pa-024	trait-be	usa	8	recompte ASR; revisió auditiva pendent
pa-025	trait-be	usa	3	recompte ASR; revisió auditiva pendent
pa-026	trait-be	usa	23	recompte ASR; revisió auditiva pendent
pa-027	trait-be	usa	6	recompte ASR; revisió auditiva pendent
pa-028	trait-be	usa	3	recompte ASR; revisió auditiva pendent
pa-029	trait-be	usa	14	recompte ASR; revisió auditiva pendent
pa-030	trait-be	usa	8	recompte ASR; revisió auditiva pendent
pa-031	trait-be	usa	2	recompte ASR; revisió auditiva pendent
pa-032	trait-be	usa	3	recompte ASR; revisió auditiva pendent
pa-033	trait-be	usa	3	recompte ASR; revisió auditiva pendent
pa-034	trait-be	usa	25	recompte ASR; revisió auditiva pendent
pa-035	trait-be	usa	3	recompte ASR; revisió auditiva pendent
pa-036	trait-be	usa	4	recompte ASR; revisió auditiva pendent
pa-037	trait-be	usa	5	recompte ASR; revisió auditiva pendent
pa-038	trait-be	usa	25	recompte ASR; revisió auditiva pendent
pa-039	trait-be	usa	8	recompte ASR; revisió auditiva pendent
pa-040	trait-be	usa	3	recompte ASR; revisió auditiva pendent
pa-041	trait-be	usa	3	recompte ASR; revisió auditiva pendent
pa-045	trait-be	usa	8	recompte ASR; revisió auditiva pendent
pa-046	trait-be	usa	13	recompte ASR; revisió auditiva pendent
pa-048	trait-be	usa	2	recompte ASR; revisió auditiva pendent
pa-049	trait-be	usa	10	recompte ASR; revisió auditiva pendent
pa-053	trait-be	usa	1	recompte ASR; revisió auditiva pendent
pa-054	trait-be	usa	4	recompte ASR; revisió auditiva pendent
pa-055	trait-be	usa	17	recompte ASR; revisió auditiva pendent
pa-056	trait-be	usa	8	recompte ASR; revisió auditiva pendent
pa-057	trait-be	usa	12	recompte ASR; revisió auditiva pendent
pa-058	trait-be	usa	6	recompte ASR; revisió auditiva pendent
pa-059	trait-be	usa	5	recompte ASR; revisió auditiva pendent
pa-060	trait-be	usa	1	recompte ASR; revisió auditiva pendent
pa-061	trait-be	usa	6	recompte ASR; revisió auditiva pendent
pa-062	trait-be	usa	4	recompte ASR; revisió auditiva pendent
pa-063	trait-be	usa	12	recompte ASR; revisió auditiva pendent
pa-064	trait-be	usa	6	recompte ASR; revisió auditiva pendent
pa-065	trait-be	usa	6	recompte ASR; revisió auditiva pendent
