origen	desti	relacio	evidencia
pa-001	prosodia-2	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-002	prosodia-4	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-003	prosodia-3	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-004	prosodia-4	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-005	prosodia-4	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-006	prosodia-2	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-007	prosodia-3	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-008	prosodia-2	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-009	prosodia-2	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-010	prosodia-2	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-011	prosodia-3	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-012	prosodia-3	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-013	prosodia-3	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-014	prosodia-2	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-015	prosodia-1	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-016	prosodia-2	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-017	prosodia-2	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-018	prosodia-2	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-019	prosodia-2	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-020	prosodia-2	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-021	prosodia-2	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-022	prosodia-2	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-023	prosodia-2	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-024	prosodia-3	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-025	prosodia-2	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-026	prosodia-4	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-027	prosodia-2	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-028	prosodia-2	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-029	prosodia-2	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-030	prosodia-2	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-031	prosodia-2	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-032	prosodia-2	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-033	prosodia-2	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-034	prosodia-2	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-035	prosodia-2	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-036	prosodia-2	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-037	prosodia-2	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-038	prosodia-3	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-039	prosodia-2	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-040	prosodia-2	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-041	prosodia-3	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-042	prosodia-3	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-043	prosodia-3	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-045	prosodia-4	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-046	prosodia-2	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-048	prosodia-4	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-049	prosodia-2	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-051	prosodia-1	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-052	prosodia-1	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-053	prosodia-1	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-054	prosodia-1	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-055	prosodia-4	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-056	prosodia-2	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-057	prosodia-2	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-058	prosodia-2	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-059	prosodia-2	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-060	prosodia-2	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-061	prosodia-3	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-062	prosodia-4	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-063	prosodia-2	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-064	prosodia-2	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-065	prosodia-2	semblança acústica exploratòria	WAV; revisió auditiva pendent
pa-066	prosodia-3	semblança acústica exploratòria	WAV; revisió auditiva pendent
