origen	desti	relacio	pes	evidencia
pa-004	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-005	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-006	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-007	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-008	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-009	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-010	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-011	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-012	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-014	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-015	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-016	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-017	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-018	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-019	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-020	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-021	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-022	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-023	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-025	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-026	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-027	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-028	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-029	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-030	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-031	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-032	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-033	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-034	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-035	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-036	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-037	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-038	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-039	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-040	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-041	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-045	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-046	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-048	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
