id_a	id_b	formes_compartides	formes	nota
pa-001	pa-002	40	a nivell;a veure;bueno;bé;clar;contacte_castella_candidat=bueno;copríncep;de fet;evidentment;llavors;negacio_lexical_candidat=mai;negacio_lexical_candidat=tampoc;no?;per tant;perifrasi_past_candidata=va anar;perifrasi_past_candidata=va dir;perifrasi_past_candidata=va fer;perifrasi_past_candidata=va haver;perifrasi_past_candidata=va manifestar;perifrasi_past_candidata=va parlar;perifrasi_past_candidata=va passar;perifrasi_past_candidata=va ser;perifrasi_past_candidata=va sortir;perifrasi_past_candidata=va veure;perifrasi_past_candidata=vaig dir;perifrasi_past_candidata=vaig quedar;perifrasi_past_candidata=van anar;perifrasi_past_candidata=van fer;perquè;possessius_candidat=meu;possessius_candidat=meva;possessius_candidat=nostres;possessius_candidat=seu;possessius_candidat=seus;pronom_en_candidat=en;pronom_hi_candidat=hi;pronom_ho_candidat=ho;veguer;vull dir;és a dir	semblança textual ASR ampliada; no és classificació dialectal
pa-001	pa-003	17	a nivell;aleshores;andorrana;bueno;bé;clar;contacte_castella_candidat=bueno;de fet;evidentment;perifrasi_past_candidata=va haver;perifrasi_past_candidata=va ser;perquè;possessius_candidat=meu;possessius_candidat=meva;pronom_en_candidat=en;pronom_hi_candidat=hi;és a dir	semblança textual ASR ampliada; no és classificació dialectal
pa-001	pa-004	16	bé;de fet;evidentment;negacio_lexical_candidat=tampoc;no?;per tant;perifrasi_past_candidata=va ser;perifrasi_past_candidata=van anar;perifrasi_past_candidata=van fer;perifrasi_past_candidata=van quedar;perquè;possessius_candidat=seu;pronom_en_candidat=en;pronom_hi_candidat=hi;pronom_ho_candidat=ho;vull dir	semblança textual ASR ampliada; no és classificació dialectal
pa-001	pa-005	16	bé;clar;comuns;llavors;o sigui;per tant;perifrasi_past_candidata=va anar;perifrasi_past_candidata=va bé;perifrasi_past_candidata=va ser;perifrasi_past_candidata=va trobar;possessius_candidat=meva;possessius_candidat=seus;possessius_candidat=vostra;pronom_en_candidat=en;pronom_hi_candidat=hi;pronom_ho_candidat=ho	semblança textual ASR ampliada; no és classificació dialectal
pa-001	pa-006	14	aleshores;bé;clar;de fet;evidentment;llavors;o sigui;perquè;possessius_candidat=seu;possessius_candidat=seus;possessius_candidat=seva;pronom_en_candidat=en;pronom_hi_candidat=hi;pronom_ho_candidat=ho	semblança textual ASR ampliada; no és classificació dialectal
pa-001	pa-007	22	a veure;andorrana;bueno;bé;clar;contacte_castella_candidat=bueno;copríncep;evidentment;llavors;negacio_lexical_candidat=mai;negacio_no_pas_candidat=no ... pas;no?;perifrasi_past_candidata=va passar;perifrasi_past_candidata=va ser;perquè;possessius_candidat=meva;possessius_candidat=nostres;possessius_candidat=seva;pronom_en_candidat=en;pronom_hi_candidat=hi;pronom_ho_candidat=ho;és a dir	semblança textual ASR ampliada; no és classificació dialectal
pa-001	pa-008	23	a veure;aleshores;bueno;bé;clar;contacte_castella_candidat=bueno;de fet;no?;per tant;perifrasi_past_candidata=va haver;perifrasi_past_candidata=va passar;perifrasi_past_candidata=va ser;perifrasi_past_candidata=van fer;perquè;possessius_candidat=meu;possessius_candidat=nostres;possessius_candidat=seu;possessius_candidat=seus;possessius_candidat=seva;pronom_en_candidat=en;pronom_hi_candidat=hi;pronom_ho_candidat=ho;és a dir	semblança textual ASR ampliada; no és classificació dialectal
pa-001	pa-009	21	bé;clar;evidentment;llavors;negacio_lexical_candidat=mai;negacio_no_pas_candidat=no ... pas;o sigui;per tant;perifrasi_past_candidata=va fer;perifrasi_past_candidata=van fer;perquè;possessius_candidat=meu;possessius_candidat=meva;possessius_candidat=nostres;possessius_candidat=seu;possessius_candidat=seus;possessius_candidat=seva;possessius_candidat=vostra;pronom_en_candidat=en;pronom_hi_candidat=hi;pronom_ho_candidat=ho	semblança textual ASR ampliada; no és classificació dialectal
pa-001	pa-010	20	bé;clar;comuns;de fet;llavors;negacio_lexical_candidat=mai;negacio_lexical_candidat=tampoc;per tant;perifrasi_past_candidata=va fer;perifrasi_past_candidata=va parlar;perifrasi_past_candidata=va ser;perifrasi_past_candidata=van quedar;perquè;possessius_candidat=nostres;possessius_candidat=seu;possessius_candidat=seva;pronom_en_candidat=en;pronom_hi_candidat=hi;pronom_ho_candidat=ho;és a dir	semblança textual ASR ampliada; no és classificació dialectal
pa-001	pa-011	20	a veure;aleshores;bé;de fet;evidentment;no?;per tant;perifrasi_past_candidata=va anar;perifrasi_past_candidata=va fer;perifrasi_past_candidata=va passar;perifrasi_past_candidata=va quedar;perifrasi_past_candidata=va ser;perquè;possessius_candidat=seu;possessius_candidat=seus;possessius_candidat=seva;pronom_en_candidat=en;pronom_hi_candidat=hi;pronom_ho_candidat=ho;és a dir	semblança textual ASR ampliada; no és classificació dialectal
