id_persona	forma	relacio	pes
pa-002	a nivell	consens-limits-paraula	1
pa-003	a nivell	consens-limits-paraula	1
pa-016	a nivell	consens-limits-paraula	1
pa-017	a nivell	consens-limits-paraula	1
pa-019	a nivell	consens-limits-paraula	1
pa-024	a nivell	consens-limits-paraula	1
pa-034	a nivell	consens-limits-paraula	1
pa-036	a nivell	consens-limits-paraula	1
pa-038	a nivell	consens-limits-paraula	1
pa-045	a nivell	consens-limits-paraula	1
pa-048	a nivell	consens-limits-paraula	1
pa-059	a nivell	consens-limits-paraula	1
pa-061	a nivell	consens-limits-paraula	1
pa-063	a nivell	consens-limits-paraula	1
pa-066	a nivell	consens-limits-paraula	1
pa-002	a veure	consens-limits-paraula	1
pa-007	a veure	consens-limits-paraula	1
pa-008	a veure	consens-limits-paraula	1
pa-011	a veure	consens-limits-paraula	1
pa-022	a veure	consens-limits-paraula	1
pa-023	a veure	consens-limits-paraula	1
pa-025	a veure	consens-limits-paraula	1
pa-030	a veure	consens-limits-paraula	1
pa-034	a veure	consens-limits-paraula	1
pa-036	a veure	consens-limits-paraula	1
pa-045	a veure	consens-limits-paraula	1
pa-048	a veure	consens-limits-paraula	1
pa-049	a veure	consens-limits-paraula	1
pa-056	a veure	consens-limits-paraula	1
pa-061	a veure	consens-limits-paraula	1
pa-006	aleshores	consens-limits-paraula	1
pa-008	aleshores	consens-limits-paraula	1
pa-030	aleshores	consens-limits-paraula	1
pa-032	aleshores	consens-limits-paraula	1
pa-021	bueno	consens-limits-paraula	1
pa-030	bueno	consens-limits-paraula	1
pa-032	bueno	consens-limits-paraula	1
pa-038	bueno	consens-limits-paraula	1
pa-043	bueno	consens-limits-paraula	1
pa-054	bueno	consens-limits-paraula	1
pa-062	bueno	consens-limits-paraula	1
pa-066	bueno	consens-limits-paraula	1
pa-004	bé	consens-limits-paraula	1
pa-005	bé	consens-limits-paraula	1
pa-007	bé	consens-limits-paraula	1
pa-009	bé	consens-limits-paraula	1
pa-011	bé	consens-limits-paraula	1
pa-014	bé	consens-limits-paraula	1
pa-019	bé	consens-limits-paraula	1
pa-020	bé	consens-limits-paraula	1
pa-026	bé	consens-limits-paraula	1
