id_a	id_b	n_formes_escasses_compartides	formes	estat
spk-007	spk-053	2	andorrana,aviam	semblança textual ASR provisional; pendent d'audició
spk-014	spk-024	2	Massana,veguer	semblança textual ASR provisional; pendent d'audició
spk-014	spk-026	2	Massana,veguer	semblança textual ASR provisional; pendent d'audició
spk-015	spk-024	2	coprínceps,veguer	semblança textual ASR provisional; pendent d'audició
spk-015	spk-037	2	coprínceps,veguer	semblança textual ASR provisional; pendent d'audició
spk-016	spk-024	2	Massana,coprínceps	semblança textual ASR provisional; pendent d'audició
spk-022	spk-024	2	Massana,comunals	semblança textual ASR provisional; pendent d'audició
spk-022	spk-036	2	comunal,comunals	semblança textual ASR provisional; pendent d'audició
spk-022	spk-044	2	aviam,comunals	semblança textual ASR provisional; pendent d'audició
spk-022	spk-048	2	Massana,comunals	semblança textual ASR provisional; pendent d'audició
spk-024	spk-026	2	Massana,veguer	semblança textual ASR provisional; pendent d'audició
spk-024	spk-037	2	coprínceps,veguer	semblança textual ASR provisional; pendent d'audició
spk-024	spk-048	2	Massana,comunals	semblança textual ASR provisional; pendent d'audició
