origen	desti	pes	formes_compartides	evidencia
pa-004	pa-009	2	bé,evidentment	candidats forts ASR; pendent d'audició
pa-004	pa-036	2	bé,evidentment	candidats forts ASR; pendent d'audició
pa-007	pa-014	2	evidentment,perquè	candidats forts ASR; pendent d'audició
pa-007	pa-045	2	a veure,evidentment	candidats forts ASR; pendent d'audició
pa-009	pa-016	2	bé,clar	candidats forts ASR; pendent d'audició
pa-009	pa-036	3	bé,clar,evidentment	candidats forts ASR; pendent d'audició
pa-009	pa-045	2	clar,evidentment	candidats forts ASR; pendent d'audició
pa-009	pa-056	2	clar,evidentment	candidats forts ASR; pendent d'audició
pa-009	pa-065	2	bé,clar	candidats forts ASR; pendent d'audició
pa-010	pa-022	2	clar,crec	candidats forts ASR; pendent d'audició
pa-010	pa-056	2	clar,crec	candidats forts ASR; pendent d'audició
pa-014	pa-018	2	crec,perquè	candidats forts ASR; pendent d'audició
pa-014	pa-021	2	crec,perquè	candidats forts ASR; pendent d'audició
pa-014	pa-025	2	crec,perquè	candidats forts ASR; pendent d'audició
pa-014	pa-027	2	crec,evidentment	candidats forts ASR; pendent d'audició
pa-014	pa-030	2	crec,evidentment	candidats forts ASR; pendent d'audició
pa-014	pa-040	2	crec,evidentment	candidats forts ASR; pendent d'audició
pa-014	pa-056	2	crec,evidentment	candidats forts ASR; pendent d'audició
pa-014	pa-061	2	crec,evidentment	candidats forts ASR; pendent d'audició
pa-014	pa-062	2	crec,perquè	candidats forts ASR; pendent d'audició
pa-016	pa-036	2	bé,clar	candidats forts ASR; pendent d'audició
pa-016	pa-065	3	bé,clar,perquè	candidats forts ASR; pendent d'audició
pa-018	pa-021	2	crec,perquè	candidats forts ASR; pendent d'audició
pa-018	pa-025	2	crec,perquè	candidats forts ASR; pendent d'audició
pa-018	pa-062	2	crec,perquè	candidats forts ASR; pendent d'audició
pa-019	pa-036	2	a nivell,bé	candidats forts ASR; pendent d'audició
pa-019	pa-038	2	bé,crec	candidats forts ASR; pendent d'audició
pa-019	pa-039	2	bé,crec	candidats forts ASR; pendent d'audició
pa-019	pa-048	2	a nivell,crec	candidats forts ASR; pendent d'audició
pa-019	pa-061	2	a nivell,crec	candidats forts ASR; pendent d'audició
pa-021	pa-025	2	crec,perquè	candidats forts ASR; pendent d'audició
pa-021	pa-062	2	crec,perquè	candidats forts ASR; pendent d'audició
pa-022	pa-056	2	clar,crec	candidats forts ASR; pendent d'audició
pa-025	pa-062	2	crec,perquè	candidats forts ASR; pendent d'audició
pa-026	pa-055	2	a nivell,reformeta	candidats forts ASR; pendent d'audició
pa-027	pa-030	2	crec,evidentment	candidats forts ASR; pendent d'audició
pa-027	pa-040	2	crec,evidentment	candidats forts ASR; pendent d'audició
pa-027	pa-056	2	crec,evidentment	candidats forts ASR; pendent d'audició
pa-027	pa-061	2	crec,evidentment	candidats forts ASR; pendent d'audició
pa-030	pa-038	2	crec,vull dir	candidats forts ASR; pendent d'audició
pa-030	pa-040	2	crec,evidentment	candidats forts ASR; pendent d'audició
pa-030	pa-041	2	crec,vull dir	candidats forts ASR; pendent d'audició
pa-030	pa-056	3	crec,evidentment,vull dir	candidats forts ASR; pendent d'audició
pa-030	pa-061	2	crec,evidentment	candidats forts ASR; pendent d'audició
pa-031	pa-040	2	crec,de fet	candidats forts ASR; pendent d'audició
pa-033	pa-038	2	bé,vull dir	candidats forts ASR; pendent d'audició
pa-036	pa-045	2	clar,evidentment	candidats forts ASR; pendent d'audició
pa-036	pa-056	2	clar,evidentment	candidats forts ASR; pendent d'audició
pa-036	pa-061	2	a nivell,evidentment	candidats forts ASR; pendent d'audició
pa-036	pa-065	2	bé,clar	candidats forts ASR; pendent d'audició
pa-038	pa-039	2	bé,crec	candidats forts ASR; pendent d'audició
pa-038	pa-041	2	crec,vull dir	candidats forts ASR; pendent d'audició
pa-038	pa-056	2	crec,vull dir	candidats forts ASR; pendent d'audició
pa-040	pa-056	2	crec,evidentment	candidats forts ASR; pendent d'audició
pa-040	pa-061	2	crec,evidentment	candidats forts ASR; pendent d'audició
pa-041	pa-056	2	crec,vull dir	candidats forts ASR; pendent d'audició
pa-045	pa-056	2	clar,evidentment	candidats forts ASR; pendent d'audició
pa-048	pa-061	2	a nivell,crec	candidats forts ASR; pendent d'audició
pa-056	pa-061	2	crec,evidentment	candidats forts ASR; pendent d'audició
