forma	parlant	ocurrencies	segments_temporals	conf_min_segment	prioritat
bé	pa-001	10	49.92-53.60,98.08-100.20,319.92-323.12,389.04-393.36,590.92-595.08,599.36-602.76,614.80-616.84,754.92-759.72	0.035	alta
bé	pa-002	11	349.00-355.00,394.00-399.00,399.00-402.00,850.00-853.00,935.00-940.00,978.00-983.00,1188.00-1192.00,1448.00-1452.00	0.138	alta
bé	pa-003	3	0.00-6.44,241.44-249.52,252.72-257.92	0.053	alta
bé	pa-004	4	320.36-321.84,422.64-425.64,518.00-520.00,815.40-822.12	0.082	alta
bé	pa-005	3	51.84-55.32,176.52-181.56,920.68-925.08	0.121	alta
bé	pa-006	3	152.00-159.00,235.00-239.00,328.00-333.00	0.193	alta
bé	pa-007	1	60.00-66.00	0.688	normal
bé	pa-008	3	62.00-65.00,248.00-253.00,370.00-373.00	0.111	alta
bé	pa-009	2	558.00-561.00,636.00-640.00	0.240	alta
bé	pa-010	3	25.40-30.92,138.40-143.44,523.00-529.00	0.057	alta
bé	pa-011	2	186.32-188.56,246.32-248.88	0.073	alta
bé	pa-012	12	161.00-164.00,197.00-200.00,470.00-476.00,483.00-485.00,485.00-487.00,487.00-489.00,489.00-491.00,491.00-493.00	0.272	alta
bé	pa-013	1	197.40-202.72	0.133	alta
bé	pa-014	8	166.40-180.80,392.20-403.20,501.20-515.20,515.20-523.20,594.20-597.20,645.20-648.20,757.20-765.20,793.20-800.20	0.197	alta
bé	pa-015	3	43.00-48.00,92.00-97.00,504.00-507.00	0.237	alta
bé	pa-016	5	170.80-176.44,469.68-472.24,476.80-480.40,480.40-482.88,571.80-577.56	0.040	alta
bé	pa-017	4	113.00-117.40,405.00-410.00,528.00-536.00,644.00-649.00	0.261	alta
bé	pa-018	6	211.40-214.72,425.48-428.76,1149.64-1152.84,1559.52-1563.08,1563.16-1567.96,2069.52-2072.28	0.066	alta
bé	pa-019	5	196.00-201.00,205.00-207.00,213.00-215.00,573.00-579.00,832.00-835.00	0.332	alta
bé	pa-020	22	147.12-151.56,248.12-251.28,255.76-259.04,308.52-311.04,311.12-313.48,354.36-356.36,358.80-362.92,382.52-385.36	0.025	alta
bé	pa-021	15	258.36-262.84,334.48-337.44,379.36-381.80,383.52-387.56,390.80-396.52,396.60-400.96,405.12-409.44,448.20-451.60	0.034	alta
bé	pa-022	4	271.20-274.60,348.44-352.00,713.76-718.36,725.56-731.76	0.058	alta
bé	pa-023	2	410.12-412.72,416.60-419.24	0.173	alta
bé	pa-024	8	176.04-180.04,544.84-550.80,873.44-875.36,956.48-959.04,960.00-965.72,1732.64-1736.48,1983.32-1985.52,1995.60-1998.60	0.025	alta
bé	pa-025	3	1024.52-1026.92,1154.68-1157.28,1392.96-1399.92	0.147	alta
bé	pa-026	22	100.72-102.72,227.80-233.16,233.24-235.48,357.60-361.08,379.20-381.20,464.88-468.24,486.28-489.12,676.36-678.36	0.034	alta
bé	pa-027	6	31.72-35.80,100.36-106.44,273.40-277.00,446.60-451.56,715.32-719.00,793.64-798.92	0.047	alta
bé	pa-028	3	183.24-186.64,235.72-240.36,266.08-270.72	0.064	alta
bé	pa-029	14	43.72-46.04,62.56-67.64,204.40-208.40,368.60-371.60,435.44-437.76,437.84-442.40,608.68-612.76,715.16-718.76	0.052	alta
bé	pa-030	8	437.20-440.88,537.92-543.12,606.80-612.88,680.32-685.16,843.44-847.48,855.44-857.44,1002.12-1005.96,1026.52-1031.00	0.033	alta
bé	pa-031	2	329.88-332.32,519.12-522.28	0.074	alta
bé	pa-032	3	271.16-274.20,299.64-304.84,308.80-311.60	0.044	alta
bé	pa-033	2	103.84-106.68,197.84-201.44	0.078	alta
bé	pa-034	25	19.60-22.40,83.00-86.84,173.48-177.04,192.08-197.84,276.04-278.56,316.48-319.76,354.72-359.40,458.76-463.08	0.035	alta
bé	pa-035	3	716.56-719.56,902.24-906.48,1017.16-1021.96	0.071	alta
bé	pa-036	4	70.20-74.40,109.40-115.60,526.00-528.00,577.00-585.00	0.184	alta
bé	pa-037	5	106.04-124.04,198.16-212.28,246.32-254.40,290.96-306.60,306.60-317.00	0.025	alta
bé	pa-038	25	27.52-30.96,38.20-41.36,160.28-162.68,221.44-226.04,264.88-269.08,299.36-304.36,341.36-347.96,370.00-375.40	0.021	alta
bé	pa-039	8	28.52-31.28,125.20-128.16,333.68-338.40,368.36-372.16,395.32-398.84,398.92-400.92,446.96-451.48,544.24-546.24	0.049	alta
bé	pa-040	2	33.56-37.88,72.88-75.00	0.070	alta
bé	pa-041	3	131.00-137.00,265.00-271.00,550.00-554.00	0.140	alta
bé	pa-045	8	84.24-90.68,280.12-283.68,463.84-467.80,500.68-505.48,966.20-971.16,1431.72-1434.72,1444.80-1446.80,1446.88-1448.88	0.020	alta
bé	pa-046	11	349.56-351.80,371.20-378.32,534.96-537.96,538.04-540.04,843.24-846.40,953.24-956.40,964.48-966.68,966.76-969.32	0.053	alta
bé	pa-048	2	496.48-502.08,611.36-615.00	0.090	alta
bé	pa-049	10	74.96-81.88,281.56-286.96,286.96-293.00,293.00-299.04,312.68-321.56,339.20-350.12,898.00-901.00,1095.00-1098.00	0.024	alta
bé	pa-053	1	91.56-95.16	0.144	alta
bé	pa-054	4	129.52-133.68,172.40-176.16,193.00-198.96,222.08-224.84	0.110	alta
bé	pa-055	15	359.32-361.32,377.60-380.84,484.64-487.52,487.60-489.32,676.40-680.20,865.96-867.96,1043.00-1044.76,1140.52-1144.32	0.018	alta
bé	pa-056	8	437.24-440.72,540.96-542.96,603.76-612.96,680.12-683.60,843.40-847.32,855.44-857.72,999.96-1006.12,1026.28-1029.64	0.016	alta
bé	pa-057	11	204.32-208.28,277.60-283.04,368.20-372.40,435.28-442.28,608.52-612.64,715.32-718.92,794.16-796.28,997.36-1004.36	0.043	alta
bé	pa-058	6	211.36-214.64,319.52-323.96,425.48-428.60,1562.64-1567.72,1696.12-1701.36,2069.28-2071.88	0.099	alta
bé	pa-059	5	113.16-117.52,404.48-406.76,529.20-533.12,644.32-648.68,858.08-860.92	0.063	alta
bé	pa-060	1	416.48-419.16	0.079	alta
bé	pa-061	6	663.64-666.68,795.92-800.32,910.08-911.60,1040.08-1042.48,1220.48-1226.00,1272.20-1274.96	0.012	alta
bé	pa-062	4	402.36-405.72,1054.16-1056.16,1096.00-1099.64,1319.56-1321.24	0.074	alta
bé	pa-063	12	106.72-109.60,542.36-545.68,593.84-595.84,670.76-673.76,1006.88-1009.44,1088.84-1092.24,1169.80-1172.80,1174.08-1176.16	0.014	alta
bé	pa-064	6	98.68-103.36,235.56-242.68,482.96-485.56,1143.52-1147.40,1267.00-1269.16,1336.52-1344.64	0.028	alta
bé	pa-065	6	139.32-143.92,279.56-285.76,396.08-401.16,1085.96-1089.96,1181.60-1185.56,1371.40-1374.12	0.019	alta
bé	pa-066	3	10.88-14.96,416.58-421.94,543.18-546.46	0.082	alta
de fet	pa-001	1	69.24-71.24	0.237	alta
de fet	pa-002	6	73.00-76.00,240.00-242.00,633.00-638.00,993.00-1000.00,2136.00-2140.00,2313.00-2317.00	0.066	alta
de fet	pa-003	1	0.00-6.44	0.053	alta
de fet	pa-004	2	601.92-606.60,721.32-723.64	0.068	alta
de fet	pa-006	2	286.00-291.00,540.00-543.00	0.416	alta
de fet	pa-008	1	800.00-804.00	0.468	alta
de fet	pa-010	3	648.00-652.00,846.00-852.00,1028.00-1032.00	0.234	alta
de fet	pa-011	1	558.00-560.56	0.319	alta
de fet	pa-016	2	319.28-323.28,712.12-717.56	0.032	alta
de fet	pa-022	1	420.96-423.96	0.113	alta
de fet	pa-023	2	73.24-77.56,571.52-573.80	0.033	alta
de fet	pa-024	2	483.00-488.32,1659.32-1662.20	0.042	alta
de fet	pa-025	2	891.60-893.56,910.00-913.32	0.055	alta
de fet	pa-027	3	110.20-114.36,162.60-165.72,172.44-174.76	0.161	alta
de fet	pa-028	1	31.92-36.32	0.093	alta
de fet	pa-031	1	10.68-13.48	0.133	alta
de fet	pa-033	1	250.44-251.80	0.056	alta
de fet	pa-040	1	70.92-72.76	0.076	alta
de fet	pa-051	1	201.56-204.56	0.057	alta
de fet	pa-057	1	562.00-568.32	0.132	alta
de fet	pa-060	2	73.32-77.60,571.52-576.40	0.114	alta
de fet	pa-065	1	884.72-887.96	0.130	alta
de fet	pa-066	1	45.12-48.96	0.088	alta
és a dir	pa-001	1	891.72-893.72	0.024	alta
és a dir	pa-002	24	13.00-17.00,45.00-48.00,85.00-88.00,103.00-106.00,163.00-167.00,201.00-203.00,254.00-259.00,364.00-368.00	0.066	alta
és a dir	pa-003	11	65.80-69.76,88.44-96.04,126.04-130.72,298.76-305.36,322.20-328.24,356.64-362.68,365.88-371.96,380.36-389.32	0.033	alta
és a dir	pa-007	2	685.00-687.00,744.00-747.00	0.258	alta
és a dir	pa-008	2	1111.00-1114.00,1226.00-1232.00	0.325	alta
és a dir	pa-010	10	244.00-248.80,248.80-251.20,259.20-261.00,298.60-302.80,330.80-332.00,350.20-354.60,541.00-546.00,559.00-565.00	0.132	alta
és a dir	pa-011	1	48.84-53.92	0.095	alta
és a dir	pa-013	2	579.92-586.00,594.08-602.08	0.108	alta
és a dir	pa-014	10	96.20-106.60,166.40-180.80,216.60-229.00,454.20-462.20,563.20-574.20,584.20-594.20,637.20-645.20,659.20-674.20	0.074	alta
és a dir	pa-016	2	86.72-89.84,462.28-466.52	0.071	alta
és a dir	pa-017	1	488.00-494.00	0.227	alta
és a dir	pa-018	3	75.24-79.08,1641.88-1645.84,2214.04-2219.32	0.089	alta
és a dir	pa-019	6	57.00-60.00,310.00-312.00,366.00-369.00,541.00-548.00,548.00-551.00,861.00-865.00	0.106	alta
és a dir	pa-021	10	33.04-37.80,119.36-121.20,143.00-147.00,215.08-219.32,228.36-231.84,369.40-373.00,495.76-499.68,528.84-533.84	0.033	alta
és a dir	pa-022	1	12.24-17.16	0.102	alta
és a dir	pa-023	4	207.92-212.80,286.64-290.16,397.08-402.76,455.32-458.00	0.046	alta
és a dir	pa-024	5	79.24-83.64,313.04-317.84,397.96-401.64,1565.80-1567.32,1690.48-1693.52	0.017	alta
és a dir	pa-025	7	65.36-70.20,282.24-289.92,505.76-510.12,901.88-905.44,1302.40-1306.32,1306.40-1308.60,1771.40-1773.40	0.059	alta
és a dir	pa-026	1	64.84-67.64	0.041	alta
és a dir	pa-027	6	186.36-192.12,195.16-196.60,294.20-298.04,562.92-565.72,569.72-574.44,878.76-884.28	0.020	alta
és a dir	pa-029	3	20.92-25.20,777.20-779.88,824.88-827.28	0.038	alta
