id_parlant	forma	categoria	recompte_asr	present	estat
spk-001	Canillo	territorial	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-001	Escaldes	territorial	2	sí	ASR agrupat per persona canònica; pendent d'audició
spk-001	Massana	territorial	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-001	Ordino	territorial	1	sí	ASR agrupat per persona canònica; pendent d'audició
spk-001	Sant Julià	territorial	3	sí	ASR agrupat per persona canònica; pendent d'audició
spk-001	a nivell	discurs	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-001	a veure	discurs	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-001	aiguats	territorial	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-001	aleshores	discurs	1	sí	ASR agrupat per persona canònica; pendent d'audició
spk-001	andorrana	territorial	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-001	aviam	discurs	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-001	bueno	discurs	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-001	bé	discurs	3	sí	ASR agrupat per persona canònica; pendent d'audició
spk-001	clar	discurs	1	sí	ASR agrupat per persona canònica; pendent d'audició
spk-001	comunal	territorial	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-001	comunals	territorial	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-001	comuns	territorial	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-001	comú	territorial	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-001	copríncep	territorial	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-001	coprínceps	territorial	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-001	de fet	discurs	2	sí	ASR agrupat per persona canònica; pendent d'audició
spk-001	diguem	discurs	1	sí	ASR agrupat per persona canònica; pendent d'audició
spk-001	doncs	discurs	3	sí	ASR agrupat per persona canònica; pendent d'audició
spk-001	evidentment	discurs	2	sí	ASR agrupat per persona canònica; pendent d'audició
spk-001	llavors	discurs	3	sí	ASR agrupat per persona canònica; pendent d'audició
spk-001	no?	discurs	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-001	o sigui	discurs	4	sí	ASR agrupat per persona canònica; pendent d'audició
spk-001	padrí	territorial	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-001	parròquia	territorial	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-001	per tant	discurs	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-001	perquè	discurs	6	sí	ASR agrupat per persona canònica; pendent d'audició
spk-001	santuari	territorial	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-001	veguer	territorial	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-001	vull dir	discurs	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-001	és a dir	discurs	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-002	Canillo	territorial	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-002	Escaldes	territorial	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-002	Massana	territorial	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-002	Ordino	territorial	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-002	Sant Julià	territorial	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-002	a nivell	discurs	3	sí	ASR agrupat per persona canònica; pendent d'audició
spk-002	a veure	discurs	3	sí	ASR agrupat per persona canònica; pendent d'audició
spk-002	aiguats	territorial	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-002	aleshores	discurs	23	sí	ASR agrupat per persona canònica; pendent d'audició
spk-002	andorrana	territorial	1	sí	ASR agrupat per persona canònica; pendent d'audició
spk-002	aviam	discurs	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-002	bueno	discurs	2	sí	ASR agrupat per persona canònica; pendent d'audició
spk-002	bé	discurs	10	sí	ASR agrupat per persona canònica; pendent d'audició
