candidat	forma	present	small	base	estat
lead-rtva-009-isidre-bartumeu	AndoFlora	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Andorra	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Andorrita	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Arnau	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Banc Mundial	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Barcelona	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Bosc	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Burgos	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Canillo	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Cap de Govern	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Catalunya	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Comú	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Consell General	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Constitució	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Demòcrates	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Escaldes	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Espanya	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Eurovisió	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	França	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Gabriel	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Galícia	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Govern	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Guerra Civil	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Istanbul	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Jocs Paralímpics	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	La Massana	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	La Vida	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Lliga Andorrana	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Massana	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Meritxell	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Ministeri	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Museu Nacional	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Nacions Unides	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Núria	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Ordino	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Palència	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Pirineus	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Portugal	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Sant Julià	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Santa Coloma	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Santa Seu	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Segona Guerra Mundial	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Sierra Leone	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Sindicatura General	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Soldeu	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Sonia	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Suècia	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Suïssa	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	TDT	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	TV3	no	0	0	ASR consensual; pendent d'audició
lead-rtva-009-isidre-bartumeu	Toni Martí	no	0	0	ASR consensual; pendent d'audició
