id_persona	categoria	forma	recompte_asr	clip_qa	forma_en_qa	estat
pa-001	discurs	a nivell	3	clips/pa-001__a-nivell__135.37.wav	no	ASR; pendent d'audicio
pa-001	discurs	a veure	3	clips/pa-001__a-veure__341.57.wav	no	ASR; pendent d'audicio
pa-001	discurs	aleshores	23	clips/pa-001__aleshores__10.13.wav	no	ASR; pendent d'audicio
pa-001	discurs	aviam	0		no-clip	ASR; pendent d'audicio
pa-001	discurs	bueno	2	clips/pa-001__bueno__207.01.wav	no	ASR; pendent d'audicio
pa-001	discurs	bé	10	clips/pa-001__b__49.17.wav	no	ASR; pendent d'audicio
pa-001	discurs	clar	5	clips/pa-001__clar__129.77.wav	no	ASR; pendent d'audicio
pa-001	discurs	de fet	1	clips/pa-001__de-fet__68.49.wav	sí	ASR; pendent d'audicio
pa-001	discurs	diguem	0		no-clip	ASR; pendent d'audicio
pa-001	discurs	doncs	0		no-clip	ASR; pendent d'audicio
pa-001	discurs	evidentment	1	clips/pa-001__evidentment__1067.69.wav	sí	ASR; pendent d'audicio
pa-001	discurs	llavors	1	clips/pa-001__llavors__837.17.wav	sí	ASR; pendent d'audicio
pa-001	discurs	no?	4		no-clip	ASR; pendent d'audicio
pa-001	discurs	o sigui	10	clips/pa-001__o-sigui__49.17.wav	no	ASR; pendent d'audicio
pa-001	discurs	per tant	6		no-clip	ASR; pendent d'audicio
pa-001	discurs	perquè	20	clips/pa-001__perqu__59.57.wav	sí	ASR; pendent d'audicio
pa-001	discurs	vull dir	2	clips/pa-001__vull-dir__621.37.wav	no	ASR; pendent d'audicio
pa-001	discurs	és a dir	1	clips/pa-001__s-a-dir__890.97.wav	no	ASR; pendent d'audicio
pa-001	territorial	Canillo	0		no-clip	ASR; pendent d'audicio
pa-001	territorial	Escaldes	0		no-clip	ASR; pendent d'audicio
pa-001	territorial	Massana	0		no-clip	ASR; pendent d'audicio
pa-001	territorial	Ordino	0		no-clip	ASR; pendent d'audicio
pa-001	territorial	Sant Julià	0		no-clip	ASR; pendent d'audicio
pa-001	territorial	aiguats	0		no-clip	ASR; pendent d'audicio
pa-001	territorial	andorrana	1		no-clip	ASR; pendent d'audicio
pa-001	territorial	comunal	0		no-clip	ASR; pendent d'audicio
pa-001	territorial	comunals	0		no-clip	ASR; pendent d'audicio
pa-001	territorial	comuns	3		no-clip	ASR; pendent d'audicio
pa-001	territorial	comú	0		no-clip	ASR; pendent d'audicio
pa-001	territorial	copríncep	1		no-clip	ASR; pendent d'audicio
pa-001	territorial	coprínceps	0		no-clip	ASR; pendent d'audicio
pa-001	territorial	padrí	0		no-clip	ASR; pendent d'audicio
pa-001	territorial	parròquia	0		no-clip	ASR; pendent d'audicio
pa-001	territorial	santuari	0		no-clip	ASR; pendent d'audicio
pa-001	territorial	veguer	1		no-clip	ASR; pendent d'audicio
pa-003	discurs	a nivell	1	clips/pa-003__a-nivell__180.17.wav	sí	ASR; pendent d'audicio
pa-003	discurs	a veure	0		no-clip	ASR; pendent d'audicio
pa-003	discurs	aleshores	2	clips/pa-003__aleshores__18.69.wav	no	ASR; pendent d'audicio
pa-003	discurs	aviam	1	clips/pa-003__aviam__180.17.wav	no	ASR; pendent d'audicio
pa-003	discurs	bueno	1	clips/pa-003__bueno__227.05.wav	sí	ASR; pendent d'audicio
pa-003	discurs	bé	3	clips/pa-003__b__0.00.wav	sí	ASR; pendent d'audicio
pa-003	discurs	clar	1	clips/pa-003__clar__451.89.wav	sí	ASR; pendent d'audicio
pa-003	discurs	de fet	1	clips/pa-003__de-fet__0.00.wav	sí	ASR; pendent d'audicio
pa-003	discurs	diguem	1	clips/pa-003__diguem__212.85.wav	no	ASR; pendent d'audicio
pa-003	discurs	doncs	0		no-clip	ASR; pendent d'audicio
pa-003	discurs	evidentment	4	clips/pa-003__evidentment__158.81.wav	sí	ASR; pendent d'audicio
pa-003	discurs	llavors	0		no-clip	ASR; pendent d'audicio
pa-003	discurs	no?	0		no-clip	ASR; pendent d'audicio
pa-003	discurs	o sigui	0		no-clip	ASR; pendent d'audicio
pa-003	discurs	per tant	0		no-clip	ASR; pendent d'audicio
pa-003	discurs	perquè	9	clips/pa-003__perqu__201.57.wav	sí	ASR; pendent d'audicio
pa-003	discurs	vull dir	0		no-clip	ASR; pendent d'audicio
pa-003	discurs	és a dir	11	clips/pa-003__s-a-dir__65.05.wav	sí	ASR; pendent d'audicio
pa-003	territorial	Canillo	0		no-clip	ASR; pendent d'audicio
pa-003	territorial	Escaldes	0		no-clip	ASR; pendent d'audicio
pa-003	territorial	Massana	0		no-clip	ASR; pendent d'audicio
pa-003	territorial	Ordino	0		no-clip	ASR; pendent d'audicio
pa-003	territorial	Sant Julià	0		no-clip	ASR; pendent d'audicio
pa-003	territorial	aiguats	0		no-clip	ASR; pendent d'audicio
pa-003	territorial	andorrana	4		no-clip	ASR; pendent d'audicio
pa-003	territorial	comunal	0		no-clip	ASR; pendent d'audicio
pa-003	territorial	comunals	0		no-clip	ASR; pendent d'audicio
pa-003	territorial	comuns	0		no-clip	ASR; pendent d'audicio
pa-003	territorial	comú	0		no-clip	ASR; pendent d'audicio
pa-003	territorial	copríncep	0		no-clip	ASR; pendent d'audicio
