id_parlant	nom_public	n_registres_font	n_formes	n_ocurrencies_asr	formes	estat
spk-001	Alan Ward	1	13	32	Escaldes,Ordino,Sant Julià,aleshores,bé,clar,de fet,diguem,doncs,evidentment,llavors,o sigui,perquè	perfil canònic ASR; pendent d'audició
spk-002	Albert Gelabert Grau	1	19	98	a nivell,a veure,aleshores,andorrana,bueno,bé,clar,comuns,copríncep,de fet,evidentment,llavors,no?,o sigui,per tant,perquè,veguer,vull dir,és a dir	perfil canònic ASR; pendent d'audició
spk-003	Albert Roig	1	17	68	Escaldes,Ordino,Sant Julià,a veure,aleshores,bueno,bé,clar,comú,de fet,diguem,doncs,no?,parròquia,per tant,perquè,és a dir	perfil canònic ASR; pendent d'audició
spk-004	Albert Rossa Naudí	1	5	20	aleshores,bé,doncs,per tant,perquè	perfil canònic ASR; pendent d'audició
spk-005	Alfred Llahí	1	19	44	Canillo,Escaldes,Massana,Ordino,Sant Julià,a veure,andorrana,bueno,bé,clar,comú,copríncep,diguem,doncs,evidentment,llavors,no?,perquè,és a dir	perfil canònic ASR; pendent d'audició
spk-006	Andreu Gaspà Picart	1	11	40	Ordino,a veure,aleshores,bueno,bé,clar,doncs,llavors,no?,perquè,vull dir	perfil canònic ASR; pendent d'audició
spk-007	Angelina Mas	1	21	147	Escaldes,a nivell,a veure,aiguats,aleshores,andorrana,aviam,bueno,bé,clar,comú,diguem,doncs,evidentment,llavors,no?,o sigui,parròquia,perquè,vull dir,és a dir	perfil canònic ASR; pendent d'audició
spk-008	Antoni Armengol Vila	2	15	117	Canillo,Sant Julià,a nivell,a veure,aleshores,bueno,bé,de fet,diguem,doncs,llavors,parròquia,perquè,vull dir,és a dir	perfil canònic ASR; pendent d'audició
spk-009	Antoni Jordi Areny	1	12	27	Escaldes,a nivell,bé,clar,de fet,diguem,doncs,llavors,parròquia,perquè,vull dir,és a dir	perfil canònic ASR; pendent d'audició
spk-010	Antoni Morell	1	15	51	a nivell,a veure,aleshores,andorrana,bueno,bé,clar,doncs,llavors,no?,o sigui,perquè,santuari,vull dir,és a dir	perfil canònic ASR; pendent d'audició
spk-011	Carles Sasplugas	1	12	24	Escaldes,Sant Julià,a nivell,aiguats,bueno,bé,de fet,evidentment,llavors,no?,per tant,perquè	perfil canònic ASR; pendent d'audició
spk-012	Casimir Arajol	1	13	65	a nivell,a veure,bueno,bé,clar,doncs,llavors,no?,o sigui,perquè,veguer,vull dir,és a dir	perfil canònic ASR; pendent d'audició
spk-013	Cielo	1	4	20	Sant Julià,clar,no?,perquè	perfil canònic ASR; pendent d'audició
spk-014	Daniel Armengol	1	14	67	Massana,a veure,bé,clar,doncs,evidentment,llavors,no?,o sigui,padrí,per tant,perquè,veguer,és a dir	perfil canònic ASR; pendent d'audició
spk-015	Enric Casadevall Medrano	1	20	105	Canillo,Ordino,bueno,bé,clar,comuns,coprínceps,de fet,diguem,doncs,evidentment,llavors,no?,o sigui,parròquia,per tant,perquè,veguer,vull dir,és a dir	perfil canònic ASR; pendent d'audició
spk-016	Enric Dolsa Font	2	21	227	Canillo,Escaldes,Massana,Ordino,Sant Julià,a veure,aleshores,bueno,bé,clar,coprínceps,doncs,evidentment,llavors,no?,o sigui,parròquia,per tant,perquè,vull dir,és a dir	perfil canònic ASR; pendent d'audició
spk-017	Esther Jover	1	11	31	Ordino,a veure,aleshores,bé,de fet,doncs,evidentment,no?,per tant,perquè,és a dir	perfil canònic ASR; pendent d'audició
