id_parlant	nom_public	n_formes_escasses	n_ocurrencies_asr	formes	estat
spk-001	Alan Ward	0	0		ASR provisional; formes escasses; pendent d'audició
spk-002	Albert Gelabert Grau	2	2	andorrana,veguer	ASR provisional; formes escasses; pendent d'audició
spk-003	Albert Roig	0	0		ASR provisional; formes escasses; pendent d'audició
spk-004	Albert Rossa Naudí	0	0		ASR provisional; formes escasses; pendent d'audició
spk-005	Alfred Llahí	2	3	Massana,andorrana	ASR provisional; formes escasses; pendent d'audició
spk-006	Andreu Gaspà Picart	0	0		ASR provisional; formes escasses; pendent d'audició
spk-007	Angelina Mas	3	10	aiguats,andorrana,aviam	ASR provisional; formes escasses; pendent d'audició
spk-008	Antoni Armengol Vila	0	0		ASR provisional; formes escasses; pendent d'audició
spk-009	Antoni Jordi Areny	0	0		ASR provisional; formes escasses; pendent d'audició
spk-010	Antoni Morell	2	2	andorrana,santuari	ASR provisional; formes escasses; pendent d'audició
spk-011	Carles Sasplugas	1	1	aiguats	ASR provisional; formes escasses; pendent d'audició
spk-012	Casimir Arajol	1	1	veguer	ASR provisional; formes escasses; pendent d'audició
spk-013	Cielo	0	0		ASR provisional; formes escasses; pendent d'audició
spk-014	Daniel Armengol	3	4	Massana,padrí,veguer	ASR provisional; formes escasses; pendent d'audició
spk-015	Enric Casadevall Medrano	2	2	coprínceps,veguer	ASR provisional; formes escasses; pendent d'audició
spk-016	Enric Dolsa Font	2	4	Massana,coprínceps	ASR provisional; formes escasses; pendent d'audició
spk-017	Esther Jover	0	0		ASR provisional; formes escasses; pendent d'audició
spk-018	Eudald Guillamet	2	2	comunal,santuari	ASR provisional; formes escasses; pendent d'audició
spk-019	Francina Pons	2	5	aiguats,comunal	ASR provisional; formes escasses; pendent d'audició
spk-020	Gabriel Dallerès Codina	1	2	andorrana	ASR provisional; formes escasses; pendent d'audició
spk-021	Gualbert Osorio	0	0		ASR provisional; formes escasses; pendent d'audició
spk-022	Guillem Areny Argelich	4	8	Massana,aviam,comunal,comunals	ASR provisional; formes escasses; pendent d'audició
spk-023	Irene Clua	0	0		ASR provisional; formes escasses; pendent d'audició
spk-024	Jaume Bartumeu Cassany	4	10	Massana,comunals,coprínceps,veguer	ASR provisional; formes escasses; pendent d'audició
spk-025	Joan Santamaria Terré	0	0		ASR provisional; formes escasses; pendent d'audició
spk-026	Jordi Farràs Forné	2	5	Massana,veguer	ASR provisional; formes escasses; pendent d'audició
spk-027	Jordi Marquet	1	3	padrí	ASR provisional; formes escasses; pendent d'audició
spk-028	Jordi Mas Torres	0	0		ASR provisional; formes escasses; pendent d'audició
spk-029	Jordi Torres Alís	0	0		ASR provisional; formes escasses; pendent d'audició
spk-030	Josep Areny	0	0		ASR provisional; formes escasses; pendent d'audició
spk-031	Josep Areny Fité	0	0		ASR provisional; formes escasses; pendent d'audició
spk-032	Josep Casal	1	1	comunals	ASR provisional; formes escasses; pendent d'audició
spk-033	Josep Garrallà Rossell	1	1	Massana	ASR provisional; formes escasses; pendent d'audició
spk-034	Josep Marsal Riba	0	0		ASR provisional; formes escasses; pendent d'audició
spk-035	Ladislau Baró Solà	0	0		ASR provisional; formes escasses; pendent d'audició
spk-036	Ludmilla Lacueva	2	4	comunal,comunals	ASR provisional; formes escasses; pendent d'audició
spk-037	Maria Reig Moles	2	13	coprínceps,veguer	ASR provisional; formes escasses; pendent d'audició
spk-038	Mercè Segura	0	0		ASR provisional; formes escasses; pendent d'audició
spk-039	Miquel Aleix Areny	2	6	andorrana,coprínceps	ASR provisional; formes escasses; pendent d'audició
spk-040	Miquel Armengol Pons	0	0		ASR provisional; formes escasses; pendent d'audició
spk-041	Miquel Naudi Casal	0	0		ASR provisional; formes escasses; pendent d'audició
spk-042	Mossèn Ramon de Canillo	1	4	santuari	ASR provisional; formes escasses; pendent d'audició
spk-043	Nadia Aleix Tugas	1	2	coprínceps	ASR provisional; formes escasses; pendent d'audició
spk-044	Olga Adellach Coma	2	2	aviam,comunals	ASR provisional; formes escasses; pendent d'audició
spk-045	Patrick Pérez	0	0		ASR provisional; formes escasses; pendent d'audició
spk-046	Pere Altimir Pintat	0	0		ASR provisional; formes escasses; pendent d'audició
spk-047	Pere Torres	0	0		ASR provisional; formes escasses; pendent d'audició
spk-048	Ramon Canut Bové	2	4	Massana,comunals	ASR provisional; formes escasses; pendent d'audició
spk-049	Robert Cassany Vila	0	0		ASR provisional; formes escasses; pendent d'audició
spk-050	Robert Lizarte	2	2	padrí,santuari	ASR provisional; formes escasses; pendent d'audició
spk-051	Rosa Maria Mandicó Alcobé	1	1	Massana	ASR provisional; formes escasses; pendent d'audició
spk-052	Rosa Vidal	0	0		ASR provisional; formes escasses; pendent d'audició
spk-053	Roser Bastida	2	5	andorrana,aviam	ASR provisional; formes escasses; pendent d'audició
spk-054	Roser Jordana	0	0		ASR provisional; formes escasses; pendent d'audició
spk-055	Ruth Casabella	0	0		ASR provisional; formes escasses; pendent d'audició
spk-056	Sara Ubach	0	0		ASR provisional; formes escasses; pendent d'audició
spk-057	Teo Armengol	2	2	aviam,padrí	ASR provisional; formes escasses; pendent d'audició
spk-058	Trini Mandicó Baró	0	0		ASR provisional; formes escasses; pendent d'audició
spk-059	Xavier Planas	0	0		ASR provisional; formes escasses; pendent d'audició
spk-060	Àngels Mach	1	1	padrí	ASR provisional; formes escasses; pendent d'audició
