categoria	candidat	evidencia_referencia	estat_corpus
vocalisme	distinció a/e àtones	ALDC; Veny	pendent d'audició
vocalisme	neutralització a/e en vocal neutra	ALDC; variació generacional	pendent d'audició
vocalisme	manteniment de o àtona	ALDC; Veny	pendent d'audició
vocalisme	alternança o/u àtona	ALDC; Veny	pendent d'audició
vocalisme	obertura de e tònica	ALDC; Veny	pendent d'audició
morfologia	incoatius en -ix-	ALDC; Veny	pendent d'audició
morfologia	morfologia nominal i adjectival	Rabassa	pendent d'audició
fonosintaxi	contacte entre mots	Rabassa	pendent d'audició
fonètica	palatalització i velarització	ALDC; Veny	pendent d'audició
fonètica	realització de r i consonants finals	Rabassa; ALDC	pendent d'audició
lèxic	variants occidentals	ALDC; Veny	pendent d'audició
lèxic	andorranismes administratius	Govern d'Andorra; DIEC2	pendent d'audició
lèxic	terminologia d'esports d'hivern	Govern d'Andorra	pendent d'audició
sintaxi	perífrasis i règim verbal	Rull	pendent d'audició
pragmàtica	marcadors i reformulacions	corpus actual; revisió pròpia	pendent d'audició
prosòdia	entonació, ritme i pauses	Rabassa; revisió pròpia	pendent d'audició
variació	localitat i generació	Rabassa; ALDC	pendent d'audició
variació	contacte amb castellà i francès	Govern d'Andorra; sociolingüística	pendent d'audició
