forma	parlants	comptatge	estat
a nivell	pa-019,pa-023,pa-026,pa-029,pa-036,pa-048,pa-055,pa-061	8	candidat fort ASR; pendent d'audició
a veure	pa-007,pa-008,pa-034,pa-045,pa-064	5	candidat fort ASR; pendent d'audició
bueno	pa-032,pa-049,pa-054,pa-066	4	candidat fort ASR; pendent d'audició
bé	pa-004,pa-005,pa-006,pa-009,pa-011,pa-016,pa-019,pa-020,pa-028,pa-033,pa-036,pa-038,pa-039,pa-046,pa-065	15	candidat fort ASR; pendent d'audició
clar	pa-009,pa-010,pa-016,pa-017,pa-022,pa-036,pa-045,pa-056,pa-059,pa-065	10	candidat fort ASR; pendent d'audició
crec	pa-010,pa-014,pa-018,pa-019,pa-021,pa-022,pa-025,pa-027,pa-030,pa-031,pa-035,pa-038,pa-039,pa-040,pa-041,pa-043,pa-048,pa-049,pa-056,pa-061,pa-062,pa-064	22	candidat fort ASR; pendent d'audició
de fet	pa-006,pa-031,pa-040,pa-060	4	candidat fort ASR; pendent d'audició
doncs	pa-015,pa-017,pa-028	3	candidat fort ASR; pendent d'audició
evidentment	pa-004,pa-007,pa-009,pa-014,pa-027,pa-030,pa-036,pa-040,pa-045,pa-056,pa-061	11	candidat fort ASR; pendent d'audició
perquè	pa-007,pa-013,pa-014,pa-016,pa-018,pa-021,pa-025,pa-055,pa-057,pa-058,pa-062,pa-065	12	candidat fort ASR; pendent d'audició
reformeta	pa-026,pa-038,pa-055	3	candidat fort ASR; pendent d'audició
tirar endavant	pa-029,pa-034,pa-056	3	candidat fort ASR; pendent d'audició
vull dir	pa-030,pa-033,pa-038,pa-041,pa-056	5	candidat fort ASR; pendent d'audició
