forma	n_parlants	comptatge_total	parlants	estat
a nivell	19	24	spk-008,spk-010,spk-011,spk-018,spk-020,spk-022,spk-026,spk-028,spk-035,spk-037,spk-042,spk-043,spk-044,spk-045,spk-046,spk-048,spk-051,spk-053,spk-054	tokenització small agrupada per persona canònica; pendent d’audició
a veure	22	26	spk-003,spk-005,spk-007,spk-008,spk-010,spk-014,spk-016,spk-017,spk-018,spk-024,spk-026,spk-028,spk-031,spk-033,spk-038,spk-040,spk-044,spk-045,spk-048,spk-051,spk-054,spk-057	tokenització small agrupada per persona canònica; pendent d’audició
aleshores	10	11	spk-001,spk-003,spk-004,spk-006,spk-007,spk-016,spk-024,spk-030,spk-033,spk-042	tokenització small agrupada per persona canònica; pendent d’audició
aviam	2	2	spk-022,spk-057	tokenització small agrupada per persona canònica; pendent d’audició
bueno	18	19	spk-006,spk-007,spk-008,spk-011,spk-016,spk-023,spk-027,spk-031,spk-037,spk-038,spk-041,spk-042,spk-043,spk-045,spk-046,spk-052,spk-053,spk-058	tokenització small agrupada per persona canònica; pendent d’audició
bé	36	41	spk-001,spk-003,spk-004,spk-005,spk-006,spk-007,spk-009,spk-010,spk-011,spk-014,spk-017,spk-018,spk-019,spk-020,spk-022,spk-025,spk-026,spk-028,spk-030,spk-036,spk-037,spk-038,spk-041,spk-042,spk-044,spk-045,spk-046,spk-048,spk-049,spk-050,spk-051,spk-053,spk-054,spk-055,spk-056,spk-057	tokenització small agrupada per persona canònica; pendent d’audició
clar	31	33	spk-001,spk-003,spk-005,spk-006,spk-007,spk-009,spk-014,spk-015,spk-016,spk-018,spk-022,spk-024,spk-026,spk-028,spk-033,spk-035,spk-037,spk-038,spk-040,spk-041,spk-042,spk-043,spk-044,spk-046,spk-049,spk-050,spk-052,spk-053,spk-054,spk-057,spk-059	tokenització small agrupada per persona canònica; pendent d’audició
crec	33	34	spk-002,spk-007,spk-008,spk-010,spk-011,spk-014,spk-015,spk-016,spk-023,spk-024,spk-025,spk-026,spk-027,spk-029,spk-031,spk-032,spk-033,spk-034,spk-035,spk-037,spk-038,spk-039,spk-040,spk-041,spk-042,spk-044,spk-045,spk-046,spk-051,spk-053,spk-054,spk-057,spk-059	tokenització small agrupada per persona canònica; pendent d’audició
de fet	18	19	spk-001,spk-002,spk-003,spk-008,spk-009,spk-011,spk-015,spk-017,spk-019,spk-024,spk-026,spk-029,spk-033,spk-035,spk-044,spk-049,spk-053,spk-059	tokenització small agrupada per persona canònica; pendent d’audició
diguem	11	12	spk-001,spk-005,spk-007,spk-009,spk-015,spk-022,spk-024,spk-027,spk-030,spk-039,spk-051	tokenització small agrupada per persona canònica; pendent d’audició
doncs	26	28	spk-001,spk-005,spk-006,spk-008,spk-010,spk-016,spk-017,spk-018,spk-022,spk-028,spk-030,spk-031,spk-033,spk-034,spk-036,spk-037,spk-041,spk-042,spk-043,spk-044,spk-049,spk-050,spk-054,spk-055,spk-056,spk-059	tokenització small agrupada per persona canònica; pendent d’audició
ensenyança	2	2	spk-038,spk-053	tokenització small agrupada per persona canònica; pendent d’audició
evidentment	26	28	spk-002,spk-005,spk-007,spk-011,spk-015,spk-016,spk-017,spk-018,spk-019,spk-024,spk-025,spk-026,spk-028,spk-029,spk-031,spk-035,spk-038,spk-040,spk-043,spk-044,spk-045,spk-046,spk-048,spk-050,spk-053,spk-057	tokenització small agrupada per persona canònica; pendent d’audició
llavors	26	28	spk-002,spk-005,spk-007,spk-008,spk-009,spk-010,spk-011,spk-016,spk-018,spk-020,spk-026,spk-030,spk-036,spk-037,spk-039,spk-041,spk-043,spk-044,spk-045,spk-046,spk-047,spk-049,spk-054,spk-056,spk-058,spk-059	tokenització small agrupada per persona canònica; pendent d’audició
o sigui	19	21	spk-001,spk-007,spk-010,spk-014,spk-016,spk-018,spk-020,spk-024,spk-027,spk-036,spk-037,spk-040,spk-042,spk-044,spk-045,spk-048,spk-050,spk-054,spk-057	tokenització small agrupada per persona canònica; pendent d’audició
perquè	50	54	spk-001,spk-002,spk-003,spk-004,spk-005,spk-006,spk-007,spk-008,spk-009,spk-011,spk-013,spk-014,spk-015,spk-016,spk-017,spk-018,spk-019,spk-020,spk-022,spk-024,spk-025,spk-026,spk-027,spk-028,spk-029,spk-031,spk-032,spk-033,spk-034,spk-035,spk-037,spk-038,spk-039,spk-040,spk-041,spk-042,spk-043,spk-044,spk-046,spk-047,spk-048,spk-050,spk-052,spk-053,spk-054,spk-055,spk-056,spk-057,spk-058,spk-059	tokenització small agrupada per persona canònica; pendent d’audició
reformeta	6	7	spk-024,spk-026,spk-037,spk-040,spk-048,spk-051	tokenització small agrupada per persona canònica; pendent d’audició
tirar endavant	8	11	spk-009,spk-016,spk-020,spk-033,spk-038,spk-043,spk-051,spk-053	tokenització small agrupada per persona canònica; pendent d’audició
vull dir	20	25	spk-006,spk-007,spk-008,spk-009,spk-010,spk-016,spk-019,spk-028,spk-031,spk-037,spk-038,spk-039,spk-040,spk-041,spk-043,spk-044,spk-045,spk-048,spk-054,spk-057	tokenització small agrupada per persona canònica; pendent d’audició
és a dir	23	26	spk-003,spk-005,spk-008,spk-009,spk-010,spk-014,spk-015,spk-016,spk-017,spk-023,spk-027,spk-030,spk-031,spk-034,spk-039,spk-040,spk-042,spk-043,spk-044,spk-051,spk-053,spk-055,spk-059	tokenització small agrupada per persona canònica; pendent d’audició
