id_persona	nom_public	font_principal	tipus_font	url	estat	audio_s	minuts_utils	notes
pa-001	Albert Gelabert Grau	Consell General — #ConsellConstituent	Consell General	https://www.youtube.com/watch?v=H1YzDVWz8-U	analitzada-provisional-contextual	18:45	18:45	conseller de la Massana; síndic general 1990–1992; biografia lingüística pendent
pa-003	Roser Bastida	RTVA — Els primers 30	RTVA Andorra	https://www.youtube.com/watch?v=IW5OE88C_TQ	analitzada-provisional-contextual	08:37	08:37	participant de l'Escola Andorrana; parròquia i llengua primera pendents
pa-002	Jordi Farràs Forné	Consell General — #ConsellConstituent	Consell General	https://www.youtube.com/watch?v=pU9nG2c2zX8	analitzada-provisional-contextual	44:07	44:07	síndic general del Consell Constituent; biografia lingüística pendent
pa-004	Francina Pons	Càpsula #11 — «Les moles de farina d'Andorra», per Francina Pons	Andorra Recerca i Innovació	https://youtu.be/1X4uGbdg2iY	analitzada-provisional-contextual	837	837	context lingüístic manual ampliat; audio i biografia lingüística pendents
pa-005	Ludmilla Lacueva	Càpsula #13 — «Els hostals comunals», per Ludmilla Lacueva	Andorra Recerca i Innovació	https://youtu.be/y8DXM2W2QI4	analitzada-provisional-contextual	949	949	context lingüístic manual ampliat; audio i biografia lingüística pendents
pa-006	Alan Ward	Càpsula #20 — «Els molins d'aigua d'Andorra», per Alan Ward	Andorra Recerca i Innovació	https://youtu.be/OBz__QiZyiQ	analitzada-provisional-contextual	659	659	context lingüístic manual ampliat; audio i biografia lingüística pendents
pa-007	Alfred Llahí	Càpsula #27 — «Els noms dels carrers andorrans», per Alfred Llahí	Andorra Recerca i Innovació	https://youtu.be/8zYj5QNt0hA	analitzada-provisional-contextual	824	824	context lingüístic manual ampliat; audio i biografia lingüística pendents
pa-008	Albert Roig	Càpsula #34 — «Les falles d'Andorra», per Albert Roig	Andorra Recerca i Innovació	https://youtu.be/2Khh9Z7edcI	analitzada-provisional-contextual	1397	1397	lectura contextual manual; doble ASR conservat; biografia lingüística pendent
pa-009	Robert Lizarte	Càpsula #40 — «Les campanes d'Andorra», per Robert Lizarte	Andorra Recerca i Innovació	https://youtu.be/Wg5DnvyNwH0	analitzada-provisional-contextual	1102	1102	lectura contextual manual; doble ASR conservat; biografia lingüística pendent
pa-010	Xavier Planas	Càpsula #45 — «Toponímia preromana a Andorra», per Xavier Planas	Andorra Recerca i Innovació	https://youtu.be/o06GKLl_Jvs	analitzada-provisional-contextual	1051	1051	lectura contextual manual; doble ASR conservat; biografia lingüística pendent
pa-011	Esther Jover	Càpsula #49 — «Cal Pal de la Cortinada», per Esther Jover	Andorra Recerca i Innovació	https://youtu.be/gvDsyvnxSFY	analitzada-provisional-contextual	588	588	lectura contextual manual; doble ASR conservat; biografia lingüística pendent
pa-012	Albert Rossa Naudí	Càpsula #56 — «La vida a pagès», per Albert Rossa Naudí	Andorra Recerca i Innovació	https://youtu.be/lC14HCz82_Y	analitzada-provisional-contextual	742	742	lectura contextual manual; doble ASR conservat; biografia lingüística pendent
pa-013	Ruth Casabella	Càpsula #57 — «Un racó d'Escaldes-Engordany», per Ruth Casabella	Andorra Recerca i Innovació	https://youtu.be/xyJqeun7e2g	analitzada-provisional-contextual	1082	1082	lectura contextual manual; doble ASR conservat; biografia lingüística pendent
pa-014	Teo Armengol	Càpsula #66 — «La dansa tradicional d'Andorra: el contrapàs», per Teo Armengol	Andorra Recerca i Innovació	https://youtu.be/YGSaA_njUIo	analitzada-provisional-contextual	1004	1004	lectura contextual manual; doble ASR conservat; biografia lingüística pendent
pa-015	Sara Ubach	Càpsula #70 — «La nissaga dels Martí de les Bons», per Sara Ubach	Andorra Recerca i Innovació	https://youtu.be/e1RPheooiDI	analitzada-provisional-contextual	542	542	lectura contextual manual; doble ASR conservat; biografia lingüística pendent
pa-016	Olga Adellach Coma	Testimoni del Consell Constituent — Olga Adellach Coma	Consell General	https://youtu.be/Zkb4kXbYIJc	analitzada-provisional-contextual	792	792	context lingüístic manual ampliat; audio i biografia lingüística pendents
pa-017	Nadia Aleix Tugas	Testimoni del Consell Constituent — Nadia Aleix Tugas	Consell General	https://youtu.be/_GRn2R7IOTs	analitzada-provisional-contextual	902	902	context lingüístic manual ampliat; audio i biografia lingüística pendents
pa-018	Miquel Aleix Areny	Testimoni del Consell Constituent — Miquel Aleix Areny	Consell General	https://youtu.be/cWNPFoyNRxs	analitzada-provisional-contextual	2773	2773	context lingüístic manual ampliat; audio i biografia lingüística pendents
pa-019	Pere Altimir Pintat	Testimoni del Consell Constituent — Pere Altimir Pintat	Consell General	https://youtu.be/aBwACxaRdtQ	analitzada-provisional-contextual	880	880	context lingüístic manual ampliat; audio i biografia lingüística pendents
pa-020	Guillem Areny Argelich	Testimoni del Consell Constituent — Guillem Areny Argelich	Consell General	https://youtu.be/zvzusC5RFWc	analitzada-provisional-contextual	1487	1487	lectura contextual manual; doble ASR conservat; biografia lingüística pendent
pa-021	Josep Areny Fité	Testimoni del Consell Constituent — Josep Areny Fité	Consell General	https://youtu.be/UvDO-W5T0RI	analitzada-provisional-contextual	952	952	lectura contextual manual; doble ASR conservat; biografia lingüística pendent
pa-022	Miquel Armengol Pons	Testimoni del Consell Constituent — Miquel Armengol Pons	Consell General	https://youtu.be/YHNIO9Hmn7g	analitzada-provisional-contextual	744	744	lectura contextual manual; doble ASR conservat; biografia lingüística pendent
pa-023	Antoni Armengol Vila	Testimoni del Consell Constituent — Antoni Armengol Vila	Consell General	https://youtu.be/JbOnYORyYLo	analitzada-provisional-contextual	596	596	lectura contextual manual; doble ASR conservat; biografia lingüística pendent
pa-024	Ladislau Baró Solà	Testimoni del Consell Constituent — Ladislau Baró Solà	Consell General	https://youtu.be/qjxFKk8z_9w	analitzada-provisional-contextual	2492	2492	resegmentació base en finestres de 60 s; lectura contextual manual; biografia lingüística pendent
pa-025	Jaume Bartumeu Cassany	Testimoni del Consell Constituent — Jaume Bartumeu Cassany	Consell General	https://youtu.be/r4_Fb6P2J_4	analitzada-provisional-contextual	2113	2113	lectura contextual manual; doble ASR conservat; biografia lingüística pendent
pa-026	Ramon Canut Bové	Testimoni del Consell Constituent — Ramon Canut Bové	Consell General	https://youtu.be/kLeQ6UJthLI	analitzada-provisional-contextual	2149	2149	lectura contextual manual; doble ASR conservat; biografia lingüística pendent
pa-027	Enric Casadevall Medrano	Testimoni del Consell Constituent — Enric Casadevall Medrano	Consell General	https://youtu.be/Xk0-BQ2W-ww	analitzada-provisional-contextual	956	956	lectura contextual manual; doble ASR conservat; biografia lingüística pendent
pa-028	Robert Cassany Vila	Testimoni del Consell Constituent — Robert Cassany Vila	Consell General	https://youtu.be/GTgD4mGT8xo	analitzada-provisional-contextual	401	401	lectura contextual manual; doble ASR conservat; biografia lingüística pendent
pa-029	Gabriel Dallerès Codina	Testimoni del Consell Constituent — Gabriel Dallerès Codina	Consell General	https://youtu.be/mZtfU5LUTzg	analitzada-provisional-contextual	1213	1213	lectura contextual manual; doble ASR conservat; biografia lingüística pendent
pa-030	Enric Dolsa Font	Testimoni del Consell Constituent — Enric Dolsa Font	Consell General	https://youtu.be/OrPvKUYQUXY	analitzada-provisional-contextual	1144	1144	lectura contextual manual; doble ASR conservat; biografia lingüística pendent
pa-031	Josep Garrallà Rossell	Testimoni del Consell Constituent — Josep Garrallà Rossell	Consell General	https://youtu.be/9vREIafSlMU	analitzada-provisional-contextual	612	612	lectura contextual manual; doble ASR conservat; biografia lingüística pendent
pa-032	Andreu Gaspà Picart	Testimoni del Consell Constituent — Andreu Gaspà Picart	Consell General	https://youtu.be/MRoHWrKS_8M	analitzada-provisional-contextual	454	454	lectura contextual manual; doble ASR conservat; biografia lingüística pendent
pa-033	Antoni Jordi Areny	Testimoni del Consell Constituent — Antoni Jordi Areny	Consell General	https://youtu.be/rLVdoY2tDuU	analitzada-provisional-contextual	257	257	lectura contextual manual; doble ASR conservat; biografia lingüística pendent
pa-034	Rosa Maria Mandicó Alcobé	Testimoni del Consell Constituent — Rosa Maria Mandicó Alcobé	Consell General	https://youtu.be/vOucfx_sd4M	analitzada-provisional-contextual	1268	1268	lectura contextual manual; doble ASR conservat; biografia lingüística pendent
pa-035	Josep Marsal Riba	Testimoni del Consell Constituent — Josep Marsal Riba	Consell General	https://youtu.be/JGV9XtZYPcw	analitzada-provisional-contextual	1029	1029	lectura contextual manual; doble ASR conservat; biografia lingüística pendent
pa-036	Jordi Mas Torres	Testimoni del Consell Constituent — Jordi Mas Torres	Consell General	https://youtu.be/s_36ug5eNZo	analitzada-provisional-contextual	720	720	lectura contextual manual; doble ASR conservat; biografia lingüística pendent
pa-037	Miquel Naudi Casal	Testimoni del Consell Constituent — Miquel Naudi Casal	Consell General	https://youtu.be/muwgxm-fqPo	analitzada-provisional-contextual	503	503	lectura contextual manual; doble ASR conservat; biografia lingüística pendent
pa-038	Maria Reig Moles	Testimoni del Consell Constituent — Maria Reig Moles	Consell General	https://youtu.be/XW1B7wFV3E0	analitzada-provisional-contextual	2176	2176	lectura contextual manual; doble ASR conservat; biografia lingüística pendent
pa-039	Joan Santamaria Terré	Testimoni del Consell Constituent — Joan Santamaria Terré	Consell General	https://youtu.be/52o5NYxlbWY	analitzada-provisional-contextual	654	654	lectura contextual manual; doble ASR conservat; biografia lingüística pendent
pa-040	Jordi Torres Alís	Testimoni del Consell Constituent — Jordi Torres Alís	Consell General	https://youtu.be/4jPROROmH5k	analitzada-provisional-contextual	250	250	lectura contextual manual; doble ASR conservat; biografia lingüística pendent
pa-041	Mercè Segura	Els primers 30: entrevista Mercè Segura	RTVA Andorra	https://www.youtube.com/watch?v=hGVDNoc9D0I	analitzada-provisional-contextual	692	692	context lingüístic manual ampliat; audio i biografia lingüística pendents
pa-042	Cielo	Els primers 30: entrevista Cielo, cuinera de l’Escola Andorrana	RTVA Andorra	https://www.youtube.com/watch?v=0kBz9DT59lU	analitzada-provisional-contextual	419	419	lectura contextual manual; doble ASR conservat; biografia lingüística pendent
pa-043	Irene Clua	Els primers 30: entrevista Irene Clua	RTVA Andorra	https://www.youtube.com/watch?v=d8BRIvEwyD8	analitzada-provisional-contextual	148	148	lectura contextual manual; doble ASR conservat; biografia lingüística pendent
pa-044	Casimir Arajol	IDENTITATS: CASIMIR ARAJOL	RTVA Andorra	https://www.youtube.com/watch?v=H8TM9cpxjNI	quarantena-asr	1606	1606	font i metadades verificades; audio i biografia lingüística pendents; sortida ASR amb bucles; fora del graf fins a resegmentació
pa-045	Eudald Guillamet	IDENTITATS: EUDALD GUILLAMET	RTVA Andorra	https://www.youtube.com/watch?v=kO-xG3sget4	analitzada-provisional-contextual	1608	1608	context lingüístic manual ampliat; audio i biografia lingüística pendents
pa-046	Josep Areny	IDENTITATS: JOSEP ARENY	RTVA Andorra	https://www.youtube.com/watch?v=QaksoPLFLuc	analitzada-provisional-contextual	1265	1265	context lingüístic manual ampliat; audio i biografia lingüística pendents
pa-047	Gualbert Osorio	IDENTITATS: GUALBERT OSORIO	RTVA Andorra	https://www.youtube.com/watch?v=v-JusrQAhzA	quarantena-asr	1572	1572	font i metadades verificades; audio i biografia lingüística pendents; sortida ASR amb bucle; fora del graf fins a resegmentació
pa-048	Antoni Morell	IDENTITATS: ANTONI MORELL	RTVA Andorra	https://www.youtube.com/watch?v=w561_gp7M-U	analitzada-provisional-contextual	1528	1528	lectura contextual manual; doble ASR conservat; separació de veus pendent
pa-049	Angelina Mas	IDENTITATS: ANGELINA MAS	RTVA Andorra	https://www.youtube.com/watch?v=b429vuTkpXU	analitzada-provisional-contextual	1596	1596	lectura contextual manual; doble ASR conservat; incidència de repetició curta pendent d’àudio
pa-050	Àngels Mach	IDENTITATS: ÀNGELS MACH	RTVA Andorra	https://www.youtube.com/watch?v=XOzHke6mBII	quarantena-asr	1539	1539	bucle ASR extens; fora del graf fins a resegmentació i revisió auditiva
pa-051	Josep Casal	Vides de muntanya — Ramaderia d'alçada (AE_0033)	Arxiu d'Etnografia d'Andorra	https://www.arxiuenlinia.ad/fotoweb/archives/5005-Audiovisual/Audiovisual/AE/AE_0033.mp4.info	analitzada-provisional-contextual	310	310	nascut al mas del Cortal de Canillo (1948); drets d’ús educatiu i de recerca; no difusió
pa-052	Rosa Vidal	Vides de muntanya — Ramaderia d'alçada (AE_0017)	Arxiu d'Etnografia d'Andorra	https://www.arxiuenlinia.ad/fotoweb/archives/5005-Audiovisual/Audiovisual/AE/AE_0017.mp4.info	analitzada-provisional-contextual	170	170	veïna de Sispony; explotació de cal Coma; drets d’ús educatiu i de recerca; no difusió
pa-053	Pere Torres	Vides de muntanya — Ramaderia d'alçada (AE_0011)	Arxiu d'Etnografia d'Andorra	https://www.arxiuenlinia.ad/fotoweb/archives/5005-Audiovisual/Audiovisual/AE/AE_0011.mp4.info	analitzada-provisional-contextual	252	252	Casa Toni, Canillo/El Forn; ramaderia; drets d’ús educatiu i de recerca; no difusió
pa-054	Trini Mandicó Baró	Vides de dones (AE_0029)	Arxiu d'Etnografia d'Andorra	https://www.arxiuenlinia.ad/fotoweb/archives/5005-Audiovisual/Audiovisual/AE/AE_0029.mp4.info	analitzada-provisional-contextual	328	328	Casa Xarret de Sispony (1926); pagesia, escola i remeis; drets d’ús educatiu i de recerca; no difusió
pa-055	Ramon Canut Bové	#ConsellConstituent - Ramon Canut Bové	Consell General	https://youtu.be/kLeQ6UJthLI	analitzada-provisional-automatica	2149	2149	Ramon Canut Bové; mostra del Consell Constituent; biografia lingüística pendent
pa-056	Enric Dolsa Font	#ConsellConstituent - Enric Dolsa Font	Consell General	https://youtu.be/OrPvKUYQUXY	analitzada-provisional-automatica	1144	1144	Enric Dolsa Font; mostra del Consell Constituent; biografia lingüística pendent
pa-057	Gabriel Dallerès Codina	#ConsellConstituent - Gabriel Dallerès Codina	Consell General	https://youtu.be/mZtfU5LUTzg	analitzada-provisional-automatica	1213	1213	Gabriel Dallerès Codina; mostra del Consell Constituent; biografia lingüística pendent
pa-058	Miquel Aleix Areny	#ConsellConstituent - Miquel Aleix Areny	Consell General	https://youtu.be/cWNPFoyNRxs	analitzada-provisional-automatica	2773	2773	Miquel Aleix Areny; mostra del Consell Constituent; biografia lingüística pendent
pa-059	Nadia Aleix Tugas	#ConsellConstituent - Nadia Aleix Tugas	Consell General	https://youtu.be/_GRn2R7IOTs	analitzada-provisional-automatica	902	902	Nadia Aleix Tugas; mostra del Consell Constituent; biografia lingüística pendent
pa-060	Antoni Armengol Vila	#ConsellConstituent - Antoni Armengol Vila	Consell General	https://youtu.be/JbOnYORyYLo	analitzada-provisional-automatica	596	596	Antoni Armengol Vila; mostra del Consell Constituent; biografia lingüística pendent
pa-061	Patrick Pérez	IDENTITATS: PATRICK PÉREZ	RTVA Andorra	https://youtu.be/2QI-1wTQjfM	analitzada-provisional-automatica	1570	1570	font RTVA; context territorial i biografia lingüística pendents
pa-062	Jordi Marquet	IDENTITATS: JORDI MARQUET	RTVA Andorra	https://youtu.be/0evP1gRQKzI	analitzada-provisional-automatica	1503	1503	font RTVA; context territorial i biografia lingüística pendents
pa-063	Roser Jordana	IDENTITATS: ROSER JORDANA	RTVA Andorra	https://youtu.be/j0yGAJtaLA8	analitzada-provisional-automatica	1572	1572	font RTVA; context territorial i biografia lingüística pendents
pa-064	Daniel Armengol	IDENTITATS: DANIEL ARMENGOL	RTVA Andorra	https://youtu.be/p7NRiPLEFPo	analitzada-provisional-automatica	1489	1489	font RTVA; context territorial i biografia lingüística pendents
pa-065	Mossèn Ramon de Canillo	IDENTITATS: MOSSÈN RAMON DE CANILLO	RTVA Andorra	https://youtu.be/n0QqCxTzFSA	analitzada-provisional-automatica	1565	1565	font RTVA; context territorial i biografia lingüística pendents
pa-066	Carles Sasplugas	La memòria dels aiguats: entrevista a Carles Sasplugas	RTVA Andorra	https://youtu.be/bPZugFJMhl4	analitzada-provisional-automatica	580	580	font RTVA; context territorial i biografia lingüística pendents
