forma	id_persona	interval_escolta	clip	forma_en_qa	durada_s	veu_proporcio	rms_p10_db	rms_p50_db	rms_p90_db	zcr_p10	zcr_p90	f0_median_hz	f0_iqr_hz	centroid_median_hz	centroid_p90_hz	segments_veu	pausa_mediana_s	mostres_f0	nota
bé	pa-001	49.17-54.35	clips/pa-001__b__49.17.wav	no	5.180	0.7132	-45.05	-24.69	-19.41	0.0297	0.2326	234.96	73.65	838.38	2417.37	9	0.100	92	descriptor orientatiu; no és anotació fonètica
bé	pa-002	348.25-355.75	clips/pa-002__b__348.25.wav	sí	7.500	0.4733	-60.51	-36.35	-26.51	0.0438	0.1936	309.71	101.82	1231.82	2423.88	19	0.090	91	descriptor orientatiu; no és anotació fonètica
bé	pa-003	0.00-7.19	clips/pa-003__b__0.00.wav	sí	7.190	0.5838	-45.91	-27.78	-15.70	0.0469	0.2222	219.64	124.52	1394.91	2475.81	14	0.060	105	descriptor orientatiu; no és anotació fonètica
bé	pa-004	319.61-322.59	clips/pa-004__b__319.61.wav	sí	2.980	0.1284	-73.69	-44.46	-34.20	0.0266	0.4300	288.82	185.63	1351.78	3660.96	5	0.530	9	descriptor orientatiu; no és anotació fonètica
bé	pa-005	51.09-56.07	clips/pa-005__b__51.09.wav	sí	4.980	0.0645	-69.11	-45.51	-35.41	0.0501	0.3869	241.53	27.99	1690.47	3802.25	9	0.150	8	descriptor orientatiu; no és anotació fonètica
bé	pa-006	151.25-159.75	clips/pa-006__b__151.25.wav	sí	8.500	0.6108	-53.64	-32.68	-25.91	0.0203	0.1008	184.28	145.18	726.69	1998.85	26	0.080	127	descriptor orientatiu; no és anotació fonètica
bé	pa-007	59.25-66.75	clips/pa-007__b__59.25.wav	sí	7.500	0.6604	-51.82	-30.12	-18.98	0.0391	0.2881	263.45	124.55	1236.76	3087.90	17	0.060	122	descriptor orientatiu; no és anotació fonètica
bé	pa-008	61.25-65.75	clips/pa-008__b__61.25.wav	sí	4.500	0.6205	-42.72	-31.29	-24.21	0.0313	0.1294	178.84	38.08	1069.06	1732.95	13	0.090	69	descriptor orientatiu; no és anotació fonètica
bé	pa-009	557.25-561.75	clips/pa-009__b__557.25.wav	sí	4.500	0.5312	-54.27	-34.14	-27.53	0.0333	0.2548	185.08	40.09	1327.28	2720.37	12	0.100	61	descriptor orientatiu; no és anotació fonètica
bé	pa-010	24.65-31.67	clips/pa-010__b__24.65.wav	no	7.020	0.6314	-59.73	-30.23	-20.33	0.0313	0.4085	160.70	179.53	949.76	3711.85	15	0.100	111	descriptor orientatiu; no és anotació fonètica
bé	pa-011	185.57-189.31	clips/pa-011__b__185.57.wav	sí	3.740	0.7849	-39.94	-23.75	-13.67	0.0673	0.2903	218.51	78.83	1286.25	2566.96	7	0.090	74	descriptor orientatiu; no és anotació fonètica
bé	pa-012	160.25-164.75	clips/pa-012__b__160.25.wav	sí	4.500	0.6696	-83.19	-18.59	-8.00	0.0349	0.2692	282.27	48.67	1242.49	3318.00	5	0.030	75	descriptor orientatiu; no és anotació fonètica
bé	pa-013	196.65-203.47	clips/pa-013__b__196.65.wav	sí	6.820	0.7029	-67.62	-24.66	-13.11	0.0532	0.4516	301.12	129.61	1061.40	4265.14	22	0.040	119	descriptor orientatiu; no és anotació fonètica
bé	pa-014	165.65-181.55	clips/pa-014__b__165.65.wav	sí	15.900	0.5416	-59.86	-32.01	-19.29	0.0313	0.1920	157.95	46.24	1149.96	2033.54	22	0.120	217	descriptor orientatiu; no és anotació fonètica
bé	pa-015	42.25-48.75	clips/pa-015__b__42.25.wav	sí	6.500	0.8580	-36.64	-23.23	-10.33	0.0454	0.1565	239.56	113.04	1506.29	2353.57	10	0.080	139	descriptor orientatiu; no és anotació fonètica
bé	pa-016	170.05-177.19	clips/pa-016__b__170.05.wav	sí	7.140	0.6545	-52.22	-30.29	-22.03	0.0391	0.2700	299.64	44.79	1085.13	2925.45	16	0.060	115	descriptor orientatiu; no és anotació fonètica
bé	pa-017	112.25-118.15	clips/pa-017__b__112.25.wav	no	5.900	0.5578	-52.09	-32.36	-22.88	0.0344	0.2839	252.71	162.59	995.28	2716.65	16	0.100	84	descriptor orientatiu; no és anotació fonètica
bé	pa-018	210.65-215.47	clips/pa-018__b__210.65.wav	no	4.820	0.5875	-62.24	-32.35	-20.94	0.0313	0.2412	256.54	35.07	867.23	2539.43	13	0.060	73	descriptor orientatiu; no és anotació fonètica
