id_persona	forma	interval_escolta	clip	durada_s	veu_proporcio	rms_p10_db	rms_p50_db	rms_p90_db	zcr_p10	zcr_p90	f0_median_hz	f0_iqr_hz	centroid_median_hz	centroid_p90_hz	segments_veu	pausa_mediana_s	mostres_f0
pa-001	crec	97.33-100.95	clips/pa-001__crec__97.33.wav	3.620	0.6444	-45.67	-30.79	-21.58	0.0327	0.1628	219.23	67.73	1032.27	1933.40	12	0.100	59
pa-001	evidentment	1067.69-1071.19	clips/pa-001__evidentment__1067.69.wav	3.500	0.5920	-56.93	-29.82	-19.37	0.0297	0.1221	243.22	46.11	795.28	1862.79	8	0.200	50
pa-001	perquè	59.57-63.31	clips/pa-001__perqu__59.57.wav	3.740	0.8495	-37.75	-25.45	-19.23	0.0266	0.1244	205.46	94.94	699.39	1943.57	9	0.070	80
pa-002	a nivell	714.25-724.75	clips/pa-002__a-nivell__714.25.wav	10.500	0.5859	-57.30	-33.12	-19.59	0.0391	0.2394	283.90	130.92	1052.29	2730.21	25	0.060	153
pa-002	a veure	126.25-132.75	clips/pa-002__a-veure__126.25.wav	6.500	0.5093	-48.84	-34.82	-22.26	0.0344	0.1336	308.43	107.74	831.77	2051.54	20	0.080	82
pa-002	bé	348.25-355.75	clips/pa-002__b__348.25.wav	7.500	0.4733	-60.51	-36.35	-26.51	0.0438	0.1936	309.71	101.82	1231.82	2423.88	19	0.090	91
pa-002	crec	248.25-254.75	clips/pa-002__crec__248.25.wav	6.500	0.4938	-55.42	-35.07	-23.98	0.0329	0.2366	227.06	50.10	988.10	2597.12	18	0.100	77
pa-002	evidentment	205.25-209.75	clips/pa-002__evidentment__205.25.wav	4.500	0.1384	-60.89	-45.87	-34.16	0.0438	0.1886	234.14	138.57	1205.23	2491.62	9	0.200	17
pa-002	perquè	18.25-23.75	clips/pa-002__perqu__18.25.wav	5.500	0.5803	-53.65	-31.92	-24.46	0.0396	0.1934	330.33	55.03	872.41	2265.74	18	0.080	81
pa-003	a nivell	180.17-188.79	clips/pa-003__a-nivell__180.17.wav	8.620	0.6163	-45.45	-28.29	-16.29	0.0438	0.1817	235.94	120.43	1283.92	2340.27	15	0.110	134
pa-003	crec	0.00-7.19	clips/pa-003__crec__0.00.wav	7.190	0.5838	-45.91	-27.78	-15.70	0.0469	0.2222	219.64	124.52	1394.91	2475.81	14	0.060	105
pa-003	de fet	0.00-7.19	clips/pa-003__de-fet__0.00.wav	7.190	0.5838	-45.91	-27.78	-15.70	0.0469	0.2222	219.64	124.52	1394.91	2475.81	14	0.060	105
pa-003	evidentment	158.81-165.19	clips/pa-003__evidentment__158.81.wav	6.380	0.7264	-43.05	-25.88	-15.04	0.0501	0.3175	306.70	109.39	1230.53	3324.03	17	0.080	117
pa-003	perquè	201.57-207.03	clips/pa-003__perqu__201.57.wav	5.460	0.6838	-43.93	-26.97	-18.71	0.0454	0.2362	296.88	126.97	1186.80	2574.34	14	0.040	92
