id_persona	estat	rms_p10_db	rms_p90_db	zcr_p10	zcr_p90	f0_iqr_hz	f0_sd_hz	centroid_median_hz	centroid_p90_hz	segments_veu	durada_veu_mediana_s	pausa_veu_mediana_s	mostres_f0
pa-001	analitzada-provisional-contextual	-49.99	-21.15	0.0297	0.2081	90.78	72.22	897.03	2332.22	2899	0.18	0.06	7401
pa-002	analitzada-provisional-contextual	-60.52	-22.99	0.0376	0.2300	127.21	2569.93	1114.97	2656.45	5963	0.14	0.08	11782
pa-003	analitzada-provisional-contextual	-44.48	-16.66	0.0438	0.2598	126.05	1076.05	1202.74	2918.65	1108	0.24	0.08	3476
pa-004	analitzada-provisional-contextual	-70.16	-32.47	0.0250	0.3286	172.81	507.81	1207.37	3240.92	1826	0.06	0.14	1908
pa-005	analitzada-provisional-contextual	-63.31	-37.35	0.0469	0.3239	31.89	55.96	1408.04	3098.53	479	0.04	0.92	383
pa-006	analitzada-provisional-contextual	-61.95	-26.33	0.0172	0.1252	133.36	78.15	752.54	2202.60	1444	0.18	0.08	3474
pa-007	analitzada-provisional-contextual	-61.70	-19.69	0.0376	0.2911	124.14	100.25	1338.74	3140.95	1809	0.18	0.08	4521
pa-008	analitzada-provisional-contextual	-58.32	-25.91	0.0329	0.2895	112.23	196.69	1380.72	3108.53	3146	0.12	0.10	6112
pa-009	analitzada-provisional-contextual	-54.40	-25.50	0.0360	0.2786	64.42	43.93	1366.62	2952.04	2898	0.14	0.08	5997
pa-010	analitzada-provisional-contextual	-71.59	-21.18	0.0203	0.3709	158.13	86.75	829.17	3794.02	2582	0.16	0.08	6156
pa-011	analitzada-provisional-contextual	-52.21	-17.67	0.0579	0.2942	123.98	643.74	1314.52	3001.16	1467	0.14	0.08	3350
pa-012	analitzada-provisional-contextual	-78.41	-9.07	0.0438	0.4116	67.25	566.01	1626.41	3701.81	852	0.44	0.14	4736
pa-013	analitzada-provisional-contextual	-56.60	-9.90	0.0485	0.4992	130.26	157.22	1199.87	4544.33	1933	0.32	0.06	8187
pa-014	analitzada-provisional-contextual	-62.88	-20.07	0.0219	0.1972	44.30	52.86	1131.87	2184.27	1663	0.26	0.08	5859
pa-015	analitzada-provisional-contextual	-38.25	-9.65	0.0344	0.2019	107.42	180.17	1259.26	2778.57	467	0.60	0.12	4462
pa-016	analitzada-provisional-contextual	-55.22	-22.36	0.0391	0.2660	57.65	69.93	1087.49	2937.51	2056	0.16	0.06	4724
pa-017	analitzada-provisional-contextual	-59.99	-21.73	0.0344	0.2410	119.98	68.10	1054.18	2665.11	2335	0.16	0.10	5017
pa-018	analitzada-provisional-contextual	-61.13	-21.26	0.0344	0.2019	63.93	309.19	919.55	2523.86	6557	0.18	0.10	16262
pa-019	analitzada-provisional-contextual	-53.09	-22.80	0.0391	0.2473	189.51	99.83	1110.32	2729.40	2205	0.14	0.08	4765
pa-020	analitzada-provisional-contextual	-60.52	-22.52	0.0360	0.2316	73.03	63.02	1100.62	2629.09	3628	0.14	0.08	7249
pa-021	analitzada-provisional-contextual	-58.30	-21.88	0.0344	0.1909	156.52	876.17	999.40	2369.21	2337	0.16	0.08	5466
pa-022	analitzada-provisional-contextual	-55.35	-21.85	0.0360	0.2316	190.60	96.74	1052.35	2532.59	1606	0.20	0.08	4627
pa-023	analitzada-provisional-contextual	-55.63	-21.96	0.0376	0.2019	50.15	72.44	967.98	2443.94	1396	0.20	0.08	3721
pa-024	analitzada-provisional-contextual	-61.96	-21.54	0.0407	0.1737	89.23	143.79	1001.16	2115.93	5554	0.18	0.08	14006
pa-025	analitzada-provisional-contextual	-59.38	-21.92	0.0344	0.2676	110.17	85.39	946.99	2978.85	4350	0.22	0.08	12500
pa-026	analitzada-provisional-contextual	-60.29	-22.60	0.0407	0.2175	172.05	447.72	1336.89	2424.18	3843	0.18	0.08	10289
pa-027	analitzada-provisional-contextual	-58.04	-21.88	0.0376	0.2003	156.24	89.40	1084.59	2320.17	2377	0.16	0.08	5235
pa-028	analitzada-provisional-contextual	-61.33	-22.10	0.0203	0.2238	32.23	48.63	1434.09	2661.04	775	0.18	0.08	1915
pa-029	analitzada-provisional-contextual	-50.22	-22.42	0.0407	0.2473	191.39	123.35	1098.30	2700.79	3403	0.12	0.08	6687
pa-030	analitzada-provisional-contextual	-60.65	-22.20	0.0344	0.1643	138.96	102.45	1061.60	2207.49	2717	0.16	0.06	6183
pa-031	analitzada-provisional-contextual	-59.00	-21.59	0.0297	0.2347	143.87	84.61	961.58	2710.40	1420	0.18	0.08	3441
pa-032	analitzada-provisional-contextual	-62.51	-21.97	0.0297	0.1800	65.89	68.73	899.67	2315.07	877	0.18	0.08	2259
pa-033	analitzada-provisional-contextual	-57.94	-22.25	0.0391	0.2723	181.07	122.26	1071.53	3095.08	759	0.12	0.06	1377
pa-034	analitzada-provisional-contextual	-55.23	-20.99	0.0329	0.2207	131.84	98.90	931.48	2630.65	3250	0.16	0.08	7861
pa-035	analitzada-provisional-contextual	-66.82	-21.61	0.0250	0.2269	89.82	75.77	1176.10	2656.51	1672	0.24	0.10	5087
pa-036	analitzada-provisional-contextual	-51.47	-21.62	0.0360	0.1847	156.51	163.61	1018.53	2284.18	1888	0.20	0.06	4972
pa-037	analitzada-provisional-contextual	-64.47	-22.43	0.0297	0.1768	164.46	92.36	1145.54	2331.96	1098	0.16	0.08	2462
pa-038	analitzada-provisional-contextual	-61.72	-21.97	0.0360	0.2222	58.17	53.87	1184.59	2553.06	4852	0.18	0.08	12137
pa-039	analitzada-provisional-contextual	-65.73	-21.74	0.0485	0.2363	52.68	72.93	1373.64	2709.05	1420	0.16	0.10	3245
pa-040	analitzada-provisional-contextual	-46.99	-22.12	0.0407	0.2833	120.07	88.10	1068.93	3098.78	758	0.14	0.06	1620
pa-041	analitzada-provisional-contextual	-47.49	-20.93	0.0469	0.1471	131.33	172.17	1050.06	1873.77	1615	0.20	0.06	4240
pa-042	analitzada-provisional-contextual	-44.75	-18.68	0.0579	0.2067	109.19	360.19	1328.97	2425.88	988	0.22	0.06	2908
pa-043	analitzada-provisional-contextual	-52.74	-22.33	0.0501	0.2629	147.12	658.80	1342.08	2937.57	390	0.14	0.06	846
pa-044	quarantena-asr	-50.10	-23.42	0.0391	0.2160	172.24	326.85	1142.77	2402.94	3322	0.20	0.06	10192
pa-045	analitzada-provisional-contextual	-56.27	-23.74	0.0407	0.2332	114.17	92.87	1123.10	2648.08	3832	0.14	0.08	8167
pa-046	analitzada-provisional-contextual	-49.18	-22.93	0.0360	0.1847	120.97	97.11	1113.00	2340.02	2829	0.18	0.08	7232
pa-047	quarantena-asr	-50.93	-24.82	0.0391	0.2285	141.79	147.29	1332.45	2372.58	4386	0.14	0.08	8963
pa-048	analitzada-provisional-contextual	-66.28	-25.74	0.0329	0.1956	130.35	79.24	1228.99	2460.61	3140	0.14	0.10	6376
pa-049	analitzada-provisional-contextual	-46.63	-21.60	0.0391	0.2613	127.15	113.56	1275.60	2855.89	3254	0.24	0.06	10552
pa-050	quarantena-asr	-48.78	-22.27	0.0438	0.3255	116.65	113.62	1468.84	3287.85	3537	0.20	0.06	10256
pa-051	analitzada-provisional-contextual	-45.44	-20.37	0.0329	0.1424	150.64	81.67	971.59	1819.18	540	0.20	0.08	2044
pa-052	analitzada-provisional-contextual	-36.14	-17.87	0.0360	0.1017	70.01	76.80	876.93	1269.56	59	0.38	0.07	1486
pa-053	analitzada-provisional-contextual	-41.83	-15.36	0.0266	0.1142	137.73	80.89	872.26	1797.97	248	0.36	0.06	1851
pa-054	analitzada-provisional-contextual	-40.02	-18.33	0.0360	0.1330	139.97	80.53	1024.60	2000.29	419	0.34	0.06	2373
pa-055	analitzada-provisional-automatica	-60.19	-22.56	0.0407	0.2191	173.29	255.77	1339.74	2438.40	3825	0.20	0.08	10229
pa-056	analitzada-provisional-automatica	-60.57	-22.16	0.0344	0.1659	140.69	83.64	1062.06	2215.83	2727	0.16	0.06	6218
pa-057	analitzada-provisional-automatica	-50.15	-22.37	0.0407	0.2488	192.97	101.47	1109.29	2704.19	3419	0.12	0.08	6686
pa-058	analitzada-provisional-automatica	-61.05	-21.25	0.0360	0.2050	64.28	98.04	924.56	2542.61	6555	0.18	0.10	16285
pa-059	analitzada-provisional-automatica	-59.90	-21.71	0.0344	0.2410	122.28	76.24	1051.40	2646.57	2336	0.16	0.08	4999
pa-060	analitzada-provisional-automatica	-55.56	-21.91	0.0376	0.2034	54.02	75.63	978.20	2446.16	1372	0.20	0.08	3720
pa-061	analitzada-provisional-automatica	-41.80	-22.72	0.0516	0.2332	112.12	2043.35	1475.48	2414.20	2666	0.24	0.06	11468
pa-062	analitzada-provisional-automatica	-49.72	-24.05	0.0360	0.1815	144.82	246.07	1056.22	2228.85	3493	0.18	0.08	8021
pa-063	analitzada-provisional-automatica	-48.66	-22.52	0.0344	0.1721	63.11	53.44	1130.19	2161.15	3561	0.18	0.08	9349
