id_persona	forma	categoria	clip	interval_escolta	token_interval_absolute	token_duration_s	f0_token_hz	f1_token_hz	f2_token_hz	f3_token_hz	intensity_token_db	f0_persona_median_hz	delta_f0_clip_persona_hz	centroid_clip_hz	veu_clip	pausa_clip_s	estat
pa-010	crec	B-dos-models	clips/pa-010__crec__1033.25.wav	1033.25-1036.75	1033.640-1034.010	0.370	96.12	301.65	931.41	3176.72	62.27	147.94	41.37	777.86	0.4138	0.100	descriptor instrumental; revisió auditiva pendent
pa-005	o sigui	B-dos-models	clips/pa-005__o-sigui__373.33.wav	373.33-379.95	376.930-377.390	0.460		367.21	2303.18	3409.75	45.28	225.40	4.55	1530.35	0.0182	1.880	descriptor instrumental; revisió auditiva pendent
pa-006	bé	B-dos-models	clips/pa-006__b__151.25.wav	151.25-159.75	154.600-154.850	0.250		934.29	2515.11	3134.60	38.43	141.72	42.56	726.69	0.6108	0.080	descriptor instrumental; revisió auditiva pendent
pa-009	clar	B-dos-models	clips/pa-009__clar__99.25.wav	99.25-105.75	102.480-102.770	0.290		1076.84	1736.28	2729.34	41.53	190.72	18.47	1370.37	0.5154	0.090	descriptor instrumental; revisió auditiva pendent
pa-013	perquè	B-dos-models	clips/pa-013__perqu__433.89.wav	433.89-442.03	436.160-436.530	0.370	193.22	633.14	1877.14	2552.27	75.48	301.34	-70.44	1313.89	0.7094	0.040	descriptor instrumental; revisió auditiva pendent
pa-014	evidentment	B-dos-models	clips/pa-014__evidentment__28.65.wav	28.65-37.55	31.830-31.980	0.150		1082.29	1610.28	2651.07	31.07	140.62	-8.96	1092.14	0.6577	0.080	descriptor instrumental; revisió auditiva pendent
pa-016	bé	B-dos-models	clips/pa-016__b__170.05.wav	170.05-177.19	175.990-176.330	0.340		767.66	1918.85	2839.31	43.75	291.45	8.19	1085.13	0.6545	0.060	descriptor instrumental; revisió auditiva pendent
pa-019	llavors	B-dos-models	clips/pa-019__llavors__422.25.wav	422.25-427.75	426.010-426.400	0.390	95.58	351.12	1804.64	3335.20	64.18	193.89	100.01	956.73	0.7007	0.060	descriptor instrumental; revisió auditiva pendent
pa-021	perquè	B-dos-models	clips/pa-021__perqu__15.45.wav	15.45-19.67	17.120-17.450	0.330	180.15	346.00	1487.94	2855.49	67.12	232.22	19.50	1146.97	0.5667	0.060	descriptor instrumental; revisió auditiva pendent
pa-023	a nivell	B-dos-models	clips/pa-023__a-nivell__418.57.wav	418.57-422.99	419.870-420.370	0.500	140.15	566.70	1786.47	2561.78	74.39	141.18	-1.59	1079.11	0.6500	0.080	descriptor instrumental; revisió auditiva pendent
pa-026	a nivell	C-un-model	clips/pa-026__a-nivell__38.25.wav	38.25-41.75	39.670-40.270	0.600	129.53	333.78	1428.75	2451.85	71.59	267.70	6.19	1526.38	0.4368	0.540	descriptor instrumental; revisió auditiva pendent
pa-028	bé	B-dos-models	clips/pa-028__b__182.49.wav	182.49-187.39	185.520-185.610	0.090	126.72	159.05	1562.72	2871.58	60.14	131.09	15.63	1393.46	0.4426	0.080	descriptor instrumental; revisió auditiva pendent
pa-029	a nivell	B-dos-models	clips/pa-029__a-nivell__417.09.wav	417.09-421.47	418.660-419.290	0.630	93.63	804.16	2102.64	2422.59	64.86	219.51	-0.52	1010.79	0.7798	0.020	descriptor instrumental; revisió auditiva pendent
pa-030	vull dir	B-dos-models	clips/pa-030__vull-dir__842.69.wav	842.69-848.23	843.370-844.350	0.980		793.66	1681.36	2628.64	31.91	134.25	-1.32	1481.10	0.3659	0.120	descriptor instrumental; revisió auditiva pendent
pa-033	vull dir	B-dos-models	clips/pa-033__vull-dir__56.25.wav	56.25-62.63	56.860-57.140	0.280		726.37	1226.06	2100.01	64.23	286.24	0.71	1173.59	0.5346	0.050	descriptor instrumental; revisió auditiva pendent
pa-036	clar	B-dos-models	clips/pa-036__clar__136.45.wav	136.45-147.15	141.540-141.720	0.180	99.67	605.74	1078.98	2588.69	71.09	261.02	13.86	1071.23	0.6948	0.100	descriptor instrumental; revisió auditiva pendent
pa-039	bé	B-dos-models	clips/pa-039__b__27.77.wav	27.77-32.03	30.990-31.040	0.050		484.73	1503.18	2358.34	48.52	154.90	0.00	1638.45	0.3821	0.140	descriptor instrumental; revisió auditiva pendent
pa-040	evidentment	B-dos-models	clips/pa-040__evidentment__103.93.wav	103.93-106.95	105.810-106.120	0.310	66.57	607.26	1633.82	2334.69	65.08	202.99	3.40	1104.92	0.7267	0.040	descriptor instrumental; revisió auditiva pendent
pa-045	a veure	B-dos-models	clips/pa-045__a-veure__340.93.wav	340.93-345.91	345.020-345.090	0.070	70.93	479.78	1284.64	2565.99	56.17	272.44	30.74	951.19	0.6048	0.080	descriptor instrumental; revisió auditiva pendent
pa-045	clar	B-dos-models	clips/pa-045__clar__399.85.wav	399.85-405.95	403.530-403.870	0.340		579.70	1314.42	2642.67	66.14	272.44	37.74	1552.50	0.3257	0.160	descriptor instrumental; revisió auditiva pendent
pa-046	bé	C-un-model	clips/pa-046__b__348.81.wav	348.81-352.55	351.130-351.370	0.240	98.90	715.74	2597.88	3914.06	61.09	216.65	33.65	1304.43	0.3710	0.070	descriptor instrumental; revisió auditiva pendent
pa-049	bueno	B-dos-models	clips/pa-049__bueno__269.05.wav	269.05-275.83	274.610-274.840	0.230	166.81	1035.86	2330.10	3429.25	57.32	229.09	-35.54	1446.33	0.6864	0.060	descriptor instrumental; revisió auditiva pendent
pa-055	a nivell	B-dos-models	clips/pa-055__a-nivell__38.09.wav	38.09-44.07	38.450-39.280	0.830		794.55	1446.74	2640.90	33.71	272.57	0.00	1375.36	0.4564	0.600	descriptor instrumental; revisió auditiva pendent
pa-057	perquè	C-un-model	clips/pa-057__perqu__249.45.wav	249.45-254.11	250.210-250.590	0.380		969.80	2844.91	3678.28	53.94	226.75	-107.69	1584.57	0.2414	0.130	descriptor instrumental; revisió auditiva pendent
pa-058	és a dir	C-un-model	clips/pa-058__s-a-dir__74.41.wav	74.41-79.87	75.500-76.070	0.570	110.89	342.21	2315.24	2691.94	64.75	264.70	-0.48	910.98	0.6434	0.100	descriptor instrumental; revisió auditiva pendent
pa-061	a nivell	B-dos-models	clips/pa-061__a-nivell__1357.21.wav	1357.21-1360.71	1358.420-1359.180	0.760	142.96	716.20	1596.29	2488.07	65.84	219.47	80.05	1409.18	0.8851	0.080	descriptor instrumental; revisió auditiva pendent
pa-061	crec	B-dos-models	clips/pa-061__crec__428.85.wav	428.85-435.63	430.790-430.850	0.060	151.30	699.65	1719.22	2464.46	69.29	219.47	29.50	1470.60	0.6095	0.060	descriptor instrumental; revisió auditiva pendent
pa-065	bé	B-dos-models	clips/pa-065__b__138.57.wav	138.57-144.67	140.040-140.340	0.300	125.83	440.27	1885.92	2382.21	59.86	197.97	64.08	1159.60	0.3849	0.120	descriptor instrumental; revisió auditiva pendent
