forma	id_persona	interval_escolta	clip	forma_en_qa	durada_s	veu_proporcio	rms_p10_db	rms_p50_db	rms_p90_db	zcr_p10	zcr_p90	f0_median_hz	f0_iqr_hz	centroid_median_hz	centroid_p90_hz	segments_veu	pausa_mediana_s	mostres_f0	nota	categoria	rang	sha256
Massana	pa-002	1126.000-1134.000	clips-formes-escasses/massana__pa-002__1.wav		8.500	0.6108	-56.88	-31.86	-19.21	0.0349	0.3648	244.59	94.67	1001.54	3660.68	17	0.060	128	descriptor orientatiu; no és anotació fonètica	territorial	1	363a08715889100314eaf6532a8911bae94d445ac5237de355dccfb4cc31727d
Massana	pa-007	188.000-193.000	clips-formes-escasses/massana__pa-007__2.wav		5.500	0.7080	-53.78	-25.80	-17.92	0.0318	0.2870	224.37	107.35	1369.48	3238.21	9	0.110	97	descriptor orientatiu; no és anotació fonètica	territorial	2	baf5c41b226d542b01d0d949a9fc548e4f3364c897e79053fdcde8661a1b0760
Massana	pa-020	23.440-25.440	clips-formes-escasses/massana__pa-020__3.wav		2.500	0.6210	-57.10	-28.67	-19.84	0.0423	0.2066	213.04	107.00	1253.14	2386.58	4	0.060	39	descriptor orientatiu; no és anotació fonètica	territorial	3	df76d1ec4661b45180caf344b7d3564c4ac406382462ec105fae9c9d8cfa3842
aiguats	pa-004	385.280-388.680	clips-formes-escasses/aiguats__pa-004__1.wav		3.900	0.2577	-67.82	-40.58	-31.49	0.0376	0.4095	309.91	109.66	1323.27	3685.70	8	0.180	26	descriptor orientatiu; no és anotació fonètica	territorial	1	120b74206463eb72f67e7a3fb75d558aa1a87d2bc0b55a863e6af86b68107950
aiguats	pa-049	177.520-184.160	clips-formes-escasses/aiguats__pa-049__2.wav		7.140	0.6067	-42.47	-30.55	-21.94	0.0563	0.2027	275.98	65.24	1227.51	2414.68	15	0.070	110	descriptor orientatiu; no és anotació fonètica	territorial	2	a21c3f7a2123e635c33d6e91a76d0ee09d7b9dff407db94332207cb8c8887d69
aiguats	pa-066	40.160-45.120	clips-formes-escasses/aiguats__pa-066__3.wav		5.460	0.7022	-61.41	-27.85	-19.00	0.0455	0.3576	274.85	78.84	1173.05	3525.04	13	0.040	97	descriptor orientatiu; no és anotació fonètica	territorial	3	0e76620d44ba3995f18764a0f432f7543dde89442f06e3e2b556c32896adc95d
andorrana	pa-001	62.640-66.680	clips-formes-escasses/andorrana__pa-001__1.wav		4.540	0.5752	-54.67	-31.18	-22.52	0.0250	0.2152	205.17	18.67	870.15	2360.21	11	0.130	66	descriptor orientatiu; no és anotació fonètica	territorial	1	205fb3d7e58e3a016aa2c36e63773032f54c94c96b6428886733b17c54deb2b7
andorrana	pa-003	133.520-144.200	clips-formes-escasses/andorrana__pa-003__2.wav		11.180	0.6703	-44.80	-25.22	-15.77	0.0469	0.2128	301.45	121.63	1226.88	2453.56	16	0.120	187	descriptor orientatiu; no és anotació fonètica	territorial	2	ccade0fa9a8713a8d2f3e5f359819d2060cb79fadbf5d5d30c9371d6fddfbcce
andorrana	pa-007	498.000-502.000	clips-formes-escasses/andorrana__pa-007__3.wav		4.500	0.5759	-58.40	-31.37	-18.31	0.0313	0.1842	193.76	115.11	1247.51	2315.11	10	0.060	63	descriptor orientatiu; no és anotació fonètica	territorial	3	28b66b5c2c5fb89b60cdec704a6379fe842d443fe8021e8c862c2ca4dc2d1ae5
aviam	pa-003	180.920-188.040	clips-formes-escasses/aviam__pa-003__1.wav		7.620	0.6447	-44.64	-26.30	-15.98	0.0438	0.1706	246.21	113.90	1307.24	2290.06	14	0.120	121	descriptor orientatiu; no és anotació fonètica	discurs	1	dac67cbb394b5e360bd84a5e737e9c421c4c7339c663d63a0f1e9abea81427c9
aviam	pa-014	876.200-883.200	clips-formes-escasses/aviam__pa-014__2.wav		7.500	0.5561	-65.66	-33.67	-23.38	0.0266	0.1873	121.10	28.79	1218.26	1924.97	14	0.080	104	descriptor orientatiu; no és anotació fonètica	discurs	2	c3ac3d379fcb610ae433bfe3e65f2477e670cece198db8ce5f3c7b0f35bd64f6
