id_persona	forma	interval_escolta	clip	f0_clip_hz	f0_persona_hz	delta_f0_hz	delta_f0_z_persona	veu_clip	veu_persona	delta_veu	centroid_clip_hz	centroid_persona_hz	delta_centroid_hz	pausa_clip_s	pausa_persona_s	delta_pausa_s
pa-001	crec	97.33-100.95	clips/pa-001__crec__97.33.wav	219.23	211.91	7.32	0.081	0.6444	0.6582	-0.0138	1032.27	897.03	135.24	0.100	0.06	0.040
pa-001	evidentment	1067.69-1071.19	clips/pa-001__evidentment__1067.69.wav	243.22	211.91	31.31	0.345	0.5920	0.6582	-0.0662	795.28	897.03	-101.75	0.200	0.06	0.140
pa-001	perquè	59.57-63.31	clips/pa-001__perqu__59.57.wav	205.46	211.91	-6.45	-0.071	0.8495	0.6582	0.1913	699.39	897.03	-197.64	0.070	0.06	0.010
pa-002	a nivell	714.25-724.75	clips/pa-002__a-nivell__714.25.wav	283.90	275.03	8.87	0.070	0.5859	0.4450	0.1409	1052.29	1114.97	-62.68	0.060	0.08	-0.020
pa-002	a veure	126.25-132.75	clips/pa-002__a-veure__126.25.wav	308.43	275.03	33.40	0.263	0.5093	0.4450	0.0643	831.77	1114.97	-283.20	0.080	0.08	0.000
pa-002	bé	348.25-355.75	clips/pa-002__b__348.25.wav	309.71	275.03	34.68	0.273	0.4733	0.4450	0.0283	1231.82	1114.97	116.85	0.090	0.08	0.010
pa-002	crec	248.25-254.75	clips/pa-002__crec__248.25.wav	227.06	275.03	-47.97	-0.377	0.4938	0.4450	0.0488	988.10	1114.97	-126.87	0.100	0.08	0.020
pa-002	evidentment	205.25-209.75	clips/pa-002__evidentment__205.25.wav	234.14	275.03	-40.89	-0.321	0.1384	0.4450	-0.3066	1205.23	1114.97	90.26	0.200	0.08	0.120
pa-002	perquè	18.25-23.75	clips/pa-002__perqu__18.25.wav	330.33	275.03	55.30	0.435	0.5803	0.4450	0.1353	872.41	1114.97	-242.56	0.080	0.08	0.000
pa-003	a nivell	180.17-188.79	clips/pa-003__a-nivell__180.17.wav	235.94	301.07	-65.13	-0.517	0.6163	0.6712	-0.0549	1283.92	1202.74	81.18	0.110	0.08	0.030
pa-003	crec	0.00-7.19	clips/pa-003__crec__0.00.wav	219.64	301.07	-81.43	-0.646	0.5838	0.6712	-0.0874	1394.91	1202.74	192.17	0.060	0.08	-0.020
pa-003	de fet	0.00-7.19	clips/pa-003__de-fet__0.00.wav	219.64	301.07	-81.43	-0.646	0.5838	0.6712	-0.0874	1394.91	1202.74	192.17	0.060	0.08	-0.020
pa-003	evidentment	158.81-165.19	clips/pa-003__evidentment__158.81.wav	306.70	301.07	5.63	0.045	0.7264	0.6712	0.0552	1230.53	1202.74	27.79	0.080	0.08	0.000
pa-003	perquè	201.57-207.03	clips/pa-003__perqu__201.57.wav	296.88	301.07	-4.19	-0.033	0.6838	0.6712	0.0126	1186.80	1202.74	-15.94	0.040	0.08	-0.040
pa-003	tirar endavant	361.93-366.63	clips/pa-003__tirar-endavant__361.93.wav	295.24	301.07	-5.83	-0.046	0.6496	0.6712	-0.0216	1303.47	1202.74	100.73	0.060	0.08	-0.020
pa-003	és a dir	65.05-70.51	clips/pa-003__s-a-dir__65.05.wav	252.34	301.07	-48.73	-0.387	0.6103	0.6712	-0.0609	1312.53	1202.74	109.79	0.080	0.08	0.000
pa-004	bé	319.61-322.59	clips/pa-004__b__319.61.wav	288.82	307.26	-18.44	-0.107	0.1284	0.2292	-0.1008	1351.78	1207.37	144.41	0.530	0.14	0.390
pa-004	de fet	601.17-607.35	clips/pa-004__de-fet__601.17.wav	310.31	307.26	3.05	0.018	0.2468	0.2292	0.0176	1308.97	1207.37	101.60	0.100	0.14	-0.040
pa-004	evidentment	522.93-528.15	clips/pa-004__evidentment__522.93.wav	242.56	307.26	-64.70	-0.374	0.1615	0.2292	-0.0677	1370.58	1207.37	163.21	0.340	0.14	0.200
pa-004	perquè	464.09-471.39	clips/pa-004__perqu__464.09.wav	309.55	307.26	2.29	0.013	0.1593	0.2292	-0.0699	1075.94	1207.37	-131.43	0.160	0.14	0.020
pa-004	vull dir	143.45-150.59	clips/pa-004__vull-dir__143.45.wav	138.43	307.26	-168.83	-0.977	0.0815	0.2292	-0.1477	1149.70	1207.37	-57.67	0.120	0.14	-0.020
pa-005	bé	51.09-56.07	clips/pa-005__b__51.09.wav	241.53	217.35	24.18	0.758	0.0645	0.0405	0.0240	1690.47	1408.04	282.43	0.150	0.92	-0.770
pa-005	doncs	71.13-77.11	clips/pa-005__doncs__71.13.wav	225.40	217.35	8.05	0.252	0.0638	0.0405	0.0233	1678.86	1408.04	270.82	0.280	0.92	-0.640
pa-006	aleshores	513.25-518.75	clips/pa-006__aleshores__513.25.wav	108.91	152.82	-43.91	-0.329	0.3577	0.5268	-0.1691	784.05	752.54	31.51	0.100	0.08	0.020
pa-006	de fet	285.25-291.75	clips/pa-006__de-fet__285.25.wav	117.01	152.82	-35.81	-0.269	0.5772	0.5268	0.0504	741.78	752.54	-10.76	0.070	0.08	-0.010
pa-007	a veure	89.25-96.75	clips/pa-007__a-veure__89.25.wav	291.20	244.38	46.82	0.377	0.6791	0.5486	0.1305	1205.52	1338.74	-133.22	0.060	0.08	-0.020
pa-007	bé	59.25-66.75	clips/pa-007__b__59.25.wav	263.45	244.38	19.07	0.154	0.6604	0.5486	0.1118	1236.76	1338.74	-101.98	0.060	0.08	-0.020
pa-007	clar	344.25-349.75	clips/pa-007__clar__344.25.wav	269.48	244.38	25.10	0.202	0.5292	0.5486	-0.0194	1453.08	1338.74	114.34	0.260	0.08	0.180
pa-007	diguem	585.25-591.75	clips/pa-007__diguem__585.25.wav	256.98	244.38	12.60	0.101	0.5772	0.5486	0.0286	1413.32	1338.74	74.58	0.080	0.08	0.000
