id_persona	pauses_audio	silenci_total_s	silenci_mediana_s	silenci_max_s	mean_volume_db	max_volume_db
pa-001	139	74.47	0.43	2.84	-25.7	-9.9
pa-002	900	679.92	0.65	2.81	-27.1	-1.5
pa-003	16	7.29	0.35	1.32	-21.1	0.0
pa-004	301	211.85	0.57	10.00	-33.2	-0.1
pa-005	397	300.26	0.55	14.51	-35.2	-0.0
pa-006	239	160.07	0.46	22.47	-29.3	-0.0
pa-007	320	170.88	0.42	11.16	-23.7	-0.0
pa-008	351	198.17	0.45	11.05	-26.8	0.0
pa-009	295	162.59	0.48	7.86	-29.2	-0.0
pa-010	272	158.10	0.50	2.88	-24.9	0.0
pa-011	99	81.25	0.51	9.99	-22.1	0.0
pa-012	239	164.19	0.52	3.85	-14.2	0.0
pa-013	144	90.06	0.40	19.99	-14.9	0.0
pa-014	342	252.89	0.60	4.12	-24.3	-0.0
pa-015	16	13.97	0.55	4.78	-13.5	0.0
pa-016	244	142.73	0.53	2.12	-26.4	-2.5
pa-017	353	171.03	0.40	2.63	-26.1	-4.9
pa-018	1203	578.72	0.43	2.74	-26.0	-7.6
pa-019	208	123.20	0.48	2.04	-26.6	-1.0
pa-020	473	307.94	0.58	2.42	-26.8	-1.3
pa-021	290	173.60	0.51	2.17	-26.3	-2.0
pa-022	233	121.68	0.45	2.43	-26.2	-2.5
pa-023	153	88.91	0.50	2.10	-26.1	-2.1
pa-024	841	541.69	0.55	2.83	-26.6	-8.7
pa-025	735	422.88	0.51	2.72	-26.3	-6.9
pa-026	868	678.42	0.63	4.23	-27.2	-4.9
pa-027	310	181.61	0.52	3.05	-26.6	-6.6
pa-028	174	127.33	0.65	2.63	-26.7	-5.3
pa-029	203	114.66	0.47	2.09	-26.4	-1.0
pa-030	419	287.63	0.61	2.42	-26.2	-0.5
pa-031	173	117.70	0.56	2.61	-26.3	-4.9
pa-032	186	138.87	0.62	2.69	-26.7	-4.8
pa-033	72	44.20	0.45	2.63	-26.4	-5.9
pa-034	248	137.03	0.45	3.03	-26.0	-9.1
pa-035	423	355.64	0.60	3.24	-26.7	-9.1
pa-036	158	70.76	0.42	2.31	-25.8	-1.1
pa-037	202	144.20	0.62	2.59	-26.7	-2.9
pa-038	744	480.39	0.53	2.85	-26.4	-5.1
pa-039	250	181.45	0.65	2.89	-27.1	-8.5
pa-040	16	11.04	0.42	2.54	-26.0	-1.4
pa-041	131	80.76	0.54	2.53	-25.3	-2.4
pa-042	28	12.32	0.42	0.79	-23.1	-5.0
pa-043	36	20.43	0.52	2.49	-26.4	-1.9
pa-044	222	184.92	0.56	23.03	-27.7	-5.2
pa-045	487	389.51	0.62	24.06	-28.7	-6.1
pa-046	239	165.49	0.53	23.31	-27.5	-4.7
pa-047	308	207.33	0.49	23.09	-29.3	-3.7
pa-048	686	528.09	0.63	21.38	-30.5	-7.0
pa-049	173	118.86	0.48	21.12	-26.0	-7.0
pa-050	231	139.14	0.44	22.43	-26.6	-8.9
pa-051	15	23.40	0.65	6.55	-25.2	-4.7
pa-052	3	7.66	0.68	6.67	-19.9	-0.4
pa-053	7	20.40	0.78	12.48	-20.0	-0.1
pa-054	2	4.16	2.08	3.44	-22.7	-4.3
pa-055	870	674.64	0.62	4.22	-27.1	-4.6
pa-056	423	287.26	0.61	2.40	-26.2	-0.7
pa-057	200	111.71	0.47	2.09	-26.4	-0.7
pa-058	1202	577.20	0.43	2.74	-26.0	-7.3
pa-059	349	169.65	0.40	2.63	-26.1	-4.5
pa-060	151	88.07	0.48	2.10	-26.1	-2.2
pa-061	56	71.68	0.62	19.74	-26.6	-3.5
pa-062	416	280.38	0.52	17.71	-28.6	-4.7
pa-063	303	184.94	0.45	20.24	-27.3	-5.1
pa-064	468	339.64	0.62	21.25	-27.0	-6.1
pa-065	557	336.52	0.48	21.96	-28.4	-4.7
pa-066	129	69.58	0.52	1.80	-26.9	-0.3
