id_persona	forma	clip	occurrence	local_start_s	local_end_s	absolute_start_s	absolute_end_s	prob_min	text	centre_rel_s	f0_hz	f1_hz	f2_hz	f3_hz	estat
pa-001	evidentment	clips/pa-001__evidentment__1067.69.wav	1	1.410	2.200	1069.100	1069.890	0.6919	evidentment	1.805		888.35	2041.48	3210.17	coincidència small/base; mesures instrumentals; pendent d’audició
pa-002	evidentment	clips/pa-002__evidentment__205.25.wav	1	0.610	1.710	205.860	206.960	0.5905	evidentment	1.160	74.13	426.97	1462.09	2411.67	coincidència small/base; mesures instrumentals; pendent d’audició
pa-003	tirar endavant	clips/pa-003__tirar-endavant__361.93.wav	1	0.980	2.000	362.910	363.930	0.7977	tirar endavant	1.490		598.99	1996.39	3141.58	coincidència small/base; mesures instrumentals; pendent d’audició
pa-004	evidentment	clips/pa-004__evidentment__522.93.wav	1	3.840	4.000	526.770	526.930	0.9396	evidentment	3.920	155.00	340.73	2299.18	2867.39	coincidència small/base; mesures instrumentals; pendent d’audició
pa-006	de fet	clips/pa-006__de-fet__285.25.wav	1	1.600	2.100	286.850	287.350	0.7151	de fet	1.850	106.18	344.38	1759.29	2529.74	coincidència small/base; mesures instrumentals; pendent d’audició
pa-006	aleshores	clips/pa-006__aleshores__513.25.wav	1	0.030	0.570	513.280	513.820	0.1618	Aleshores	0.300		501.21	1760.96	2856.50	coincidència small/base; mesures instrumentals; pendent d’audició
pa-007	a veure	clips/pa-007__a-veure__89.25.wav	1	0.970	1.470	90.220	90.720	0.9386	a veure	1.220	156.76	343.25	1318.30	2746.37	coincidència small/base; mesures instrumentals; pendent d’audició
pa-007	diguem	clips/pa-007__diguem__585.25.wav	1	1.190	1.400	586.440	586.650	0.5012	diguem	1.295	205.34	1847.28	2529.41	4210.70	coincidència small/base; mesures instrumentals; pendent d’audició
pa-008	a veure	clips/pa-008__a-veure__668.25.wav	1	1.810	2.490	670.060	670.740	0.9329	a veure	2.150	160.21	492.62	1769.45	3053.54	coincidència small/base; mesures instrumentals; pendent d’audició
pa-008	aleshores	clips/pa-008__aleshores__1315.25.wav	1	1.000	1.470	1316.250	1316.720	0.3096	Aleshores	1.235		1664.16	2363.70	3128.22	coincidència small/base; mesures instrumentals; pendent d’audició
pa-009	bé	clips/pa-009__b__557.25.wav	1	3.430	3.680	560.680	560.930	0.9886	bé	3.555	217.49	340.48	1174.53	2388.64	coincidència small/base; mesures instrumentals; pendent d’audició
pa-009	evidentment	clips/pa-009__evidentment__947.25.wav	1	0.910	1.680	948.160	948.930	0.4761	evidentment	1.295	153.64	621.08	1772.44	2446.18	coincidència small/base; mesures instrumentals; pendent d’audició
pa-010	clar	clips/pa-010__clar__334.85.wav	1	3.300	3.450	338.150	338.300	0.8078	clar	3.375		1743.47	3386.13	3488.35	coincidència small/base; mesures instrumentals; pendent d’audició
pa-011	bé	clips/pa-011__b__185.57.wav	1	2.370	2.470	187.940	188.040	0.9981	bé	2.420	179.20	387.07	1534.03	1729.77	coincidència small/base; mesures instrumentals; pendent d’audició
pa-014	o sigui	clips/pa-014__o-sigui__658.45.wav	1	3.600	4.040	662.050	662.490	0.3085	o sigui	3.820	130.08	453.18	1618.27	2244.02	coincidència small/base; mesures instrumentals; pendent d’audició
pa-015	doncs	clips/pa-015__doncs__83.25.wav	1	1.090	1.350	84.340	84.600	0.7675	doncs	1.220	248.32	363.71	849.96	2546.15	coincidència small/base; mesures instrumentals; pendent d’audició
pa-016	clar	clips/pa-016__clar__175.69.wav	1	2.550	3.000	178.240	178.690	0.7159	clar	2.775		635.09	1456.82	2829.86	coincidència small/base; mesures instrumentals; pendent d’audició
pa-017	clar	clips/pa-017__clar__34.45.wav	1	2.700	3.290	37.150	37.740	0.9178	clar	2.995	184.16	483.82	1429.77	3116.28	coincidència small/base; mesures instrumentals; pendent d’audició
