id_persona	forma	interval_escolta	clip	token_start_abs	token_end_abs	centre_rel_s	token_p_min	f0_hz	f1_hz	f2_hz	f3_hz
pa-004	bé	319.61-322.59	clips/pa-004__b__319.61.wav	320.890	321.150	1.410	0.9778	132.22	236.30	1989.86	2971.38
pa-005	bé	51.09-56.07	clips/pa-005__b__51.09.wav	52.380	52.550	1.375	0.9922		860.45	2432.42	3411.08
pa-007	bé	59.25-66.75	clips/pa-007__b__59.25.wav	59.610	59.730	0.420	0.9159	312.44	480.07	1438.52	2603.12
pa-009	bé	557.25-561.75	clips/pa-009__b__557.25.wav	560.680	560.930	3.555	0.9886	217.49	340.48	1174.53	2388.64
pa-011	bé	185.57-189.31	clips/pa-011__b__185.57.wav	187.940	188.040	2.420	0.9981	179.20	387.07	1534.03	1729.77
pa-014	bé	165.65-181.55	clips/pa-014__b__165.65.wav	165.650	166.040	0.195	0.0358		726.71	1804.47	2379.53
pa-019	bé	195.25-201.75	clips/pa-019__b__195.25.wav	200.300	200.400	5.100	0.9904	72.56	485.98	1630.92	2821.05
pa-020	bé	146.37-152.31	clips/pa-020__b__146.37.wav	149.550	149.930	3.370	0.8338	82.59	1689.06	2522.81	3738.45
pa-023	bé	409.37-413.47	clips/pa-023__b__409.37.wav	410.250	410.320	0.915	0.4139	142.08	366.69	2208.00	2559.79
pa-026	bé	99.97-103.47	clips/pa-026__b__99.97.wav	100.290	100.530	0.440	0.9655		916.60	2310.76	3277.25
pa-028	bé	182.49-187.39	clips/pa-028__b__182.49.wav	185.330	185.570	2.960	0.6210	156.83	459.33	1469.51	2599.59
pa-032	bé	270.41-274.95	clips/pa-032__b__270.41.wav	273.790	273.920	3.445	0.6429	83.79	303.37	1187.31	2246.15
pa-033	bé	103.09-107.43	clips/pa-033__b__103.09.wav	103.820	103.880	0.760	0.2637	122.17	364.70	2178.80	3006.68
pa-033	bé	103.09-107.43	clips/pa-033__b__103.09.wav	106.620	106.840	3.640	0.5599		269.92	2168.10	2561.38
pa-036	bé	69.45-75.15	clips/pa-036__b__69.45.wav	71.880	72.170	2.575	0.9970	100.32	401.87	1046.59	2319.63
pa-038	bé	26.77-31.71	clips/pa-038__b__26.77.wav	27.550	27.820	0.915	0.9416	265.59	302.01	1238.06	2609.09
pa-041	bé	130.25-137.75	clips/pa-041__b__130.25.wav	130.250	130.610	0.180	0.0400		926.83	1612.74	2352.10
pa-048	bé	495.73-502.83	clips/pa-048__b__495.73.wav	495.730	496.130	0.200	0.1410		783.39	1820.62	2879.35
pa-063	bé	105.97-110.35	clips/pa-063__b__105.97.wav	105.970	106.220	0.125	0.0642	495.23	510.04	1846.63	1984.45
pa-064	bé	97.93-104.11	clips/pa-064__b__97.93.wav	97.930	98.360	0.215	0.2285	473.85	482.31	1772.30	2819.72
