id_persona	forma	clip	local_start_s	local_end_s	absolute_start_s	absolute_end_s	prob_min	prob_mean	centre_rel_s	f0_hz	f1_hz	f2_hz	f3_hz	estat
pa-007	bé	clips/pa-007__b__59.25.wav	0.670	0.930	59.920	60.180	0.6477	0.6477	0.800	141.62	339.44	1366.62	2425.23	token QA; no és consens de dos models; pendent d'audició
pa-007	llavors	clips/pa-007__llavors__657.25.wav	0.000	0.420	657.250	657.670	0.0183	0.4596	0.210		1089.39	2393.95	3355.26	token QA; no és consens de dos models; pendent d'audició
pa-010	crec	clips/pa-010__crec__1033.25.wav	0.390	0.760	1033.640	1034.010	0.8283	0.8283	0.575	96.12	301.65	931.41	3176.72	token QA; no és consens de dos models; pendent d'audició
pa-041	vull dir	clips/pa-041__vull-dir__264.25.wav	1.210	2.000	265.460	266.250	0.9947	0.9948	1.605		320.02	1654.50	2599.84	token QA; no és consens de dos models; pendent d'audició
pa-004	bé	clips/pa-004__b__319.61.wav	1.280	1.540	320.890	321.150	0.9828	0.9828	1.410	132.22	236.30	1989.86	2971.38	token QA; no és consens de dos models; pendent d'audició
pa-004	de fet	clips/pa-004__de-fet__601.17.wav	2.750	3.000	603.920	604.170	0.6882	0.8381	2.875	160.90	332.18	1189.25	2533.59	token QA; no és consens de dos models; pendent d'audició
pa-004	evidentment	clips/pa-004__evidentment__522.93.wav	3.920	3.970	526.850	526.900	0.9676	0.9793	3.945	74.80	434.36	2049.83	2923.89	token QA; no és consens de dos models; pendent d'audició
pa-004	perquè	clips/pa-004__perqu__464.09.wav	3.990	4.710	468.080	468.800	0.6217	0.6217	4.350	133.42	269.92	1125.51	1916.27	token QA; no és consens de dos models; pendent d'audició
pa-004	vull dir	clips/pa-004__vull-dir__143.45.wav	1.710	2.230	145.160	145.680	0.5771	0.7862	1.970	149.75	306.20	1586.63	2953.89	token QA; no és consens de dos models; pendent d'audició
pa-005	bé	clips/pa-005__b__51.09.wav	1.520	2.000	52.610	53.090	0.9921	0.9921	1.760	228.27	422.68	1940.04	2838.07	token QA; no és consens de dos models; pendent d'audició
pa-005	doncs	clips/pa-005__doncs__71.13.wav	0.000	0.490	71.130	71.620	0.6435	0.6435	0.245		727.29	1925.11	3624.15	token QA; no és consens de dos models; pendent d'audició
pa-005	doncs	clips/pa-005__doncs__71.13.wav	0.960	1.450	72.090	72.580	0.3084	0.6541	1.205		536.77	2181.61	2833.85	token QA; no és consens de dos models; pendent d'audició
pa-005	o sigui	clips/pa-005__o-sigui__373.33.wav	3.600	4.060	376.930	377.390	0.8872	0.9370	3.830		367.21	2303.18	3409.75	token QA; no és consens de dos models; pendent d'audició
pa-006	aleshores	clips/pa-006__aleshores__513.25.wav	0.030	0.740	513.280	513.990	0.5916	0.8525	0.385		1567.02	2587.02	3187.61	token QA; no és consens de dos models; pendent d'audició
pa-006	bé	clips/pa-006__b__151.25.wav	3.350	3.600	154.600	154.850	0.8041	0.8041	3.475		934.29	2515.11	3134.60	token QA; no és consens de dos models; pendent d'audició
pa-006	de fet	clips/pa-006__de-fet__285.25.wav	1.270	2.070	286.520	287.320	0.8407	0.9182	1.670	122.56	363.37	2364.66	2621.87	token QA; no és consens de dos models; pendent d'audició
pa-006	doncs	clips/pa-006__doncs__180.25.wav	0.980	1.540	181.230	181.790	0.5306	0.7648	1.260		1098.31	2348.64	3392.55	token QA; no és consens de dos models; pendent d'audició
pa-006	o sigui	clips/pa-006__o-sigui__136.25.wav	0.000	0.490	136.250	136.740	0.0187	0.4989	0.245		359.50	1646.10	2972.81	token QA; no és consens de dos models; pendent d'audició
pa-006	perquè	clips/pa-006__perqu__110.25.wav	3.200	3.880	113.450	114.130	0.2439	0.2439	3.540	98.12	311.69	1880.39	2503.01	token QA; no és consens de dos models; pendent d'audició
pa-007	a veure	clips/pa-007__a-veure__89.25.wav	1.280	1.800	90.530	91.050	0.9934	0.9961	1.540	145.45	374.23	898.89	2345.39	token QA; no és consens de dos models; pendent d'audició
pa-007	clar	clips/pa-007__clar__344.25.wav	0.260	0.610	344.510	344.860	0.4951	0.4951	0.435		1673.80	1930.57	3170.37	token QA; no és consens de dos models; pendent d'audició
pa-007	diguem	clips/pa-007__diguem__585.25.wav	1.210	1.420	586.460	586.670	0.7294	0.8476	1.315	302.11	327.47	1983.25	2640.08	token QA; no és consens de dos models; pendent d'audició
