id_persona	estat	tokens	tipus_lexics	type_token_ratio	repeticio_3gram	marcadors	formes_territorials	pronoms_clitics	perifrasi_past_aparent	primera_persona	negacio	nota
pa-001	analitzada-provisional-contextual	3122	892	0.2857	0.0526	bé=10;bueno=2;clar=5;llavors=1;aleshores=23;de fet=1;és a dir=1;o sigui=10;vull dir=2;a veure=3;evidentment=1;perquè=20;per tant=6;a nivell=3;no?=4	andorrana=1;comuns=3;copríncep=1;veguer=1	402	64	20	78	recompte ASR; validar contra àudio
pa-002	analitzada-provisional-contextual	5674	1285	0.2265	0.0820	bé=11;bueno=11;clar=14;llavors=13;de fet=6;és a dir=24;vull dir=5;a veure=5;evidentment=10;perquè=55;per tant=4;a nivell=2;no?=4	parròquia=4;comú=1;copríncep=3;veguer=1;Canillo=1;Ordino=2;Escaldes=4;Massana=4;Sant Julià=2	719	218	41	134	recompte ASR; validar contra àudio
pa-003	analitzada-provisional-contextual	1033	357	0.3456	0.0520	bé=3;bueno=1;clar=1;aleshores=2;de fet=1;és a dir=11;aviam=1;diguem=1;evidentment=4;perquè=9;a nivell=1	andorrana=4	124	9	4	14	recompte ASR; validar contra àudio
pa-004	analitzada-provisional-contextual	1921	624	0.3248	0.0481	bé=4;doncs=9;de fet=2;vull dir=1;evidentment=1;perquè=6;per tant=3;no?=5	parròquia=2;comú=3;comunal=2;bordes=1;aiguats=2;Ordino=1;Escaldes=1;Sant Julià=1	235	26	1	14	recompte ASR; validar contra àudio
pa-005	analitzada-provisional-contextual	2019	741	0.3670	0.0228	bé=3;clar=3;doncs=4;llavors=1;o sigui=1;per tant=1	parròquia=1;comú=7;comuns=3;comunal=2;comunals=2;Canillo=1;Ordino=2;Escaldes=4;Sant Julià=3	282	15	2	22	recompte ASR; validar contra àudio
pa-006	analitzada-provisional-contextual	1658	545	0.3287	0.0461	bé=3;clar=1;doncs=3;llavors=3;aleshores=1;de fet=2;o sigui=4;diguem=1;evidentment=2;perquè=6	Ordino=1;Escaldes=2;Sant Julià=3	183	4	2	5	recompte ASR; validar contra àudio
pa-007	analitzada-provisional-contextual	1832	629	0.3433	0.0517	bé=1;bueno=1;clar=1;doncs=6;llavors=1;és a dir=2;a veure=1;diguem=1;evidentment=1;perquè=6;no?=4	andorrana=1;comú=1;copríncep=2;Canillo=3;Ordino=1;Escaldes=4;Massana=2;Sant Julià=5	162	24	5	24	recompte ASR; validar contra àudio
pa-008	analitzada-provisional-contextual	3263	955	0.2927	0.0626	bé=3;bueno=1;clar=1;doncs=16;aleshores=1;de fet=1;és a dir=2;a veure=2;diguem=1;perquè=21;per tant=3;no?=3	parròquia=1;comú=2;Ordino=3;Escaldes=4;Sant Julià=3	471	46	8	23	recompte ASR; validar contra àudio
pa-009	analitzada-provisional-contextual	3215	913	0.2840	0.0749	bé=2;clar=1;doncs=14;llavors=1;o sigui=2;diguem=1;evidentment=1;perquè=7;per tant=3	parròquia=4;comú=3;santuari=1;padrí=1;Canillo=2;Encamp=1;Ordino=2;Sant Julià=3	457	10	3	20	recompte ASR; validar contra àudio
pa-010	analitzada-provisional-contextual	2415	809	0.3350	0.0446	bé=3;clar=5;doncs=7;llavors=5;de fet=3;és a dir=10;perquè=16;per tant=1	comuns=1;Ordino=1;Escaldes=1	272	22	1	25	recompte ASR; validar contra àudio
