id_persona	segments	paraules	durada_asr_s	paraules_minut_span	durada_segments_s	pausa_estimada_s	pausa_percent_span	segment_mitja_s	segment_mediana_s	tokens_lexics	tokens_baixa_conf	percent_baixa_conf	confiança_mitjana
pa-001	362	3128	1120.12	167.55	1084.84	35.28	3.15	3.00	2.90	4578	657	14.35	0.835
pa-002	640	5714	2642.00	129.77	2632.00	10.00	0.38	4.11	4.00	8336	1102	13.22	0.837
pa-003	90	1041	515.64	121.13	515.64	0.00	0.00	5.73	5.60	1577	98	6.21	0.900
pa-004	227	1938	827.88	140.46	799.12	28.76	3.47	3.52	3.36	2970	297	10.00	0.870
pa-005	212	2047	935.72	131.26	918.84	16.88	1.80	4.33	4.16	3232	338	10.46	0.861
pa-006	142	1669	647.00	154.78	639.00	8.00	1.24	4.50	4.00	2588	303	11.71	0.847
pa-007	181	1873	813.00	138.23	813.00	0.00	0.00	4.49	4.00	2966	256	8.63	0.881
pa-008	373	3316	1385.00	143.65	1317.00	68.00	4.91	3.53	3.00	5060	452	8.93	0.879
pa-009	309	3233	1096.00	176.99	1096.00	0.00	0.00	3.55	3.00	4900	475	9.69	0.865
pa-010	230	2433	1048.00	139.29	1048.00	0.00	0.00	4.56	4.00	3968	599	15.10	0.826
pa-011	164	1493	579.12	154.68	543.60	35.52	6.13	3.31	3.12	2167	225	10.38	0.870
pa-012	238	1160	738.00	94.31	720.00	18.00	2.44	3.03	3.00	1763	203	11.51	0.856
pa-013	161	2454	1082.00	136.08	1063.68	18.32	1.69	6.61	5.52	4088	349	8.54	0.880
pa-014	118	2204	1001.20	132.08	1001.20	0.00	0.00	8.48	8.00	3260	387	11.87	0.847
pa-015	151	928	534.00	104.27	505.00	29.00	5.43	3.34	3.00	1454	139	9.56	0.865
pa-016	153	2082	787.16	158.70	787.16	0.00	0.00	5.14	4.96	2922	269	9.21	0.874
pa-017	149	2135	897.00	142.81	896.60	0.40	0.04	6.02	6.00	2995	274	9.15	0.873
pa-018	722	6185	2767.44	134.10	2702.96	64.48	2.33	3.74	3.60	9191	796	8.66	0.883
pa-019	275	2211	875.00	151.61	872.00	3.00	0.34	3.17	3.00	3329	302	9.07	0.874
pa-020	470	4154	1481.68	168.21	1440.16	41.52	2.80	3.06	2.92	5894	800	13.57	0.837
pa-021	261	2205	946.24	139.82	923.60	22.64	2.39	3.54	3.24	3136	274	8.74	0.878
pa-022	218	1842	738.52	149.65	718.48	20.04	2.71	3.30	3.18	2521	358	14.20	0.835
pa-023	163	1378	590.96	139.91	567.48	23.48	3.97	3.48	3.36	1987	229	11.52	0.852
pa-024	639	5959	2491.08	143.53	2345.96	147.44	5.92	3.67	3.20	8780	2423	27.60	0.721
pa-025	489	4390	2107.68	124.97	2052.52	55.16	2.62	4.20	4.00	6634	762	11.49	0.853
pa-026	641	4442	2144.32	124.29	1899.84	244.48	11.40	2.96	2.92	6683	1026	15.35	0.826
pa-027	262	2483	950.76	156.70	928.68	22.08	2.32	3.54	3.40	3561	459	12.89	0.843
pa-028	106	850	402.92	126.58	377.16	25.76	6.39	3.56	3.36	1193	165	13.83	0.835
pa-029	352	3281	1208.04	162.96	1173.20	34.84	2.88	3.33	3.08	4706	714	15.17	0.824
pa-030	341	3006	1138.88	158.37	1108.00	30.88	2.71	3.25	3.00	4253	586	13.78	0.839
pa-031	188	1581	606.24	156.47	579.76	26.48	4.37	3.08	2.94	2249	319	14.18	0.829
pa-032	108	1031	448.80	137.83	438.72	10.08	2.25	4.06	4.00	1406	272	19.35	0.792
pa-033	83	716	256.56	167.45	244.24	12.32	4.80	2.94	2.84	1014	129	12.72	0.844
pa-034	402	3666	1262.48	174.23	1220.96	41.52	3.29	3.04	2.88	4883	598	12.25	0.848
pa-035	197	1561	1023.88	91.48	991.24	32.64	3.19	5.03	4.80	2380	412	17.31	0.808
pa-036	133	2043	715.00	171.44	715.00	0.00	0.00	5.38	5.00	2896	314	10.84	0.855
pa-037	49	1146	497.96	138.08	497.96	0.00	0.00	10.16	10.40	1628	279	17.14	0.801
pa-038	536	4769	2170.60	131.83	2101.84	68.76	3.17	3.92	3.76	7079	818	11.56	0.852
pa-039	169	1467	648.52	135.72	634.08	14.44	2.23	3.75	3.48	2084	185	8.88	0.877
pa-040	82	713	245.12	174.53	234.16	10.96	4.47	2.86	2.68	1027	133	12.95	0.845
pa-041	116	1581	690.00	137.48	690.00	0.00	0.00	5.95	6.00	2400	170	7.08	0.892
pa-042	120	1061	417.76	152.38	403.84	13.92	3.33	3.37	3.16	1459	163	11.17	0.852
pa-043	34	378	146.00	155.34	146.00	0.00	0.00	4.29	4.50	534	57	10.67	0.867
pa-044	469	4469	1601.84	167.39	1494.32	112.96	7.05	3.19	2.72	6368	2023	31.77	0.690
pa-045	473	3953	1597.12	148.50	1505.80	91.32	5.72	3.18	3.00	5912	657	11.11	0.862
pa-046	373	2967	1253.40	142.03	1146.20	107.20	8.55	3.07	2.84	4355	393	9.02	0.883
pa-047	424	4110	1590.00	155.09	1522.44	94.84	5.96	3.59	2.88	6154	1704	27.69	0.724
pa-048	374	2831	1520.12	111.74	1398.72	121.40	7.99	3.74	3.56	4158	410	9.86	0.873
