id_persona	estat	duracio_s	frames_veu	frames_total	ratio_veu	rms_db_median	zcr_median	f0_median_hz	f0_p10_hz	f0_p90_hz	mostres_f0
pa-001	analitzada-provisional-contextual	1125.24	37031	56262	0.6582	-29.10	0.0563	211.91	99.41	298.74	7401
pa-002	analitzada-provisional-contextual	2647.04	58900	132352	0.4450	-37.00	0.0689	275.03	182.43	349.85	11782
pa-003	analitzada-provisional-contextual	516.84	17345	25842	0.6712	-26.76	0.0782	301.07	171.16	347.48	3476
pa-004	analitzada-provisional-contextual	836.98	9592	41849	0.2292	-40.01	0.0595	307.26	141.11	340.78	1908
pa-005	analitzada-provisional-contextual	948.96	1923	47448	0.0405	-43.92	0.0923	217.35	161.45	262.43	383
pa-006	analitzada-provisional-contextual	658.54	17345	32927	0.5268	-34.20	0.0376	152.82	102.46	298.76	3474
pa-007	analitzada-provisional-contextual	823.66	22595	41183	0.5486	-33.19	0.1002	244.38	147.33	316.85	4521
pa-008	analitzada-provisional-contextual	1397.34	30455	69867	0.4359	-36.41	0.0798	175.86	126.28	314.38	6112
pa-009	analitzada-provisional-contextual	1102.22	29956	55111	0.5436	-33.90	0.0861	188.15	156.20	274.75	5997
pa-010	analitzada-provisional-contextual	1051.36	30621	52568	0.5825	-32.19	0.0704	182.50	101.04	313.30	6156
pa-011	analitzada-provisional-contextual	588.36	16624	29418	0.5651	-32.84	0.1158	231.55	181.15	354.59	3350
pa-012	analitzada-provisional-contextual	742.42	23665	37121	0.6375	-24.93	0.1346	277.14	209.80	346.27	4736
pa-013	analitzada-provisional-contextual	1081.54	40928	54077	0.7568	-22.75	0.1064	310.95	186.22	352.96	8187
pa-014	analitzada-provisional-contextual	1004.28	29288	50214	0.5833	-31.05	0.0610	135.72	108.30	212.73	5859
pa-015	analitzada-provisional-contextual	541.86	22244	27093	0.8210	-20.94	0.0736	243.83	89.32	342.38	4462
pa-016	analitzada-provisional-contextual	792.14	23531	39607	0.5941	-31.95	0.0720	292.91	142.23	338.47	4724
pa-017	analitzada-provisional-contextual	902.18	25060	45109	0.5555	-32.15	0.0673	216.03	151.60	331.41	5017
pa-018	analitzada-provisional-contextual	2772.58	81190	138629	0.5857	-31.20	0.0610	265.09	125.88	328.59	16262
pa-019	analitzada-provisional-contextual	880.14	23850	44007	0.5420	-33.62	0.0751	176.36	92.66	339.70	4765
pa-020	analitzada-provisional-contextual	1486.88	36227	74344	0.4873	-35.40	0.0689	200.29	130.99	307.61	7249
pa-021	analitzada-provisional-contextual	951.78	27434	47589	0.5765	-32.38	0.0657	221.14	117.10	340.27	5466
pa-022	analitzada-provisional-contextual	743.70	23016	37185	0.6190	-30.93	0.0704	198.67	98.93	329.81	4627
pa-023	analitzada-provisional-contextual	595.98	18621	29799	0.6249	-30.24	0.0673	136.86	119.77	306.74	3721
pa-024	analitzada-provisional-contextual	2492.16	69872	124608	0.5607	-32.79	0.0720	293.71	179.61	349.94	14006
pa-025	analitzada-provisional-contextual	2112.76	62633	105638	0.5929	-31.58	0.0673	247.75	111.74	344.08	12500
pa-026	analitzada-provisional-contextual	2149.12	51357	107456	0.4779	-36.24	0.0908	260.14	112.68	344.13	10289
pa-027	analitzada-provisional-contextual	955.84	26302	47792	0.5503	-32.93	0.0689	223.42	118.57	335.67	5235
pa-028	analitzada-provisional-contextual	401.14	9690	20057	0.4831	-35.91	0.0845	137.61	114.55	186.16	1915
pa-029	analitzada-provisional-contextual	1212.98	33500	60649	0.5524	-33.89	0.0798	205.71	97.20	336.66	6687
pa-030	analitzada-provisional-contextual	1144.00	31034	57200	0.5426	-33.48	0.0689	140.30	108.82	316.43	6183
pa-031	analitzada-provisional-contextual	611.52	17225	30576	0.5634	-32.25	0.0657	150.72	101.14	322.89	3441
pa-032	analitzada-provisional-contextual	453.72	11285	22686	0.4974	-35.15	0.0626	219.16	100.96	301.09	2259
pa-033	analitzada-provisional-contextual	256.74	7010	12837	0.5461	-33.48	0.0720	281.48	106.37	340.90	1377
pa-034	analitzada-provisional-contextual	1267.54	39279	63377	0.6198	-30.59	0.0689	199.61	148.45	336.18	7861
pa-035	analitzada-provisional-contextual	1028.84	25530	51442	0.4963	-35.21	0.0610	150.02	120.37	300.59	5087
pa-036	analitzada-provisional-contextual	719.90	24822	35995	0.6896	-29.32	0.0657	256.01	99.81	325.00	4972
pa-037	analitzada-provisional-contextual	502.92	12232	25146	0.4864	-35.63	0.0673	236.67	108.95	340.97	2462
pa-038	analitzada-provisional-contextual	2175.64	60851	108782	0.5594	-32.71	0.0767	209.31	181.94	314.86	12137
pa-039	analitzada-provisional-contextual	653.70	16380	32685	0.5011	-34.96	0.0970	153.52	127.32	329.87	3245
pa-040	analitzada-provisional-contextual	250.18	8029	12509	0.6419	-31.36	0.0704	202.23	143.34	343.79	1620
pa-041	analitzada-provisional-contextual	691.52	21212	34576	0.6135	-30.96	0.0720	248.90	159.88	338.40	4240
pa-042	analitzada-provisional-contextual	419.40	14513	20970	0.6921	-26.05	0.0970	240.26	193.33	352.23	2908
pa-043	analitzada-provisional-contextual	147.98	4239	7399	0.5729	-32.09	0.0986	218.55	187.90	369.10	846
pa-044	quarantena-asr	1605.54	50889	80277	0.6339	-30.61	0.0767	251.23	105.49	345.32	10192
pa-045	analitzada-provisional-contextual	1608.00	40891	80400	0.5086	-34.66	0.0782	271.02	146.26	342.30	8167
pa-046	analitzada-provisional-contextual	1265.10	36099	63255	0.5707	-32.66	0.0736	232.31	131.47	328.20	7232
pa-047	quarantena-asr	1571.78	44693	78589	0.5687	-33.16	0.0923	212.03	108.01	335.88	8963
pa-048	analitzada-provisional-contextual	1527.86	31898	76393	0.4176	-39.38	0.0782	188.75	129.45	325.27	6376
pa-049	analitzada-provisional-contextual	1595.58	52897	79779	0.6630	-29.01	0.0829	223.56	127.85	329.29	10552
pa-050	quarantena-asr	1538.96	51210	76948	0.6655	-29.45	0.0908	208.82	144.88	339.67	10256
pa-051	analitzada-provisional-contextual	309.78	10149	15489	0.6552	-30.38	0.0673	216.98	123.77	330.20	2044
pa-052	analitzada-provisional-contextual	169.74	7426	8487	0.8750	-21.89	0.0689	217.34	146.29	293.18	1486
pa-053	analitzada-provisional-contextual	251.58	9269	12579	0.7369	-24.32	0.0516	166.09	100.21	316.15	1851
pa-054	analitzada-provisional-contextual	327.66	11913	16383	0.7272	-25.98	0.0673	202.70	129.61	323.84	2373
pa-055	analitzada-provisional-automatica	2149.06	51404	107453	0.4784	-36.19	0.0908	258.93	112.51	344.98	10229
pa-056	analitzada-provisional-automatica	1143.94	31114	57197	0.5440	-33.45	0.0689	143.08	108.75	317.77	6218
pa-057	analitzada-provisional-automatica	1212.94	33553	60647	0.5533	-33.84	0.0798	204.87	96.70	336.65	6686
pa-058	analitzada-provisional-automatica	2772.54	81254	138627	0.5861	-31.18	0.0610	264.92	125.54	328.01	16285
pa-059	analitzada-provisional-automatica	902.14	25081	45107	0.5560	-32.08	0.0673	213.73	150.93	331.26	4999
pa-060	analitzada-provisional-automatica	595.94	18644	29797	0.6257	-30.19	0.0673	137.26	120.12	306.21	3720
pa-061	analitzada-provisional-automatica	1569.60	57367	78480	0.7310	-28.66	0.1095	245.41	146.26	332.41	11468
pa-062	analitzada-provisional-automatica	1502.18	40103	75109	0.5339	-33.95	0.0657	229.44	131.19	340.29	8021
pa-063	analitzada-provisional-automatica	1571.32	46728	78566	0.5948	-31.81	0.0720	214.77	168.55	292.77	9349
pa-064	analitzada-provisional-automatica	1488.90	40290	74445	0.5412	-33.16	0.0689	207.03	127.27	334.49	8042
pa-065	analitzada-provisional-automatica	1564.32	38842	78216	0.4966	-35.14	0.0704	186.90	126.74	328.03	7763
pa-066	analitzada-provisional-automatica	579.98	18043	28999	0.6222	-31.77	0.0814	255.47	174.72	337.04	3585
