id_persona	forma	clip	absolute_start_s	absolute_end_s	prob_min	punt	proporcio	temps_rel_s	f0_hz	f1_hz	f2_hz	f3_hz	intensity_db
pa-001	evidentment	clips/pa-001__evidentment__1067.69.wav	1069.100	1069.890	0.6919	1	0.20	1.568	355.44	714.34	1101.84	2526.58	71.75
pa-001	evidentment	clips/pa-001__evidentment__1067.69.wav	1069.100	1069.890	0.6919	2	0.35	1.687		784.65	2091.79	3066.70	40.29
pa-001	evidentment	clips/pa-001__evidentment__1067.69.wav	1069.100	1069.890	0.6919	3	0.50	1.805		888.35	2041.48	3210.17	62.00
pa-001	evidentment	clips/pa-001__evidentment__1067.69.wav	1069.100	1069.890	0.6919	4	0.65	1.924	127.07	304.01	1607.03	2531.79	72.01
pa-001	evidentment	clips/pa-001__evidentment__1067.69.wav	1069.100	1069.890	0.6919	5	0.80	2.042	118.98	289.86	2011.08	3118.80	69.23
pa-002	evidentment	clips/pa-002__evidentment__205.25.wav	205.860	206.960	0.5905	1	0.20	0.830		1320.85	2130.99	3458.45	36.27
pa-002	evidentment	clips/pa-002__evidentment__205.25.wav	205.860	206.960	0.5905	2	0.35	0.995		935.39	1655.08	2957.61	33.04
pa-002	evidentment	clips/pa-002__evidentment__205.25.wav	205.860	206.960	0.5905	3	0.50	1.160	74.13	426.97	1462.09	2411.67	63.48
pa-002	evidentment	clips/pa-002__evidentment__205.25.wav	205.860	206.960	0.5905	4	0.65	1.325	69.29	385.48	1643.24	2464.95	54.73
pa-002	evidentment	clips/pa-002__evidentment__205.25.wav	205.860	206.960	0.5905	5	0.80	1.490	86.19	351.72	1282.95	2597.67	60.97
pa-003	tirar endavant	clips/pa-003__tirar-endavant__361.93.wav	362.910	363.930	0.7977	1	0.20	1.184	150.60	497.67	2224.21	2877.82	72.68
pa-003	tirar endavant	clips/pa-003__tirar-endavant__361.93.wav	362.910	363.930	0.7977	2	0.35	1.337	137.73	725.63	2112.61	2840.50	73.91
pa-003	tirar endavant	clips/pa-003__tirar-endavant__361.93.wav	362.910	363.930	0.7977	3	0.50	1.490		598.99	1996.39	3141.58	54.00
pa-003	tirar endavant	clips/pa-003__tirar-endavant__361.93.wav	362.910	363.930	0.7977	4	0.65	1.643	173.90	453.43	2346.53	2551.25	78.25
pa-003	tirar endavant	clips/pa-003__tirar-endavant__361.93.wav	362.910	363.930	0.7977	5	0.80	1.796	154.46	511.18	1948.38	2961.07	75.02
pa-004	evidentment	clips/pa-004__evidentment__522.93.wav	526.770	526.930	0.9396	1	0.20	3.872	150.23	337.32	2140.39	2791.40	52.92
pa-004	evidentment	clips/pa-004__evidentment__522.93.wav	526.770	526.930	0.9396	2	0.35	3.896	148.28	277.54	2070.03	2605.81	45.67
pa-004	evidentment	clips/pa-004__evidentment__522.93.wav	526.770	526.930	0.9396	3	0.50	3.920	155.00	340.73	2299.18	2867.39	48.91
pa-004	evidentment	clips/pa-004__evidentment__522.93.wav	526.770	526.930	0.9396	4	0.65	3.944	74.77	435.52	2051.31	2917.33	53.83
pa-004	evidentment	clips/pa-004__evidentment__522.93.wav	526.770	526.930	0.9396	5	0.80	3.968	74.76	430.42	2039.96	2875.58	53.83
pa-006	de fet	clips/pa-006__de-fet__285.25.wav	286.850	287.350	0.7151	1	0.20	1.700	119.38	352.82	1872.57	2462.68	67.76
pa-006	de fet	clips/pa-006__de-fet__285.25.wav	286.850	287.350	0.7151	2	0.35	1.775	110.82	318.70	1726.76	2435.23	66.84
pa-006	de fet	clips/pa-006__de-fet__285.25.wav	286.850	287.350	0.7151	3	0.50	1.850	106.18	344.38	1759.29	2529.74	63.20
pa-006	de fet	clips/pa-006__de-fet__285.25.wav	286.850	287.350	0.7151	4	0.65	1.925	94.90	200.81	1775.90	2550.70	58.20
pa-006	de fet	clips/pa-006__de-fet__285.25.wav	286.850	287.350	0.7151	5	0.80	2.000	99.00	284.81	1832.36	2576.92	58.19
pa-006	aleshores	clips/pa-006__aleshores__513.25.wav	513.280	513.820	0.1618	1	0.20	0.138	130.73	502.89	1754.86	3101.20	51.10
pa-006	aleshores	clips/pa-006__aleshores__513.25.wav	513.280	513.820	0.1618	2	0.35	0.219		878.81	2439.37	2811.86	41.64
pa-006	aleshores	clips/pa-006__aleshores__513.25.wav	513.280	513.820	0.1618	3	0.50	0.300		501.21	1760.96	2856.50	43.95
pa-006	aleshores	clips/pa-006__aleshores__513.25.wav	513.280	513.820	0.1618	4	0.65	0.381		1580.26	2633.15	3229.58	37.54
pa-006	aleshores	clips/pa-006__aleshores__513.25.wav	513.280	513.820	0.1618	5	0.80	0.462		1480.58	2718.32	3483.56	37.92
pa-007	a veure	clips/pa-007__a-veure__89.25.wav	90.220	90.720	0.9386	1	0.20	1.070	154.70	306.27	1331.33	2385.51	70.05
pa-007	a veure	clips/pa-007__a-veure__89.25.wav	90.220	90.720	0.9386	2	0.35	1.145	153.51	324.54	1035.00	2905.78	73.52
pa-007	a veure	clips/pa-007__a-veure__89.25.wav	90.220	90.720	0.9386	3	0.50	1.220	156.76	343.25	1318.30	2746.37	63.59
pa-007	a veure	clips/pa-007__a-veure__89.25.wav	90.220	90.720	0.9386	4	0.65	1.295	131.64	871.52	1377.44	2037.82	68.48
pa-007	a veure	clips/pa-007__a-veure__89.25.wav	90.220	90.720	0.9386	5	0.80	1.370	132.91	681.88	1469.00	2122.64	65.40
pa-007	diguem	clips/pa-007__diguem__585.25.wav	586.440	586.650	0.5012	1	0.20	1.232	174.52	189.60	1689.65	2825.58	65.59
pa-007	diguem	clips/pa-007__diguem__585.25.wav	586.440	586.650	0.5012	2	0.35	1.263	201.81	233.27	2008.18	2539.09	72.24
pa-007	diguem	clips/pa-007__diguem__585.25.wav	586.440	586.650	0.5012	3	0.50	1.295	205.34	1847.28	2529.41	4210.70	67.05
pa-007	diguem	clips/pa-007__diguem__585.25.wav	586.440	586.650	0.5012	4	0.65	1.327	311.40	316.23	1952.87	2401.59	73.93
pa-007	diguem	clips/pa-007__diguem__585.25.wav	586.440	586.650	0.5012	5	0.80	1.358	303.96	480.82	1832.85	2610.88	76.07
pa-008	a veure	clips/pa-008__a-veure__668.25.wav	670.060	670.740	0.9329	1	0.20	1.946	169.65	484.45	1660.17	2559.47	68.42
pa-008	a veure	clips/pa-008__a-veure__668.25.wav	670.060	670.740	0.9329	2	0.35	2.048	163.26	480.70	1750.09	2900.41	65.05
pa-008	a veure	clips/pa-008__a-veure__668.25.wav	670.060	670.740	0.9329	3	0.50	2.150	160.21	492.62	1769.45	3053.54	63.17
