expedient	nom	categoria	estat	evidencia	font
lead-rtva-009-isidre-bartumeu	Isidre Bartumeu Martínez	arrelament_documentat	pendent_validacio_humana	RTVA presenta una trajectòria institucional, cultural o comunitària al Principat; no és prova automàtica de lloc de naixement	https://www.rtva.ad/programes/capitol-23-isidre-bartumeu-el-cami-de-la-vida
lead-rtva-010-lurdes-riba	Lurdes Riba	arrelament_documentat	pendent_validacio_humana	RTVA presenta una trajectòria institucional, cultural o comunitària al Principat; no és prova automàtica de lloc de naixement	https://www.rtva.ad/programes/lurdes-riba-pgm25-210220258
lead-rtva-011-josep-dalleres	Josep Dallarès	arrelament_documentat	pendent_validacio_humana	RTVA presenta una trajectòria institucional, cultural o comunitària al Principat; no és prova automàtica de lloc de naixement	https://www.rtva.ad/programes/memoria-dun-pais-pgm18_josep-dalleres-040120252
lead-rtva-012-marc-forne	Marc Forné	arrelament_documentat	pendent_validacio_humana	RTVA presenta una trajectòria institucional, cultural o comunitària al Principat; no és prova automàtica de lloc de naixement	https://www.rtva.ad/programes/marc-forne-pgm24-210220256
lead-rtva-013-pere-vilanova	Pere Vilanova	arrelament_documentat	pendent_validacio_humana	RTVA presenta una trajectòria institucional, cultural o comunitària al Principat; no és prova automàtica de lloc de naixement	https://www.rtva.ad/programes/pere-vilanova
lead-rtva-014-joan-burgues	Joan Burgués Martisella	arrelament_documentat	pendent_validacio_humana	RTVA presenta una trajectòria institucional, cultural o comunitària al Principat; no és prova automàtica de lloc de naixement	https://www.rtva.ad/programes/memoria-dun-pais-pgm13_joan-burgues-20589
lead-rtva-015-isidre-baro	Isidre Baró	arrelament_documentat	pendent_validacio_humana	RTVA presenta una trajectòria institucional, cultural o comunitària al Principat; no és prova automàtica de lloc de naixement	https://www.rtva.ad/programes/isidre-baro-080120246
lead-rtva-016-josep-areny	Josep Areny	arrelament_documentat	pendent_validacio_humana	RTVA presenta una trajectòria institucional, cultural o comunitària al Principat; no és prova automàtica de lloc de naixement	https://www.rtva.ad/programes/josep-areny-080120248
lead-rtva-017-simo-duro	Simó Duró	arrelament_documentat	pendent_validacio_humana	RTVA presenta una trajectòria institucional, cultural o comunitària al Principat; no és prova automàtica de lloc de naixement	https://www.rtva.ad/programes/memoria-dun-pais-pgm14_simo-duro-20582
lead-rtva-018-ricard-fiter	Ricard Fiter	arrelament_documentat	pendent_validacio_humana	RTVA presenta una trajectòria institucional, cultural o comunitària al Principat; no és prova automàtica de lloc de naixement	https://www.rtva.ad/programes/ricard-fiter-170220252
