id_candidat	source_page	audio_s	audio_sha256	n_asr_models	segments_small	segments_base	n_formes_consens	n_clips	n_acoustic	estat	veu_confirmada	termes_confirmats
lead-cg-001-xavier-espot	https://www.consellgeneral.ad/ca/videos/sessions-del-consell-general/any-2019/discurs-programa-del-candidat-xavier-espot-zamora	120.000	748c588fe7403ee9bd33115814357e212f8963f9aef77dad1295956d348be405	2	32	36	35	4	4	separat-del-canon; pendent-d-audicio	pendent	pendent
lead-cg-002-pere-lopez	https://www.consellgeneral.ad/ca/videos/sessions-del-consell-general/any-2019/discurs-programa-del-candidat-pere-lopez-agras	120.000	a85aa08e71d2a57346172937b1640f0d30ff2c7252088d32700826053e68a363	2	26	27	35	2	2	separat-del-canon; pendent-d-audicio	pendent	pendent
lead-cg-003-roser-sune	https://www.consellgeneral.ad/ca/videos/sessions-del-consell-general/any-2022/14-03-2022-sessio-tradicional-de-la-constitucio	955.243	fa19d408c228361841b944d50a1b2be0b3f993f20f39cdea493abd2367ea0719	4	308	7	35	3	3	separat-del-canon; pendent-d-audicio	pendent	pendent
lead-rtva-001	https://vodov.rtva.hiway.media/vod/migration/entrevista_joan_verdu.mp4	807.339	5317200bbe5ca24c2262499ccdf03491936bb317accb7311bafe8fd248df099b	2	266	246	21	10	10	separat-del-canon; pendent-d-audicio	pendent	pendent
lead-rtva-002-ian-moya	https://mediaverse.rtva.hiway.media/audio/2026/02/23/699c9090/20260223-ENTREVISTA---Iann-Moya---Primer-Andorr--a-Euphoria---20260223-ENTREVISTA---Iann-Moya---Primer-Andorr--a-Euphoria---.mp3?t=	1443.889	6aab86bcd8fdcb40d247e85f27cec1ed3ef07807bdc238bf286438ccdac005be	2	470	494	35	15	15	separat-del-canon; pendent-d-audicio	pendent	pendent
lead-rtva-003-dj-neura	https://mediaverse.rtva.hiway.media/audio/67dd58e9/fqel_20241229_dj_neura.mp3?t=	703.478	215137090848657e1aae31f5cf3ca144ffdd83e2358ac14905f11754403f91aa	2	142	189	35	10	10	separat-del-canon; pendent-d-audicio	pendent	pendent
lead-rtva-004-joan-mico	https://www.rtva.ad/programes/entrevista-joan-mico	1531.925	7e7372265a56c2a33f955856288d76b2fe4552b3f710d61280436d3b38b4cfbe	2	337	457	35	12	12	separat-del-canon; pendent-d-audicio	pendent	pendent
lead-rtva-005-carine-montaner	https://www.rtva.ad/programes/entrevista-presidenta-grup-parlamentari-andorra-endavant-carine	3101.304	d48772ec308ba4fc686b2811b0f6ec4988ee9f95dcf4993c542785886b913840	2	1107	1056	35	22	22	separat-del-canon; pendent-d-audicio	pendent	pendent
lead-rtva-006-jaume-tomas	https://www.rtva.ad/programes/entrevista-jaume-tomas-director-tecnic-fab	1460.611	936cd8a49ad7ce1bcf89c17cfe705c37d8b019fdbe5b2e187b1594d11176ef5c	2	483	495	35	14	14	separat-del-canon; pendent-d-audicio	pendent	pendent
lead-rtva-007-robert-guirao	https://www.rtva.ad/programes/entrevista-robert-guirao	1098.553	70e8c005d798cd5f14bcb53e6ae5602c349e6db05aeea46e0faef4eb55a096b3	2	438	319	35	13	13	separat-del-canon; pendent-d-audicio	pendent	pendent
lead-rtva-008-mireia-pedescoll	https://www.rtva.ad/programes/entrevista-mireia-pedescoll	1384.385	99092a10edeccecfcab0f7596a18600545f5a9c11243d083e5e92e287e96a39c	2	501	516	35	19	19	separat-del-canon; pendent-d-audicio	pendent	pendent
