forma	categoria	n_parlants_canònics	n_registres_font	n_ocurrencies_asr	nivell_cobertura	prioritat_audicio	estat
Canillo	territorial	20	23	56	intermèdia	mitjana	matriu ASR completa; semblança textual; pendent d'audició
Escaldes	territorial	24	27	99	intermèdia	mitjana	matriu ASR completa; semblança textual; pendent d'audició
Massana	territorial	9	11	21	escassa	alta	matriu ASR completa; semblança textual; pendent d'audició
Ordino	territorial	20	23	49	intermèdia	mitjana	matriu ASR completa; semblança textual; pendent d'audició
Sant Julià	territorial	21	25	50	intermèdia	mitjana	matriu ASR completa; semblança textual; pendent d'audició
a nivell	discurs	25	30	110	intermèdia	mitjana	matriu ASR completa; semblança textual; pendent d'audició
a veure	discurs	34	39	113	àmplia	normal	matriu ASR completa; semblança textual; pendent d'audició
aiguats	territorial	3	3	9	escassa	alta	matriu ASR completa; semblança textual; pendent d'audició
aleshores	discurs	21	22	91	intermèdia	mitjana	matriu ASR completa; semblança textual; pendent d'audició
andorrana	territorial	7	7	11	escassa	alta	matriu ASR completa; semblança textual; pendent d'audició
aviam	discurs	5	5	9	escassa	alta	matriu ASR completa; semblança textual; pendent d'audició
bueno	discurs	44	50	407	àmplia	normal	matriu ASR completa; semblança textual; pendent d'audició
bé	discurs	56	62	425	àmplia	normal	matriu ASR completa; semblança textual; pendent d'audició
clar	discurs	48	53	392	àmplia	normal	matriu ASR completa; semblança textual; pendent d'audició
comunal	territorial	4	4	6	escassa	alta	matriu ASR completa; semblança textual; pendent d'audició
comunals	territorial	6	7	8	escassa	alta	matriu ASR completa; semblança textual; pendent d'audició
comuns	territorial	11	13	26	intermèdia	mitjana	matriu ASR completa; semblança textual; pendent d'audició
comú	territorial	18	20	36	intermèdia	mitjana	matriu ASR completa; semblança textual; pendent d'audició
copríncep	territorial	10	13	35	intermèdia	mitjana	matriu ASR completa; semblança textual; pendent d'audició
coprínceps	territorial	6	6	25	escassa	alta	matriu ASR completa; semblança textual; pendent d'audició
de fet	discurs	23	24	43	intermèdia	mitjana	matriu ASR completa; semblança textual; pendent d'audició
diguem	discurs	22	25	39	intermèdia	mitjana	matriu ASR completa; semblança textual; pendent d'audició
doncs	discurs	50	55	439	àmplia	normal	matriu ASR completa; semblança textual; pendent d'audició
evidentment	discurs	33	36	108	àmplia	normal	matriu ASR completa; semblança textual; pendent d'audició
llavors	discurs	44	50	251	àmplia	normal	matriu ASR completa; semblança textual; pendent d'audició
no?	discurs	36	39	354	àmplia	normal	matriu ASR completa; semblança textual; pendent d'audició
o sigui	discurs	30	33	119	àmplia	normal	matriu ASR completa; semblança textual; pendent d'audició
padrí	territorial	5	5	7	escassa	alta	matriu ASR completa; semblança textual; pendent d'audició
parròquia	territorial	21	24	57	intermèdia	mitjana	matriu ASR completa; semblança textual; pendent d'audició
per tant	discurs	29	32	124	intermèdia	mitjana	matriu ASR completa; semblança textual; pendent d'audició
perquè	discurs	58	64	1142	àmplia	normal	matriu ASR completa; semblança textual; pendent d'audició
santuari	territorial	4	4	7	escassa	alta	matriu ASR completa; semblança textual; pendent d'audició
veguer	territorial	7	7	9	escassa	alta	matriu ASR completa; semblança textual; pendent d'audició
vull dir	discurs	32	36	309	àmplia	normal	matriu ASR completa; semblança textual; pendent d'audició
és a dir	discurs	36	42	178	àmplia	normal	matriu ASR completa; semblança textual; pendent d'audició
