id_persona	estat	fitxa	titol	inventari_35_formes	perfil_linguistic	evidencia_textual	formes_matriu	clips_audicio	audio_wav	transcripcio_txt	procedencia
pa-001	activa	sí	sí	sí	sí	41	35	14	sí	sí	sí
pa-002	activa	sí	sí	sí	sí	57	35	13	sí	sí	sí
pa-003	activa	sí	sí	sí	sí	23	35	14	sí	sí	sí
pa-004	activa	sí	sí	sí	sí	31	35	6	sí	sí	sí
pa-005	activa	sí	sí	sí	sí	32	35	5	sí	sí	sí
pa-006	activa	sí	sí	sí	sí	28	35	10	sí	sí	sí
pa-007	activa	sí	sí	sí	sí	34	35	10	sí	sí	sí
pa-008	activa	sí	sí	sí	sí	36	35	10	sí	sí	sí
pa-009	activa	sí	sí	sí	sí	32	35	8	sí	sí	sí
pa-010	activa	sí	sí	sí	sí	25	35	8	sí	sí	sí
pa-011	activa	sí	sí	sí	sí	18	35	8	sí	sí	sí
pa-012	activa	sí	sí	sí	sí	11	35	4	sí	sí	sí
pa-013	activa	sí	sí	sí	sí	14	35	5	sí	sí	sí
pa-014	activa	sí	sí	sí	sí	36	35	13	sí	sí	sí
pa-015	activa	sí	sí	sí	sí	13	35	5	sí	sí	sí
pa-016	activa	sí	sí	sí	sí	48	35	15	sí	sí	sí
pa-017	activa	sí	sí	sí	sí	35	35	11	sí	sí	sí
pa-018	activa	sí	sí	sí	sí	42	35	11	sí	sí	sí
pa-019	activa	sí	sí	sí	sí	31	35	11	sí	sí	sí
pa-020	activa	sí	sí	sí	sí	46	35	11	sí	sí	sí
pa-021	activa	sí	sí	sí	sí	37	35	11	sí	sí	sí
pa-022	activa	sí	sí	sí	sí	31	35	15	sí	sí	sí
pa-023	activa	sí	sí	sí	sí	31	35	11	sí	sí	sí
pa-024	activa	sí	sí	sí	sí	45	35	13	sí	sí	sí
pa-025	activa	sí	sí	sí	sí	61	35	15	sí	sí	sí
pa-026	activa	sí	sí	sí	sí	44	35	13	sí	sí	sí
pa-027	activa	sí	sí	sí	sí	48	35	13	sí	sí	sí
pa-028	activa	sí	sí	sí	sí	21	35	8	sí	sí	sí
pa-029	activa	sí	sí	sí	sí	31	35	12	sí	sí	sí
pa-030	activa	sí	sí	sí	sí	45	35	14	sí	sí	sí
pa-031	activa	sí	sí	sí	sí	22	35	11	sí	sí	sí
pa-032	activa	sí	sí	sí	sí	27	35	9	sí	sí	sí
pa-033	activa	sí	sí	sí	sí	23	35	11	sí	sí	sí
pa-034	activa	sí	sí	sí	sí	45	35	15	sí	sí	sí
pa-035	activa	sí	sí	sí	sí	19	35	9	sí	sí	sí
pa-036	activa	sí	sí	sí	sí	30	35	10	sí	sí	sí
pa-037	activa	sí	sí	sí	sí	23	35	9	sí	sí	sí
pa-038	activa	sí	sí	sí	sí	40	35	13	sí	sí	sí
pa-039	activa	sí	sí	sí	sí	29	35	9	sí	sí	sí
pa-040	activa	sí	sí	sí	sí	11	35	7	sí	sí	sí
pa-041	activa	sí	sí	sí	sí	27	35	13	sí	sí	sí
pa-042	activa	sí	sí	sí	sí	10	35	3	sí	sí	sí
pa-043	activa	sí	sí	sí	sí	4	35	4	sí	sí	sí
pa-044	quarantena	sí	sí	sí	sí	30	35	0	sí	sí	sí
pa-045	activa	sí	sí	sí	sí	35	35	13	sí	sí	sí
pa-046	activa	sí	sí	sí	sí	36	35	12	sí	sí	sí
pa-047	quarantena	sí	sí	sí	sí	21	35	0	sí	sí	sí
pa-048	activa	sí	sí	sí	sí	28	35	13	sí	sí	sí
pa-049	activa	sí	sí	sí	sí	43	35	16	sí	sí	sí
pa-050	quarantena	sí	sí	sí	sí	21	35	0	sí	sí	sí
pa-051	activa	sí	sí	sí	sí	11	35	6	sí	sí	sí
pa-052	activa	sí	sí	sí	sí	5	35	4	sí	sí	sí
pa-053	activa	sí	sí	sí	sí	7	35	3	sí	sí	sí
pa-054	activa	sí	sí	sí	sí	16	35	5	sí	sí	sí
pa-055	activa	sí	sí	sí	sí	43	35	13	sí	sí	sí
pa-056	activa	sí	sí	sí	sí	46	35	14	sí	sí	sí
pa-057	activa	sí	sí	sí	sí	29	35	13	sí	sí	sí
pa-058	activa	sí	sí	sí	sí	46	35	12	sí	sí	sí
pa-059	activa	sí	sí	sí	sí	35	35	12	sí	sí	sí
pa-060	activa	sí	sí	sí	sí	32	35	13	sí	sí	sí
pa-061	activa	sí	sí	sí	sí	30	35	12	sí	sí	sí
pa-062	activa	sí	sí	sí	sí	32	35	11	sí	sí	sí
pa-063	activa	sí	sí	sí	sí	33	35	12	sí	sí	sí
pa-064	activa	sí	sí	sí	sí	33	35	10	sí	sí	sí
pa-065	activa	sí	sí	sí	sí	44	35	14	sí	sí	sí
pa-066	activa	sí	sí	sí	sí	21	35	8	sí	sí	sí
