id_parlant	nom_public	id_fonts	n_clips	sessions	clips	estat	nota
spk-001	Alan Ward	pa-006	1	sessio-02	clips/pa-006__aleshores__513.25.wav	cobert	
spk-002	Albert Gelabert Grau	pa-001	1	sessio-06	clips/pa-001__crec__97.33.wav	cobert	
spk-003	Albert Roig	pa-008	2	sessio-01;sessio-02	clips/pa-008__a-veure__668.25.wav;clips/pa-008__s-a-dir__1110.25.wav	cobert	
spk-004	Albert Rossa Naudí	pa-012	1	sessio-06	clips/pa-012__perqu__369.25.wav	cobert	
spk-005	Alfred Llahí	pa-007	1	sessio-01	clips/pa-007__a-veure__89.25.wav	cobert	
spk-006	Andreu Gaspà Picart	pa-032	1	sessio-06	clips/pa-032__bueno__44.73.wav	cobert	
spk-007	Angelina Mas	pa-049	1	sessio-05	clips/pa-049__crec__371.85.wav	cobert	
spk-008	Antoni Armengol Vila	pa-023;pa-060	1	sessio-06	clips/pa-060__de-fet__72.57.wav	cobert	
spk-009	Antoni Jordi Areny	pa-033	1	sessio-06	clips/pa-033__b__103.09.wav	cobert	
spk-010	Antoni Morell	pa-048	1	sessio-05	clips/pa-048__crec__110.97.wav	cobert	
spk-011	Carles Sasplugas	pa-066	1	sessio-02	clips/pa-066__bueno__357.23.wav	cobert	
spk-012	Casimir Arajol	pa-044	0			quarantena	pa-044
spk-013	Cielo	pa-042	1	sessio-06	clips/pa-042__perqu__29.13.wav	cobert	
spk-014	Daniel Armengol	pa-064	2	sessio-01;sessio-05	clips/pa-064__a-veure__587.61.wav;clips/pa-064__crec__1335.77.wav	cobert	
spk-015	Enric Casadevall Medrano	pa-027	2	sessio-01;sessio-05	clips/pa-027__perqu__8.81.wav;clips/pa-027__crec__8.81.wav	cobert	
spk-016	Enric Dolsa Font	pa-030;pa-056	4	sessio-02;sessio-05	clips/pa-030__crec__346.45.wav;clips/pa-056__tirar-endavant__185.53.wav;clips/pa-056__crec__347.05.wav;clips/pa-056__clar__62.45.wav	cobert	
spk-017	Esther Jover	pa-011	1	sessio-01	clips/pa-011__b__185.57.wav	cobert	
spk-018	Eudald Guillamet	pa-045	1	sessio-02	clips/pa-045__evidentment__290.13.wav	cobert	
spk-019	Francina Pons	pa-004	2	sessio-02;sessio-05	clips/pa-004__b__319.61.wav;clips/pa-004__evidentment__522.93.wav	cobert	
spk-020	Gabriel Dallerès Codina	pa-029;pa-057	1	sessio-06	clips/pa-029__tirar-endavant__56.73.wav	cobert	
spk-021	Gualbert Osorio	pa-047	0			quarantena	pa-047
spk-022	Guillem Areny Argelich	pa-020	1	sessio-01	clips/pa-020__b__146.37.wav	cobert	
spk-023	Irene Clua	pa-043	1	sessio-01	clips/pa-043__crec__102.25.wav	cobert	
spk-024	Jaume Bartumeu Cassany	pa-025	1	sessio-05	clips/pa-025__crec__4.25.wav	cobert	
spk-025	Joan Santamaria Terré	pa-039	1	sessio-01	clips/pa-039__crec__90.85.wav	cobert	
spk-026	Jordi Farràs Forné	pa-002	1	sessio-06	clips/pa-002__a-nivell__714.25.wav	cobert	
spk-027	Jordi Marquet	pa-062	2	sessio-01	clips/pa-062__crec__1037.89.wav;clips/pa-062__s-a-dir__973.65.wav	cobert	
spk-028	Jordi Mas Torres	pa-036	1	sessio-01	clips/pa-036__b__69.45.wav	cobert	
spk-029	Jordi Torres Alís	pa-040	2	sessio-02;sessio-05	clips/pa-040__de-fet__70.17.wav;clips/pa-040__crec__4.37.wav	cobert	
spk-030	Josep Areny	pa-046	1	sessio-06	clips/pa-046__diguem__626.01.wav	cobert	
spk-031	Josep Areny Fité	pa-021	2	sessio-01;sessio-05	clips/pa-021__vull-dir__314.29.wav;clips/pa-021__crec__115.53.wav	cobert	
spk-032	Josep Casal	pa-051	1	sessio-06	clips/pa-051__crec__208.57.wav	cobert	
spk-033	Josep Garrallà Rossell	pa-031	1	sessio-01	clips/pa-031__crec__87.01.wav	cobert	
spk-034	Josep Marsal Riba	pa-035	1	sessio-05	clips/pa-035__crec__872.77.wav	cobert	
spk-035	Ladislau Baró Solà	pa-024	1	sessio-06	clips/pa-024__clar__648.09.wav	cobert	
spk-036	Ludmilla Lacueva	pa-005	1	sessio-01	clips/pa-005__b__51.09.wav	cobert	
spk-037	Maria Reig Moles	pa-038	3	sessio-01;sessio-02	clips/pa-038__crec__220.69.wav;clips/pa-038__reformeta__1821.69.wav;clips/pa-038__vull-dir__1576.57.wav	cobert	
spk-038	Mercè Segura	pa-041	3	sessio-01;sessio-02	clips/pa-041__vull-dir__264.25.wav;clips/pa-041__ensenyan-a__523.25.wav;clips/pa-041__crec__56.25.wav	cobert	
spk-039	Miquel Aleix Areny	pa-018;pa-058	4	sessio-01;sessio-02;sessio-05	clips/pa-018__crec__7.49.wav;clips/pa-018__perqu__91.09.wav;clips/pa-058__vull-dir__975.13.wav;clips/pa-058__perqu__91.09.wav	cobert	
spk-040	Miquel Armengol Pons	pa-022	2	sessio-01	clips/pa-022__clar__107.73.wav;clips/pa-022__crec__243.73.wav	cobert	
spk-041	Miquel Naudi Casal	pa-037	2	sessio-01;sessio-02	clips/pa-037__diguem__469.77.wav;clips/pa-037__llavors__92.53.wav	cobert	
spk-042	Mossèn Ramon de Canillo	pa-065	2	sessio-01;sessio-05	clips/pa-065__doncs__157.49.wav;clips/pa-065__clar__221.29.wav	cobert	
spk-043	Nadia Aleix Tugas	pa-017;pa-059	4	sessio-01;sessio-02;sessio-05	clips/pa-017__doncs__459.25.wav;clips/pa-017__clar__34.45.wav;clips/pa-059__tirar-endavant__49.77.wav;clips/pa-059__clar__36.61.wav	cobert	
spk-044	Olga Adellach Coma	pa-016	2	sessio-01;sessio-05	clips/pa-016__evidentment__456.85.wav;clips/pa-016__clar__175.69.wav	cobert	
spk-045	Patrick Pérez	pa-061	1	sessio-06	clips/pa-061__evidentment__672.69.wav	cobert	
spk-046	Pere Altimir Pintat	pa-019	4	sessio-01;sessio-02	clips/pa-019__b__195.25.wav;clips/pa-019__crec__27.25.wav;clips/pa-019__a-nivell__122.25.wav;clips/pa-019__diguem__109.25.wav	cobert	
spk-047	Pere Torres	pa-053	1	sessio-06	clips/pa-053__perqu__113.93.wav	cobert	
spk-048	Ramon Canut Bové	pa-026;pa-055	2	sessio-05	clips/pa-026__reformeta__138.61.wav;clips/pa-055__reformeta__139.05.wav	cobert	
spk-049	Robert Cassany Vila	pa-028	1	sessio-06	clips/pa-028__doncs__329.33.wav	cobert	
spk-050	Robert Lizarte	pa-009	2	sessio-01;sessio-05	clips/pa-009__b__557.25.wav;clips/pa-009__evidentment__947.25.wav	cobert	
spk-051	Rosa Maria Mandicó Alcobé	pa-034	1	sessio-02	clips/pa-034__a-veure__94.05.wav	cobert	
spk-052	Rosa Vidal	pa-052	1	sessio-06	clips/pa-052__clar__59.97.wav	cobert	
spk-053	Roser Bastida	pa-003	1	sessio-02	clips/pa-003__ensenyan-a__279.69.wav	cobert	
spk-054	Roser Jordana	pa-063	1	sessio-06	clips/pa-063__a-nivell__1143.61.wav	cobert	
spk-055	Ruth Casabella	pa-013	1	sessio-06	clips/pa-013__b__196.65.wav	cobert	
spk-056	Sara Ubach	pa-015	1	sessio-06	clips/pa-015__doncs__83.25.wav	cobert	
spk-057	Teo Armengol	pa-014	3	sessio-01;sessio-02	clips/pa-014__crec__153.25.wav;clips/pa-014__aviam__875.45.wav;clips/pa-014__o-sigui__658.45.wav	cobert	
spk-058	Trini Mandicó Baró	pa-054	1	sessio-06	clips/pa-054__bueno__51.69.wav	cobert	
spk-059	Xavier Planas	pa-010	2	sessio-01;sessio-02	clips/pa-010__llavors__386.25.wav;clips/pa-010__clar__334.85.wav	cobert	
spk-060	Àngels Mach	pa-050	0			quarantena	pa-050
