id_parlant	nom_public	n_mostres	canals	ambit_documentat	evidencia_contextual	estat	accio
spk-001	Alan Ward	1	Andorra Recerca i Innovació	Andorra la Vella / Andorra	El registre municipal d'associacions de la Societat Andorrana de Ciències hi inclou Alan Ward Koeck com a cap de secció.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-002	Albert Gelabert Grau	1	Consell General	d'Arinsal, la Massana	La notícia oficial documenta la trajectòria institucional; l’índex històric el situa al Mas de Ribafeta d’Arinsal de la Massana.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-003	Albert Roig	1	Andorra Recerca i Innovació	Ordino	RTVA identifica Albert Roig com a president de l’Associació de Cultura Popular d’Ordino i fallaire, amb activitat pública vinculada a les tradicions andorranes.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-004	Albert Rossa Naudí	1	Andorra Recerca i Innovació	Andorra la Vella (context documental)	El document oficial esmenta Albert Rossa Naudi en relació amb un immoble d'Andorra la Vella; serveix com a context local nominal, no com a biografia.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-005	Alfred Llahí	1	Andorra Recerca i Innovació	Andorra / Escaldes-Engordany	RTVA documenta la seva trajectòria professional a Andorra Televisió i la seva recerca sobre història i memòria del país.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-006	Andreu Gaspà Picart	1	Consell General	Ordino	L’acta constitutiva oficial del Consell General l’identifica entre els consellers d’Ordino.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-007	Angelina Mas	1	RTVA Andorra	Andorra (sufragisme)	RTVA la identifica com una de les sufragistes andorranes i situa la seva participació en el projecte d’homenatge celebrat a Encamp i Escaldes-Engordany.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-008	Antoni Armengol Vila	2	Consell General	Andorra (parròquia no fixada en aquesta fitxa)	Acta oficial que l'identifica com a conseller general i recull una intervenció seva.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-009	Antoni Jordi Areny	1	Consell General	Escaldes-Engordany	L’acta constitutiva oficial del Consell General l’identifica entre els consellers d’Escaldes-Engordany.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-010	Antoni Morell	1	RTVA Andorra	la Massana / Escàs	RTVA el descriu com un referent de la literatura andorrana, vinculat a Escàs (la Massana), amb trajectòria institucional a Andorra i entrevista al programa Identitats.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-011	Carles Sasplugas	1	RTVA Andorra	Andorra la Vella	El registre municipal d'associacions d'Andorra la Vella inclou Carles Sasplugas Vilagut com a vicepresident d'una entitat local; el nom és compatible amb el títol del vídeo RTVA. Cerca complementària: el Diari d'Andorra manté una pàgina d'autor de Joan Carles Sasplugas (https://www.diariandorra.ad/autores/joan-carles-sasplugas/), però no permet equiparar-lo amb el nom abreujat del vídeo.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-012	Casimir Arajol	1	RTVA Andorra	Andorra la Vella	RTVA el presenta com a pregoner de la festa major d’Andorra la Vella, molt vinculat a les tradicions, la cultura i el teixit social d’Andorra.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-013	Cielo	1	RTVA Andorra	Escola Andorrana: Escaldes-Engordany, Andorra la Vella i la Margineda	La publicació de memòria de l'Escola Andorrana identifica «la Cielo» com una cuinera de referència; el testimoni autobiogràfic descriu la seva feina des de 1986 i el pas per centres d'Escaldes, Andorra la Vella i la Margineda.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-014	Daniel Armengol	1	RTVA Andorra	Andorra; vinculació documentada amb la policia	RTVA documenta Daniel Armengol Millat com un dels primers directors de la policia i com a persona vinculada a la Massana; cal confirmar que coincideix amb la persona del vídeo.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-015	Enric Casadevall Medrano	1	Consell General	Andorra (Justícia)	RTVA identifica Enric Casadevall com a president del Consell Superior de la Justícia i documenta la seva activitat institucional al país.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-016	Enric Dolsa Font	2	Consell General	d'Ordino	Fitxa institucional i índex antroponímic del Consell General; l'índex el situa a Ordino.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-017	Esther Jover	1	Andorra Recerca i Innovació	Andorra (RTVA)	RTVA signa la peça com a autora i la situa treballant sobre història i actualitat d’Andorra; cal distingir la veu de periodista de les veus entrevistades.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
