id_persona	informe	formes	repertori	evidencia_textual	buits	consens_asr	perfil_acustic	evidencia_gramatica	transcripcio	metrics_audio	cobertura_audicio	estat
pa-001	corpus-parla-andorrana/persones/pa-001.md	sí	sí	sí		sí	sí	sí	sí	sí	sí	complet-provisional
pa-003	corpus-parla-andorrana/persones/pa-003.md	sí	sí	sí		sí	sí	sí	sí	sí	sí	complet-provisional
pa-002	corpus-parla-andorrana/persones/pa-002.md	sí	sí	sí		sí	sí	sí	sí	sí	sí	complet-provisional
pa-004	corpus-parla-andorrana/persones/pa-004.md	sí	sí	sí		sí	sí	sí	sí	sí	sí	complet-provisional
pa-005	corpus-parla-andorrana/persones/pa-005.md	sí	sí	sí		sí	sí	sí	sí	sí	sí	complet-provisional
pa-006	corpus-parla-andorrana/persones/pa-006.md	sí	sí	sí		sí	sí	sí	sí	sí	sí	complet-provisional
pa-007	corpus-parla-andorrana/persones/pa-007.md	sí	sí	sí		sí	sí	sí	sí	sí	sí	complet-provisional
pa-008	corpus-parla-andorrana/persones/pa-008.md	sí	sí	sí		sí	sí	sí	sí	sí	sí	complet-provisional
pa-009	corpus-parla-andorrana/persones/pa-009.md	sí	sí	sí		sí	sí	sí	sí	sí	sí	complet-provisional
pa-010	corpus-parla-andorrana/persones/pa-010.md	sí	sí	sí		sí	sí	sí	sí	sí	sí	complet-provisional
pa-011	corpus-parla-andorrana/persones/pa-011.md	sí	sí	sí		sí	sí	sí	sí	sí	sí	complet-provisional
pa-012	corpus-parla-andorrana/persones/pa-012.md	sí	sí	sí		sí	sí	sí	sí	sí	sí	complet-provisional
pa-013	corpus-parla-andorrana/persones/pa-013.md	sí	sí	sí		sí	sí	sí	sí	sí	sí	complet-provisional
pa-014	corpus-parla-andorrana/persones/pa-014.md	sí	sí	sí		sí	sí	sí	sí	sí	sí	complet-provisional
pa-015	corpus-parla-andorrana/persones/pa-015.md	sí	sí	sí		sí	sí	sí	sí	sí	sí	complet-provisional
pa-016	corpus-parla-andorrana/persones/pa-016.md	sí	sí	sí		sí	sí	sí	sí	sí	sí	complet-provisional
pa-017	corpus-parla-andorrana/persones/pa-017.md	sí	sí	sí		sí	sí	sí	sí	sí	sí	complet-provisional
pa-018	corpus-parla-andorrana/persones/pa-018.md	sí	sí	sí		sí	sí	sí	sí	sí	sí	complet-provisional
