tipus	id	fitxer	durada_s	sample_rate_hz	canals	bytes	estat	nota
font	pa-001	audios/pa-001/audio.wav	1125.262	44100	2	198496334	ok	
font	pa-002	audios/pa-002/audio.wav	2647.075	44100	2	466944078	ok	
font	pa-003	audios/pa-003/audio.wav	516.876	44100	2	91177038	ok	
font	pa-004	audios/pa-004/audio.wav	837.010	44100	2	147648590	ok	
font	pa-005	audios/pa-005/audio.wav	949.000	44100	2	167403598	ok	
font	pa-006	audios/pa-006/audio.wav	658.564	44100	2	116170830	ok	
font	pa-007	audios/pa-007/audio.wav	823.681	44100	2	145297486	ok	
font	pa-008	audios/pa-008/audio.wav	1397.377	44100	2	246497358	ok	
font	pa-009	audios/pa-009/audio.wav	1102.251	44100	2	194437198	ok	
font	pa-010	audios/pa-010/audio.wav	1051.400	44100	2	185466958	ok	
font	pa-011	audios/pa-011/audio.wav	588.394	44100	2	103792718	ok	
font	pa-012	audios/pa-012/audio.wav	742.458	44100	2	130969678	ok	
font	pa-013	audios/pa-013/audio.wav	1081.562	44100	2	190787662	ok	
font	pa-014	audios/pa-014/audio.wav	1004.309	44100	2	177160270	ok	
font	pa-015	audios/pa-015/audio.wav	541.884	44100	2	95588430	ok	
font	pa-016	audios/pa-016/audio.wav	792.172	44100	2	139739214	ok	
font	pa-017	audios/pa-017/audio.wav	902.211	44100	2	159150158	ok	
font	pa-018	audios/pa-018/audio.wav	2772.602	44100	2	489087054	ok	
font	pa-019	audios/pa-019/audio.wav	880.176	44100	2	155263054	ok	
font	pa-020	audios/pa-020/audio.wav	1486.913	44100	2	262291534	ok	
font	pa-021	audios/pa-021/audio.wav	951.809	44100	2	167899214	ok	
font	pa-022	audios/pa-022/audio.wav	743.735	44100	2	131194958	ok	
font	pa-023	audios/pa-023/audio.wav	596.010	44100	2	105136206	ok	
font	pa-024	audios/pa-024/audio.wav	2492.198	44100	2	439623758	ok	
font	pa-025	audios/pa-025/audio.wav	2112.784	44100	2	372695118	ok	
font	pa-026	audios/pa-026/audio.wav	2149.146	44100	2	379109454	ok	
font	pa-027	audios/pa-027/audio.wav	955.873	44100	2	168616014	ok	
font	pa-028	audios/pa-028/audio.wav	401.171	44100	2	70766670	ok	
font	pa-029	audios/pa-029/audio.wav	1213.010	44100	2	213975118	ok	
font	pa-030	audios/pa-030/audio.wav	1144.024	44100	2	201805902	ok	
font	pa-031	audios/pa-031/audio.wav	611.544	44100	2	107876430	ok	
font	pa-032	audios/pa-032/audio.wav	453.741	44100	2	80040014	ok	
font	pa-033	audios/pa-033/audio.wav	256.766	44100	2	45293646	ok	
font	pa-034	audios/pa-034/audio.wav	1267.577	44100	2	223600718	ok	
font	pa-035	audios/pa-035/audio.wav	1028.876	44100	2	181493838	ok	
font	pa-036	audios/pa-036/audio.wav	719.935	44100	2	126996558	ok	
font	pa-037	audios/pa-037/audio.wav	502.944	44100	2	88719438	ok	
font	pa-038	audios/pa-038/audio.wav	2175.663	44100	2	383787086	ok	
font	pa-039	audios/pa-039/audio.wav	653.735	44100	2	115318862	ok	
font	pa-040	audios/pa-040/audio.wav	250.218	44100	2	44138574	ok	
font	pa-041	audios/pa-041/audio.wav	691.560	44100	2	121991246	ok	
font	pa-042	audios/pa-042/audio.wav	419.422	44100	2	73986126	ok	
font	pa-043	audios/pa-043/audio.wav	148.004	44100	2	26107982	ok	
font	pa-044	audios/pa-044/audio.wav	1605.567	44100	2	283222094	ok	
font	pa-045	audios/pa-045/audio.wav	1608.028	44100	2	283656270	ok	
font	pa-046	audios/pa-046/audio.wav	1265.139	44100	2	223170638	ok	
font	pa-047	audios/pa-047/audio.wav	1571.805	44100	2	277266510	ok	
font	pa-048	audios/pa-048/audio.wav	1527.896	44100	2	269520974	ok	
font	pa-049	audios/pa-049/audio.wav	1595.606	44100	2	281464910	ok	
font	pa-050	audios/pa-050/audio.wav	1538.995	44100	2	271478862	ok	
font	pa-051	audios/pa-051/audio.wav	309.803	44100	2	54649266	ok	
font	pa-052	audios/pa-052/audio.wav	169.771	44100	2	29947626	ok	
font	pa-053	audios/pa-053/audio.wav	251.605	16000	1	8051448	ok	
font	pa-054	audios/pa-054/audio.wav	327.680	16000	1	10485838	ok	
font	pa-055	audios/pa-055/audio.wav	2149.099	44100	2	379101090	ok	
font	pa-056	audios/pa-056/audio.wav	1143.979	44100	2	201797918	ok	
font	pa-057	audios/pa-057/audio.wav	1212.971	44100	2	213968106	ok	
font	pa-058	audios/pa-058/audio.wav	2772.565	44100	2	489080606	ok	
font	pa-059	audios/pa-059/audio.wav	902.165	44100	2	159142046	ok	
font	pa-060	audios/pa-060/audio.wav	595.968	44100	2	105128834	ok	
font	pa-061	audios/pa-061/audio.wav	1569.623	44100	2	276881490	ok	
font	pa-062	audios/pa-062/audio.wav	1502.215	44100	2	264990798	ok	
font	pa-063	audios/pa-063/audio.wav	1571.341	44100	2	277184590	ok	
font	pa-064	audios/pa-064/audio.wav	1488.933	44100	2	262647890	ok	
font	pa-065	audios/pa-065/audio.wav	1564.352	44100	2	275951694	ok	
font	pa-066	audios/pa-066/audio.wav	580.011	44100	2	102314066	ok	
clip	pa-001::bé::49.17-54.35	clips/pa-001__b__49.17.wav	5.180	16000	1	165838	ok	
clip	pa-002::bé::348.25-355.75	clips/pa-002__b__348.25.wav	7.500	16000	1	240078	ok	
clip	pa-003::bé::0.00-7.19	clips/pa-003__b__0.00.wav	7.190	16000	1	230158	ok	
clip	pa-004::bé::319.61-322.59	clips/pa-004__b__319.61.wav	2.980	16000	1	95438	ok	
clip	pa-005::bé::51.09-56.07	clips/pa-005__b__51.09.wav	4.980	16000	1	159438	ok	
clip	pa-006::bé::151.25-159.75	clips/pa-006__b__151.25.wav	8.500	16000	1	272078	ok	
clip	pa-007::bé::59.25-66.75	clips/pa-007__b__59.25.wav	7.500	16000	1	240078	ok	
clip	pa-008::bé::61.25-65.75	clips/pa-008__b__61.25.wav	4.500	16000	1	144078	ok	
clip	pa-009::bé::557.25-561.75	clips/pa-009__b__557.25.wav	4.500	16000	1	144078	ok	
clip	pa-010::bé::24.65-31.67	clips/pa-010__b__24.65.wav	7.020	16000	1	224718	ok	
clip	pa-011::bé::185.57-189.31	clips/pa-011__b__185.57.wav	3.740	16000	1	119758	ok	
clip	pa-012::bé::160.25-164.75	clips/pa-012__b__160.25.wav	4.500	16000	1	144078	ok	
clip	pa-013::bé::196.65-203.47	clips/pa-013__b__196.65.wav	6.820	16000	1	218318	ok	
clip	pa-014::bé::165.65-181.55	clips/pa-014__b__165.65.wav	15.900	16000	1	508878	ok	
clip	pa-015::bé::42.25-48.75	clips/pa-015__b__42.25.wav	6.500	16000	1	208078	ok	
clip	pa-016::bé::170.05-177.19	clips/pa-016__b__170.05.wav	7.140	16000	1	228558	ok	
clip	pa-017::bé::112.25-118.15	clips/pa-017__b__112.25.wav	5.900	16000	1	188878	ok	
clip	pa-018::bé::210.65-215.47	clips/pa-018__b__210.65.wav	4.820	16000	1	154318	ok	
clip	pa-019::bé::195.25-201.75	clips/pa-019__b__195.25.wav	6.500	16000	1	208078	ok	
clip	pa-020::bé::146.37-152.31	clips/pa-020__b__146.37.wav	5.940	16000	1	190158	ok	
clip	pa-021::bé::257.61-263.59	clips/pa-021__b__257.61.wav	5.980	16000	1	191438	ok	
clip	pa-022::bé::270.45-275.35	clips/pa-022__b__270.45.wav	4.900	16000	1	156878	ok	
clip	pa-023::bé::409.37-413.47	clips/pa-023__b__409.37.wav	4.100	16000	1	131278	ok	
clip	pa-024::bé::175.29-180.79	clips/pa-024__b__175.29.wav	5.500	16000	1	176078	ok	
clip	pa-025::bé::1023.77-1027.67	clips/pa-025__b__1023.77.wav	3.900	16000	1	124878	ok	
clip	pa-026::bé::99.97-103.47	clips/pa-026__b__99.97.wav	3.500	16000	1	112078	ok	
clip	pa-027::bé::30.97-36.55	clips/pa-027__b__30.97.wav	5.580	16000	1	178638	ok	
clip	pa-028::bé::182.49-187.39	clips/pa-028__b__182.49.wav	4.900	16000	1	156878	ok	
clip	pa-029::bé::42.97-46.79	clips/pa-029__b__42.97.wav	3.820	16000	1	122318	ok	
clip	pa-030::bé::436.45-441.63	clips/pa-030__b__436.45.wav	5.180	16000	1	165838	ok	
clip	pa-031::bé::329.13-333.07	clips/pa-031__b__329.13.wav	3.940	16000	1	126158	ok	
clip	pa-032::bé::270.41-274.95	clips/pa-032__b__270.41.wav	4.540	16000	1	145358	ok	
clip	pa-033::bé::103.09-107.43	clips/pa-033__b__103.09.wav	4.340	16000	1	138958	ok	
clip	pa-034::bé::18.85-23.15	clips/pa-034__b__18.85.wav	4.300	16000	1	137678	ok	
clip	pa-035::bé::715.81-720.31	clips/pa-035__b__715.81.wav	4.500	16000	1	144078	ok	
clip	pa-036::bé::69.45-75.15	clips/pa-036__b__69.45.wav	5.700	16000	1	182478	ok	
clip	pa-037::bé::105.29-124.79	clips/pa-037__b__105.29.wav	19.500	16000	1	624078	ok	
clip	pa-038::bé::26.77-31.71	clips/pa-038__b__26.77.wav	4.940	16000	1	158158	ok	
clip	pa-039::bé::27.77-32.03	clips/pa-039__b__27.77.wav	4.260	16000	1	136398	ok	
clip	pa-040::bé::32.81-38.63	clips/pa-040__b__32.81.wav	5.820	16000	1	186318	ok	
clip	pa-041::bé::130.25-137.75	clips/pa-041__b__130.25.wav	7.500	16000	1	240078	ok	
clip	pa-045::bé::83.49-91.43	clips/pa-045__b__83.49.wav	7.940	16000	1	254158	ok	
clip	pa-046::bé::348.81-352.55	clips/pa-046__b__348.81.wav	3.740	16000	1	119758	ok	
clip	pa-048::bé::495.73-502.83	clips/pa-048__b__495.73.wav	7.100	16000	1	227278	ok	
clip	pa-049::bé::74.21-82.63	clips/pa-049__b__74.21.wav	8.420	16000	1	269518	ok	
clip	pa-053::bé::90.81-95.91	clips/pa-053__b__90.81.wav	5.100	16000	1	163278	ok	
clip	pa-054::bé::128.77-134.43	clips/pa-054__b__128.77.wav	5.660	16000	1	181198	ok	
clip	pa-055::bé::358.57-362.07	clips/pa-055__b__358.57.wav	3.500	16000	1	112078	ok	
clip	pa-056::bé::436.49-441.47	clips/pa-056__b__436.49.wav	4.980	16000	1	159438	ok	
clip	pa-057::bé::203.57-209.03	clips/pa-057__b__203.57.wav	5.460	16000	1	174798	ok	
clip	pa-058::bé::210.61-215.39	clips/pa-058__b__210.61.wav	4.780	16000	1	153038	ok	
clip	pa-059::bé::112.41-118.27	clips/pa-059__b__112.41.wav	5.860	16000	1	187598	ok	
clip	pa-060::bé::415.73-419.91	clips/pa-060__b__415.73.wav	4.180	16000	1	133838	ok	
clip	pa-061::bé::662.89-667.43	clips/pa-061__b__662.89.wav	4.540	16000	1	145358	ok	
clip	pa-062::bé::401.61-406.47	clips/pa-062__b__401.61.wav	4.860	16000	1	155598	ok	
clip	pa-063::bé::105.97-110.35	clips/pa-063__b__105.97.wav	4.380	16000	1	140238	ok	
clip	pa-064::bé::97.93-104.11	clips/pa-064__b__97.93.wav	6.180	16000	1	197838	ok	
