id_persona	font	canal	url	llicencia	consulta	derivat	asr	estat
pa-001	#ConsellConstituent - Albert Gelabert Grau	Consell General	https://www.youtube.com/watch?v=H1YzDVWz8-U	no declarada; llicència estàndard de YouTube.	2026-09-23.	`../audios/pa-001/audio.wav`; SHA-256 `828698213ac4f03ec29a53eba11f03a1edc993a13173972e70ae625bd0dda26c`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-002	#ConsellConstituent - Jordi Farràs Forné	Consell General	https://www.youtube.com/watch?v=pU9nG2c2zX8	no declarada; llicència estàndard de YouTube.	2026-09-23.	`../audios/pa-002/audio.wav`; SHA-256 `289d6e01a730e877f2436d88b5464623d53133a885b2cbe1a69a132941a827cf`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-003	Els primers 30: entrevista Roser Bastida	RTVA Andorra	https://www.youtube.com/watch?v=IW5OE88C_TQ	no declarada; llicència estàndard de YouTube.	2026-09-23.	`../audios/pa-003/audio.wav`; SHA-256 `8f5d5e01ee9e3a2fd747c92706c529e1284ba0018a0eff1d1cadc8e1c5c26982`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-004	Càpsula #11. Les moles de farina d'Andorra, per  Francina Pons	Andorra Recerca Innovació	https://www.youtube.com/watch?v=1X4uGbdg2iY	Creative Commons Attribution license (reuse allowed).	2026-09-23.	`../audios/pa-004/audio.wav`; SHA-256 `6818954b7fad6adc06ce84fd136f610b7ae4a964e0d5c116934fc332de4ea5c0`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-005	Càpsula #13. Els hostals comunals, per  Ludmila Lacueva	Andorra Recerca Innovació	https://www.youtube.com/watch?v=y8DXM2W2QI4	Creative Commons Attribution license (reuse allowed).	2026-09-23.	`../audios/pa-005/audio.wav`; SHA-256 `8afa1926976a5148a7c4dc3e99cb1e94ca6b08e201f95a21473bacedb148d093`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-006	Càpsula #20. Els molins d'aigua d'Andorra, per  Alan Ward.	Andorra Recerca Innovació	https://www.youtube.com/watch?v=OBz__QiZyiQ	Creative Commons Attribution license (reuse allowed).	2026-09-23.	`../audios/pa-006/audio.wav`; SHA-256 `a72c240c517b3f1c159d680fb2ab7a352b95715d285a8ef456694b14e9e948a7`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-007	Càpsula #27. Els noms dels carrers andorrans, per Alfred Llahí.	Andorra Recerca Innovació	https://www.youtube.com/watch?v=8zYj5QNt0hA	Creative Commons Attribution license (reuse allowed).	2026-09-23.	`../audios/pa-007/audio.wav`; SHA-256 `e4e8e53dbd1e08577c07dabb7e270bb3e6063ba92876616b3ac99185bc3863a9`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-008	Càpsula #34. Les falles d'Andorra, per Albert Roig.	Andorra Recerca Innovació	https://www.youtube.com/watch?v=2Khh9Z7edcI	Creative Commons Attribution license (reuse allowed).	2026-09-23.	`../audios/pa-008/audio.wav`; SHA-256 `40f7dabfa94b07c693dd497e08c85be8af0cdff0088e7a2ea388df95a52ae200`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-009	Càpsula #40. Les campanes d'Andorra, per  Robert Lizarte	Andorra Recerca Innovació	https://www.youtube.com/watch?v=Wg5DnvyNwH0	Creative Commons Attribution license (reuse allowed).	2026-09-23.	`../audios/pa-009/audio.wav`; SHA-256 `fba8d0a70e0501e4d274d9733f38dc8fe30d09a75c5cb4f2259060beac12dbc9`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-010	Càpsula #45. Toponímia preromana a Andorra, per Xavier Planas.	Andorra Recerca Innovació	https://www.youtube.com/watch?v=o06GKLl_Jvs	Creative Commons Attribution license (reuse allowed).	2026-09-23.	`../audios/pa-010/audio.wav`; SHA-256 `cdf28462f2b33889c1769b6b6a577c02f066b89306fe5e9b16f2fd8cfabe28d4`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
