id_persona	nom_public	titol_font	serie	url	video_id	estat	durada	notes
pa-004	Francina Pons	Càpsula #11 — «Les moles de farina d'Andorra», per Francina Pons	ari-capsula-11	https://youtu.be/1X4uGbdg2iY	1X4uGbdg2iY	metadata-ok	837	font localitzada; àudio i biografia lingüística pendents
pa-005	Ludmilla Lacueva	Càpsula #13 — «Els hostals comunals», per Ludmilla Lacueva	ari-capsula-13	https://youtu.be/y8DXM2W2QI4	y8DXM2W2QI4	metadata-ok	949	font localitzada; àudio i biografia lingüística pendents
pa-006	Alan Ward	Càpsula #20 — «Els molins d'aigua d'Andorra», per Alan Ward	ari-capsula-20	https://youtu.be/OBz__QiZyiQ	OBz__QiZyiQ	metadata-ok	659	font localitzada; àudio i biografia lingüística pendents
pa-007	Alfred Llahí	Càpsula #27 — «Els noms dels carrers andorrans», per Alfred Llahí	ari-capsula-27	https://youtu.be/8zYj5QNt0hA	8zYj5QNt0hA	metadata-ok	824	font localitzada; àudio i biografia lingüística pendents
pa-008	Albert Roig	Càpsula #34 — «Les falles d'Andorra», per Albert Roig	ari-capsula-34	https://youtu.be/2Khh9Z7edcI	2Khh9Z7edcI	metadata-ok	1397	font localitzada; àudio i biografia lingüística pendents
pa-009	Robert Lizarte	Càpsula #40 — «Les campanes d'Andorra», per Robert Lizarte	ari-capsula-40	https://youtu.be/Wg5DnvyNwH0	Wg5DnvyNwH0	metadata-ok	1102	font localitzada; àudio i biografia lingüística pendents
pa-010	Xavier Planas	Càpsula #45 — «Toponímia preromana a Andorra», per Xavier Planas	ari-capsula-45	https://youtu.be/o06GKLl_Jvs	o06GKLl_Jvs	metadata-ok	1051	font localitzada; àudio i biografia lingüística pendents
pa-011	Esther Jover	Càpsula #49 — «Cal Pal de la Cortinada», per Esther Jover	ari-capsula-49	https://youtu.be/gvDsyvnxSFY	gvDsyvnxSFY	metadata-ok	588	font localitzada; àudio i biografia lingüística pendents
pa-012	Albert Rossa Naudí	Càpsula #56 — «La vida a pagès», per Albert Rossa Naudí	ari-capsula-56	https://youtu.be/lC14HCz82_Y	lC14HCz82_Y	metadata-ok	742	font localitzada; àudio i biografia lingüística pendents
pa-013	Ruth Casabella	Càpsula #57 — «Un racó d'Escaldes-Engordany», per Ruth Casabella	ari-capsula-57	https://youtu.be/xyJqeun7e2g	xyJqeun7e2g	metadata-ok	1082	font localitzada; àudio i biografia lingüística pendents
pa-014	Teo Armengol	Càpsula #66 — «La dansa tradicional d'Andorra: el contrapàs», per Teo Armengol	ari-capsula-66	https://youtu.be/YGSaA_njUIo	YGSaA_njUIo	metadata-ok	1004	font localitzada; àudio i biografia lingüística pendents
pa-015	Sara Ubach	Càpsula #70 — «La nissaga dels Martí de les Bons», per Sara Ubach	ari-capsula-70	https://youtu.be/e1RPheooiDI	e1RPheooiDI	metadata-ok	542	font localitzada; àudio i biografia lingüística pendents
