forma	segment	inici_s	final_s	text_asr	estat
a veure	32	94.360	96.480	A veure, amb l'Aracan li tinc una relació boníssima,	Joan probable per regla; pendent d’audició
bueno	60	175.960	180.040	i, bueno, no vaig poder acabar malauradament les manes,	Joan probable per regla; pendent d’audició
a veure	89	260.720	263.320	Una bona estona, a veure. Vaig remontar 16 posicions	Joan probable per regla; pendent d’audició
doncs	111	324.000	327.400	doncs poder fer una carrera així allà és increïble.	Joan probable per regla; pendent d’audició
de fet	126	370.600	373.320	De fet, segurament sorties, em poso que el 25 no està tot el 26,	Joan probable per regla; pendent d’audició
clar	148	440.360	443.200	però, clar, s'ha d'anar construint per poder arribar allà	Joan probable per regla; pendent d’audició
bueno	150	445.840	448.280	Bueno, mira aquí, t'anava a dir entre tu i jo,	Joan probable per regla; pendent d’audició
llavors	163	484.400	486.600	Llavors, com que no m'ho puc permetre ara mateix,	Joan probable per regla; pendent d’audició
doncs	164	486.680	491.760	doncs vull esquiar més intel·ligent, eh, guarda, això.	Joan probable per regla; pendent d’audició
vull dir	174	521.160	523.440	Però al final de temporada, vull dir.	Joan probable per regla; pendent d’audició
perquè	188	560.440	563.800	Tinc una treta un pes de sobre, no només perquè he vist	Joan probable per regla; pendent d’audició
evidentment	205	617.960	621.080	no cada cara podrà ser un 12è, jo, evidentment,	Joan probable per regla; pendent d’audició
doncs	208	628.160	630.680	doncs poder exprimir-me al màxim i anar a buscar punts.	Joan probable per regla; pendent d’audició
a veure	235	712.600	715.200	A veure, tu ho he destacat jo moltes vegades,	Joan probable per regla; pendent d’audició
bueno	246	750.400	753.560	I, bueno, estem dedicant ganes, energia,	Joan probable per regla; pendent d’audició
bé	247	753.640	756.840	ens ho passem bé, intentem fer un format professional,	Joan probable per regla; pendent d’audició
bé	257	778.120	782.480	I bé, per l'experiència pròpia et puc dir que gent que no li agrada l'esquit...	Joan probable per regla; pendent d’audició
doncs	263	797.880	800.240	Doncs tampoc ens ho perdrem.	Joan probable per regla; pendent d’audició
