id_parlant	nom_public	n_formes	formes	estat
lead-rtva-001	Joan Verdú	11	a veure,bueno,bé,clar,de fet,doncs,evidentment,llavors,no?,per tant,perquè	candidat separat; pendent de veu i audició
spk-001	Alan Ward	8	aleshores,bé,clar,de fet,diguem,doncs,o sigui,perquè	persona canònica; graf small textual
spk-002	Albert Gelabert Grau	5	crec,de fet,evidentment,llavors,perquè	persona canònica; graf small textual
spk-003	Albert Roig	7	a veure,aleshores,bé,clar,de fet,perquè,és a dir	persona canònica; graf small textual
spk-004	Albert Rossa Naudí	3	aleshores,bé,perquè	persona canònica; graf small textual
spk-005	Alfred Llahí	9	a veure,bé,clar,diguem,doncs,evidentment,llavors,perquè,és a dir	persona canònica; graf small textual
spk-006	Andreu Gaspà Picart	7	aleshores,bueno,bé,clar,doncs,perquè,vull dir	persona canònica; graf small textual
spk-007	Angelina Mas	12	a veure,aleshores,bueno,bé,clar,crec,diguem,evidentment,llavors,o sigui,perquè,vull dir	persona canònica; graf small textual
spk-008	Antoni Armengol Vila	10	a nivell,a veure,bueno,crec,de fet,doncs,llavors,perquè,vull dir,és a dir	persona canònica; graf small textual
spk-009	Antoni Jordi Areny	9	bé,clar,de fet,diguem,llavors,perquè,tirar endavant,vull dir,és a dir	persona canònica; graf small textual
spk-010	Antoni Morell	9	a nivell,a veure,bé,crec,doncs,llavors,o sigui,vull dir,és a dir	persona canònica; graf small textual
spk-011	Carles Sasplugas	8	a nivell,bueno,bé,crec,de fet,evidentment,llavors,perquè	persona canònica; graf small textual
spk-012	Casimir Arajol	0		persona canònica; graf small textual
spk-013	Cielo	1	perquè	persona canònica; graf small textual
spk-014	Daniel Armengol	7	a veure,bé,clar,crec,o sigui,perquè,és a dir	persona canònica; graf small textual
spk-015	Enric Casadevall Medrano	7	clar,crec,de fet,diguem,evidentment,perquè,és a dir	persona canònica; graf small textual
spk-016	Enric Dolsa Font	13	a veure,aleshores,bueno,clar,crec,doncs,evidentment,llavors,o sigui,perquè,tirar endavant,vull dir,és a dir	persona canònica; graf small textual
spk-017	Esther Jover	7	a veure,bé,de fet,doncs,evidentment,perquè,és a dir	persona canònica; graf small textual
spk-018	Eudald Guillamet	9	a nivell,a veure,bé,clar,doncs,evidentment,llavors,o sigui,perquè	persona canònica; graf small textual
spk-019	Francina Pons	5	bé,de fet,evidentment,perquè,vull dir	persona canònica; graf small textual
spk-020	Gabriel Dallerès Codina	6	a nivell,bé,llavors,o sigui,perquè,tirar endavant	persona canònica; graf small textual
spk-021	Gualbert Osorio	0		persona canònica; graf small textual
spk-022	Guillem Areny Argelich	7	a nivell,aviam,bé,clar,diguem,doncs,perquè	persona canònica; graf small textual
spk-023	Irene Clua	3	bueno,crec,és a dir	persona canònica; graf small textual
spk-024	Jaume Bartumeu Cassany	10	a veure,aleshores,clar,crec,de fet,diguem,evidentment,o sigui,perquè,reformeta	persona canònica; graf small textual
spk-025	Joan Santamaria Terré	4	bé,crec,evidentment,perquè	persona canònica; graf small textual
spk-026	Jordi Farràs Forné	10	a nivell,a veure,bé,clar,crec,de fet,evidentment,llavors,perquè,reformeta	persona canònica; graf small textual
spk-027	Jordi Marquet	6	bueno,crec,diguem,o sigui,perquè,és a dir	persona canònica; graf small textual
spk-028	Jordi Mas Torres	8	a nivell,a veure,bé,clar,doncs,evidentment,perquè,vull dir	persona canònica; graf small textual
spk-029	Jordi Torres Alís	4	crec,de fet,evidentment,perquè	persona canònica; graf small textual
spk-030	Josep Areny	6	aleshores,bé,diguem,doncs,llavors,és a dir	persona canònica; graf small textual
spk-031	Josep Areny Fité	8	a veure,bueno,crec,doncs,evidentment,perquè,vull dir,és a dir	persona canònica; graf small textual
spk-032	Josep Casal	2	crec,perquè	persona canònica; graf small textual
spk-033	Josep Garrallà Rossell	8	a veure,aleshores,clar,crec,de fet,doncs,perquè,tirar endavant	persona canònica; graf small textual
spk-034	Josep Marsal Riba	4	crec,doncs,perquè,és a dir	persona canònica; graf small textual
spk-035	Ladislau Baró Solà	6	a nivell,clar,crec,de fet,evidentment,perquè	persona canònica; graf small textual
spk-036	Ludmilla Lacueva	4	bé,doncs,llavors,o sigui	persona canònica; graf small textual
spk-037	Maria Reig Moles	11	a nivell,bueno,bé,clar,crec,doncs,llavors,o sigui,perquè,reformeta,vull dir	persona canònica; graf small textual
spk-038	Mercè Segura	10	a veure,bueno,bé,clar,crec,ensenyança,evidentment,perquè,tirar endavant,vull dir	persona canònica; graf small textual
spk-039	Miquel Aleix Areny	6	crec,diguem,llavors,perquè,vull dir,és a dir	persona canònica; graf small textual
spk-040	Miquel Armengol Pons	9	a veure,clar,crec,evidentment,o sigui,perquè,reformeta,vull dir,és a dir	persona canònica; graf small textual
spk-041	Miquel Naudi Casal	8	bueno,bé,clar,crec,doncs,llavors,perquè,vull dir	persona canònica; graf small textual
spk-042	Mossèn Ramon de Canillo	10	a nivell,aleshores,bueno,bé,clar,crec,doncs,o sigui,perquè,és a dir	persona canònica; graf small textual
spk-043	Nadia Aleix Tugas	10	a nivell,bueno,clar,doncs,evidentment,llavors,perquè,tirar endavant,vull dir,és a dir	persona canònica; graf small textual
spk-044	Olga Adellach Coma	13	a nivell,a veure,bé,clar,crec,de fet,doncs,evidentment,llavors,o sigui,perquè,vull dir,és a dir	persona canònica; graf small textual
spk-045	Patrick Pérez	9	a nivell,a veure,bueno,bé,crec,evidentment,llavors,o sigui,vull dir	persona canònica; graf small textual
spk-046	Pere Altimir Pintat	8	a nivell,bueno,bé,clar,crec,evidentment,llavors,perquè	persona canònica; graf small textual
spk-047	Pere Torres	2	llavors,perquè	persona canònica; graf small textual
spk-048	Ramon Canut Bové	8	a nivell,a veure,bé,evidentment,o sigui,perquè,reformeta,vull dir	persona canònica; graf small textual
spk-049	Robert Cassany Vila	5	bé,clar,de fet,doncs,llavors	persona canònica; graf small textual
