forma	font	estat
a veure	Joan Verdú + graf canònic small	consens textual; pendent d’audició
bueno	Joan Verdú + graf canònic small	consens textual; pendent d’audició
bé	Joan Verdú + graf canònic small	consens textual; pendent d’audició
clar	Joan Verdú + graf canònic small	consens textual; pendent d’audició
de fet	Joan Verdú + graf canònic small	consens textual; pendent d’audició
doncs	Joan Verdú + graf canònic small	consens textual; pendent d’audició
evidentment	Joan Verdú + graf canònic small	consens textual; pendent d’audició
llavors	Joan Verdú + graf canònic small	consens textual; pendent d’audició
no?	Joan Verdú + graf canònic small	consens textual; pendent d’audició
per tant	Joan Verdú + graf canònic small	consens textual; pendent d’audició
perquè	Joan Verdú + graf canònic small	consens textual; pendent d’audició
