categoria	forma	small	base	consens	estat
discurs	a nivell	3	2	sí	ASR textual; pendent d'audició
discurs	a veure	5	4	sí	ASR textual; pendent d'audició
discurs	aleshores	0	0	no	ASR textual; pendent d'audició
discurs	aviam	0	0	no	ASR textual; pendent d'audició
discurs	bueno	0	0	no	ASR textual; pendent d'audició
discurs	bé	10	11	sí	ASR textual; pendent d'audició
discurs	clar	15	14	sí	ASR textual; pendent d'audició
discurs	de fet	6	6	sí	ASR textual; pendent d'audició
discurs	diguem	0	0	no	ASR textual; pendent d'audició
discurs	doncs	21	20	sí	ASR textual; pendent d'audició
discurs	evidentment	1	1	sí	ASR textual; pendent d'audició
discurs	llavors	25	14	sí	ASR textual; pendent d'audició
discurs	no?	12	13	sí	ASR textual; pendent d'audició
discurs	o sigui	20	10	sí	ASR textual; pendent d'audició
discurs	per tant	1	1	sí	ASR textual; pendent d'audició
discurs	perquè	36	35	sí	ASR textual; pendent d'audició
discurs	vull dir	3	0	no	ASR textual; pendent d'audició
discurs	és a dir	3	3	sí	ASR textual; pendent d'audició
territorial	Canillo	0	0	no	ASR textual; pendent d'audició
territorial	Escaldes	3	1	sí	ASR textual; pendent d'audició
territorial	Massana	0	0	no	ASR textual; pendent d'audició
territorial	Ordino	0	0	no	ASR textual; pendent d'audició
territorial	Sant Julià	0	0	no	ASR textual; pendent d'audició
territorial	aiguats	0	0	no	ASR textual; pendent d'audició
territorial	andorrana	0	0	no	ASR textual; pendent d'audició
territorial	comunal	0	0	no	ASR textual; pendent d'audició
territorial	comunals	0	0	no	ASR textual; pendent d'audició
territorial	comuns	0	0	no	ASR textual; pendent d'audició
territorial	comú	0	0	no	ASR textual; pendent d'audició
territorial	copríncep	0	0	no	ASR textual; pendent d'audició
territorial	coprínceps	0	0	no	ASR textual; pendent d'audició
territorial	padrí	0	0	no	ASR textual; pendent d'audició
territorial	parròquia	0	0	no	ASR textual; pendent d'audició
territorial	santuari	0	0	no	ASR textual; pendent d'audició
territorial	veguer	0	0	no	ASR textual; pendent d'audició
