categoria	forma	segment	inici_s	final_s	text_asr	estat
discurs	o sigui	33	110.480	114.480	O sigui, la primera, per jo, que es pensa la gent que quan surts del programa,	rol Ian provisional; pendent d'audició
discurs	clar	57	174.800	177.280	Ho tenia molt clar, però ho he de confirmar, com ve dius,	rol Ian provisional; pendent d'audició
discurs	doncs	70	214.720	219.640	Doncs mira, aquí en dos, l'auditori nacional m'agrada fer un concert com allà, això seria com un somni.	rol Ian provisional; pendent d'audició
discurs	a nivell	72	225.920	231.120	I després, a nivell d'artista, jo et diria potser un art de triomf amb un praia de Barcelona o alguna cosa així,	rol Ian provisional; pendent d'audició
discurs	perquè	83	270.920	273.440	Jo diria que sí, però perquè és la actuació	rol Ian provisional; pendent d'audició
discurs	o sigui	85	275.600	278.040	"O sigui, quan em van dir que ja anava a cantar ""Logon Tons"","	rol Ian provisional; pendent d'audició
discurs	perquè	88	284.240	288.680	És l'artista de la meva infància perquè la cultura francesa forma part de mi.	rol Ian provisional; pendent d'audició
discurs	perquè	101	320.120	323.120	Ara que he estat d'Euphoria, perquè jo no he vallat en la vida,	rol Ian provisional; pendent d'audició
discurs	doncs	172	536.080	539.680	Doncs mira, t'he de dir que gairebé sempre ha vingut gent a les audicions	rol Ian provisional; pendent d'audició
discurs	és a dir	173	539.760	549.160	I sempre amb nivell molt bo, és a dir, cada any hi havia hagut una o dues persones que quedava entre els 50 finals, que arribava el càsting presencial,	rol Ian provisional; pendent d'audició
discurs	de fet	176	562.160	567.400	Està sempre amb una llibreta, de fet el diumenge vam fer la primera tutoria per valorar la primera gala	rol Ian provisional; pendent d'audició
discurs	bé	183	587.000	590.000	Bé, de fet mira, acabes de dir una paraula màgic, jo crec que és un dels seus somnis.	rol Ian provisional; pendent d'audició
discurs	de fet	183	587.000	590.000	Bé, de fet mira, acabes de dir una paraula màgic, jo crec que és un dels seus somnis.	rol Ian provisional; pendent d'audició
discurs	doncs	207	658.240	662.680	Doncs mira, si és una cosa que és molt delicada, però jo diria que sí.	rol Ian provisional; pendent d'audició
discurs	llavors	209	666.560	670.040	Llavors, si les condicions són ideals, jo m'hi vaig de cap.	rol Ian provisional; pendent d'audició
discurs	clar	213	676.360	678.480	Clar, però per això he d'anar amb una cançó original.	rol Ian provisional; pendent d'audició
discurs	llavors	215	679.640	681.640	Llavors, ara que ja estic treballant en les meves,	rol Ian provisional; pendent d'audició
discurs	clar	225	700.880	704.480	Clar, jo estudi, estudi, no, ara he parat, però producció musical.	rol Ian provisional; pendent d'audició
discurs	llavors	226	704.560	708.720	Llavors crec que això hi ha de canta més, que soc millor composant instrumentals.	rol Ian provisional; pendent d'audició
discurs	doncs	258	801.520	803.680	Doncs mira, jo era molt tímid, molt ben petit.	rol Ian provisional; pendent d'audició
discurs	llavors	261	807.840	809.760	Llavors jo anava molt a la meva desbenpetit	rol Ian provisional; pendent d'audició
discurs	llavors	263	814.000	816.720	Llavors, a la mesura que vaig anar creixent,	rol Ian provisional; pendent d'audició
discurs	llavors	267	824.040	826.560	I llavors va ser quan vaig entrar al cor, que vaig començar a cantar,	rol Ian provisional; pendent d'audició
discurs	clar	284	872.360	876.880	clar, això va ser llagrim a viva per a tothom que estàvem a l'altra banda de les pantalles.	rol Ian provisional; pendent d'audició
discurs	perquè	287	888.360	897.080	Ho vam parlar només a sortir de la mateixa ni de plató. És una decisió que és molt complicada perquè ma mare va tenir la sort que m'havia de dir que sí,	rol Ian provisional; pendent d'audició
discurs	o sigui	315	967.680	970.200	que jo també vull sortir, o sigui, ja s'hi fica, ja s'hi suma.	rol Ian provisional; pendent d'audició
discurs	clar	324	987.800	990.640	Clar, perquè vaig haver de parar amb mòforia.	rol Ian provisional; pendent d'audició
discurs	perquè	324	987.800	990.640	Clar, perquè vaig haver de parar amb mòforia.	rol Ian provisional; pendent d'audició
discurs	bé	341	1029.920	1033.640	Crec que em puc compaginar molt bé estar fora, fer la meva carrera fora,	rol Ian provisional; pendent d'audició
discurs	perquè	371	1122.640	1124.640	però perquè també he conviscut amb molta gent.	rol Ian provisional; pendent d'audició
discurs	per tant	394	1186.720	1190.040	Per tant, no m'he emportat cap premi ni he firmat cap discogràfica,	rol Ian provisional; pendent d'audició
discurs	clar	411	1236.760	1242.760	Clar, o sigui, el contracte és que durant la durada del programa de estat tindré disponibilitat per fer-lo.	rol Ian provisional; pendent d'audició
discurs	o sigui	411	1236.760	1242.760	Clar, o sigui, el contracte és que durant la durada del programa de estat tindré disponibilitat per fer-lo.	rol Ian provisional; pendent d'audició
discurs	evidentment	412	1242.760	1248.760	Llavors, evidentment, si que no pots anar a Amsterdam, jo diria si no hi ha res que en el que necessitin.	rol Ian provisional; pendent d'audició
discurs	llavors	412	1242.760	1248.760	Llavors, evidentment, si que no pots anar a Amsterdam, jo diria si no hi ha res que en el que necessitin.	rol Ian provisional; pendent d'audició
discurs	doncs	414	1253.760	1257.760	Doncs ho deia abans, que és el somni que he tingut des de petit, petit, petit.	rol Ian provisional; pendent d'audició
discurs	o sigui	415	1257.760	1260.760	O sigui, he vist els meus grans referents musicals, he vist allà...	rol Ian provisional; pendent d'audició
discurs	o sigui	416	1260.760	1264.760	O sigui, la meva gran referent musical és la Dua Lipa, i jo l'he vist al Palau Sant Jordi.	rol Ian provisional; pendent d'audició
discurs	bé	447	1349.440	1351.080	No, se m'he dit quatre una cosa així. Ah, molt bé.	rol Ian provisional; pendent d'audició
discurs	bé	455	1371.320	1374.000	Sí, és el meu assistent personatge. Molt bé.	rol Ian provisional; pendent d'audició
