forma	font	estat
Escaldes	Ian Moya + graf canònic complet	consensual ASR; pendent d'audició
a nivell	Ian Moya + graf canònic complet	consensual ASR; pendent d'audició
a veure	Ian Moya + graf canònic complet	consensual ASR; pendent d'audició
bé	Ian Moya + graf canònic complet	consensual ASR; pendent d'audició
clar	Ian Moya + graf canònic complet	consensual ASR; pendent d'audició
de fet	Ian Moya + graf canònic complet	consensual ASR; pendent d'audició
doncs	Ian Moya + graf canònic complet	consensual ASR; pendent d'audició
evidentment	Ian Moya + graf canònic complet	consensual ASR; pendent d'audició
llavors	Ian Moya + graf canònic complet	consensual ASR; pendent d'audició
no?	Ian Moya + graf canònic complet	consensual ASR; pendent d'audició
o sigui	Ian Moya + graf canònic complet	consensual ASR; pendent d'audició
per tant	Ian Moya + graf canònic complet	consensual ASR; pendent d'audició
perquè	Ian Moya + graf canònic complet	consensual ASR; pendent d'audició
és a dir	Ian Moya + graf canònic complet	consensual ASR; pendent d'audició
