model	categoria	forma	segment	inici_s	final_s	prob_min_segment	text_asr	estat
small	discurs	a veure	5	33.000	39.000	0.1307	De fet, i jo ens portem una diferència d'edat bastant significativa a veure els 80 anys i mig.	candidat ASR; pendent d'audició
small	discurs	de fet	5	33.000	39.000	0.1307	De fet, i jo ens portem una diferència d'edat bastant significativa a veure els 80 anys i mig.	candidat ASR; pendent d'audició
small	discurs	bueno	6	39.000	44.000	0.1105	I, bueno, on que ell era més gran que jo i quan ell va començar a sortir de festa,	candidat ASR; pendent d'audició
small	discurs	bé	7	44.000	50.000	0.1447	doncs la música electrònica va estar bé amb el seu millor moment, no?, els anys 90.	candidat ASR; pendent d'audició
small	discurs	doncs	7	44.000	50.000	0.1447	doncs la música electrònica va estar bé amb el seu millor moment, no?, els anys 90.	candidat ASR; pendent d'audició
small	discurs	no?	7	44.000	50.000	0.1447	doncs la música electrònica va estar bé amb el seu millor moment, no?, els anys 90.	candidat ASR; pendent d'audició
small	discurs	aleshores	8	50.000	53.520	0.3970	Aleshores, clar, hi havia un recopilatori que em va cautivar molt,	candidat ASR; pendent d'audició
small	discurs	clar	8	50.000	53.520	0.3970	Aleshores, clar, hi havia un recopilatori que em va cautivar molt,	candidat ASR; pendent d'audició
small	discurs	no?	16	74.600	76.600	0.4347	d'altres companys, no?	candidat ASR; pendent d'audició
small	discurs	no?	23	106.040	108.400	0.4758	que ja era més rotllo més tecno, no?	candidat ASR; pendent d'audició
small	discurs	aleshores	24	109.680	116.160	0.2998	"Aleshores d'aquí vam passar a la música ""Màquina"" i després ja vam evolucionar cap al ""Hardcore""."	candidat ASR; pendent d'audició
small	discurs	aleshores	28	136.320	140.840	0.1231	I aleshores, doncs, el que és aquesta combinació és bastant bona.	candidat ASR; pendent d'audició
small	discurs	doncs	28	136.320	140.840	0.1231	I aleshores, doncs, el que és aquesta combinació és bastant bona.	candidat ASR; pendent d'audició
small	discurs	doncs	32	152.400	156.120	0.8010	Doncs mira, després d'haver estat punxant amb sales mítiques,	candidat ASR; pendent d'audició
small	discurs	doncs	36	168.640	173.640	0.3766	Doncs la veritat, els millors moments han sigut de rave.	candidat ASR; pendent d'audició
small	discurs	clar	46	207.640	209.240	0.4515	Clar, això és una mica així.	candidat ASR; pendent d'audició
small	discurs	doncs	50	226.280	234.280	0.1774	Doncs si et dic la veritat, després d'haver estat desconectat de la cena musical durant pràcticament una dècada...	candidat ASR; pendent d'audició
