categoria	forma	segment	inici_s	final_s	text_asr	estat
discurs	bueno	12	75.240	81.120	Sí. Bueno, jo crec que i precisament quan la sociologia,	rol Joan Micó provisional; pendent d'audició
discurs	doncs	61	306.200	318.200	Doncs una senyora anantolla que està treballant de cuidadora o de netejar no que sigui, que en major part són dones.	rol Joan Micó provisional; pendent d'audició
discurs	vull dir	62	318.200	324.200	Vull dir que això és una desigualtat que no una persona que treballa a l'administració, que té un carrer cal i que és una dona.	rol Joan Micó provisional; pendent d'audició
discurs	bueno	81	403.960	414.920	Sí, sí, sí, al final també és la, bueno, el monument feminista és una gran revolució que hem tingut.	rol Joan Micó provisional; pendent d'audició
discurs	bé	82	414.920	422.280	I el monument feminista ha passat i que està molt bé amb el fet que les dones podien fer les mateixes coses que els som a més.	rol Joan Micó provisional; pendent d'audició
discurs	o sigui	84	426.920	435.520	O sigui, la paraquesta de cura en un sistema, que tot el que ens paga no es valora.	rol Joan Micó provisional; pendent d'audició
discurs	vull dir	106	520.520	528.200	Tinc la sensació, això és collita pròpia, de que ho tenim tots plegats i tots plegats, vull dir, homes i dones, molt interioritzats.	rol Joan Micó provisional; pendent d'audició
discurs	o sigui	109	542.360	549.600	I ja veig, o sigui, el fet d'aquesta vegada, o sigui, el que es tracta és que es valori aquesta feina.	rol Joan Micó provisional; pendent d'audició
discurs	bueno	118	591.920	594.920	-Bueno, això és... Home, jo crec que ara això...	rol Joan Micó provisional; pendent d'audició
discurs	bueno	159	736.120	740.440	Clar, bueno, jo crec que poden ser polítiques puntuals,	rol Joan Micó provisional; pendent d'audició
discurs	clar	159	736.120	740.440	Clar, bueno, jo crec que poden ser polítiques puntuals,	rol Joan Micó provisional; pendent d'audició
discurs	de fet	166	766.480	772.080	A final, això no ha de ser tan important. De fet, doncs el que dius, tu abans, a vegades,	rol Joan Micó provisional; pendent d'audició
discurs	doncs	166	766.480	772.080	A final, això no ha de ser tan important. De fet, doncs el que dius, tu abans, a vegades,	rol Joan Micó provisional; pendent d'audició
discurs	clar	210	965.000	971.320	però si això ho tenim clar, és impensable pensar que totes d'un país, que són milions, siguin iguals.	rol Joan Micó provisional; pendent d'audició
discurs	clar	217	1001.080	1006.160	Clar, no és un país petit, llavors això és no tan menys, però sí que és veritat que depèn dels vius,	rol Joan Micó provisional; pendent d'audició
discurs	llavors	217	1001.080	1006.160	Clar, no és un país petit, llavors això és no tan menys, però sí que és veritat que depèn dels vius,	rol Joan Micó provisional; pendent d'audició
discurs	perquè	227	1055.960	1066.960	I això sí, perquè s'ha de valorar i s'ha de donar les possibilitats perquè tot el món o totes les persones puguin tenir les mateixes oportunitats.	rol Joan Micó provisional; pendent d'audició
discurs	clar	255	1170.720	1179.840	i llavors això, és clar, hem d'assumir que això és una normalitat i que la llenem de buscar que tinguin total...	rol Joan Micó provisional; pendent d'audició
discurs	llavors	255	1170.720	1179.840	i llavors això, és clar, hem d'assumir que això és una normalitat i que la llenem de buscar que tinguin total...	rol Joan Micó provisional; pendent d'audició
discurs	perquè	261	1217.000	1221.480	-Sí, ara et deixes més tocat perquè jo parlo de fa 40 anys. -No, però sí.	rol Joan Micó provisional; pendent d'audició
discurs	bueno	263	1226.840	1234.000	Bueno, canvi de tema, però una cosa interessant és que algun treball que hem fet sobre pobreza també passa igual.	rol Joan Micó provisional; pendent d'audició
discurs	vull dir	289	1328.880	1334.000	Vull dir que, al final, els nens tampoc fan una altra cosa que imita el que fem fora.	rol Joan Micó provisional; pendent d'audició
