categoria	forma	small	base	consens	estat
discurs	a nivell	19	19	sí	ASR textual; pendent d'audició
discurs	a veure	5	4	sí	ASR textual; pendent d'audició
discurs	aleshores	0	0	no	ASR textual; pendent d'audició
discurs	aviam	0	0	no	ASR textual; pendent d'audició
discurs	bueno	11	19	sí	ASR textual; pendent d'audició
discurs	bé	20	22	sí	ASR textual; pendent d'audició
discurs	clar	62	75	sí	ASR textual; pendent d'audició
discurs	de fet	3	2	sí	ASR textual; pendent d'audició
discurs	diguem	2	1	sí	ASR textual; pendent d'audició
discurs	doncs	36	38	sí	ASR textual; pendent d'audició
discurs	evidentment	3	3	sí	ASR textual; pendent d'audició
discurs	llavors	10	2	sí	ASR textual; pendent d'audició
discurs	no?	14	21	sí	ASR textual; pendent d'audició
discurs	o sigui	3	1	sí	ASR textual; pendent d'audició
discurs	per tant	27	41	sí	ASR textual; pendent d'audició
discurs	perquè	90	97	sí	ASR textual; pendent d'audició
discurs	vull dir	1	2	sí	ASR textual; pendent d'audició
discurs	és a dir	30	28	sí	ASR textual; pendent d'audició
territorial	Canillo	0	0	no	ASR textual; pendent d'audició
territorial	Escaldes	0	0	no	ASR textual; pendent d'audició
territorial	Massana	1	0	no	ASR textual; pendent d'audició
territorial	Ordino	0	0	no	ASR textual; pendent d'audició
territorial	Sant Julià	1	1	sí	ASR textual; pendent d'audició
territorial	aiguats	0	0	no	ASR textual; pendent d'audició
territorial	andorrana	0	0	no	ASR textual; pendent d'audició
territorial	comunal	2	2	sí	ASR textual; pendent d'audició
territorial	comunals	4	4	sí	ASR textual; pendent d'audició
territorial	comuns	0	0	no	ASR textual; pendent d'audició
territorial	comú	4	4	sí	ASR textual; pendent d'audició
territorial	copríncep	0	0	no	ASR textual; pendent d'audició
territorial	coprínceps	0	0	no	ASR textual; pendent d'audició
territorial	padrí	0	0	no	ASR textual; pendent d'audició
territorial	parròquia	1	1	sí	ASR textual; pendent d'audició
territorial	santuari	0	0	no	ASR textual; pendent d'audició
territorial	veguer	0	0	no	ASR textual; pendent d'audició
