categoria	forma	small	base	consens	estat
discurs	a nivell	1	2	sí	ASR textual; pendent d'audició
discurs	a veure	4	6	sí	ASR textual; pendent d'audició
discurs	aleshores	0	2	no	ASR textual; pendent d'audició
discurs	aviam	0	0	no	ASR textual; pendent d'audició
discurs	bueno	2	1	sí	ASR textual; pendent d'audició
discurs	bé	4	4	sí	ASR textual; pendent d'audició
discurs	clar	0	4	no	ASR textual; pendent d'audició
discurs	de fet	1	1	sí	ASR textual; pendent d'audició
discurs	diguem	1	0	no	ASR textual; pendent d'audició
discurs	doncs	5	16	sí	ASR textual; pendent d'audició
discurs	evidentment	3	7	sí	ASR textual; pendent d'audició
discurs	llavors	0	0	no	ASR textual; pendent d'audició
discurs	no?	2	5	sí	ASR textual; pendent d'audició
discurs	o sigui	1	1	sí	ASR textual; pendent d'audició
discurs	per tant	0	0	no	ASR textual; pendent d'audició
discurs	perquè	8	20	sí	ASR textual; pendent d'audició
discurs	vull dir	0	0	no	ASR textual; pendent d'audició
discurs	és a dir	3	5	sí	ASR textual; pendent d'audició
territorial	Canillo	0	0	no	ASR textual; pendent d'audició
territorial	Escaldes	0	0	no	ASR textual; pendent d'audició
territorial	Massana	0	0	no	ASR textual; pendent d'audició
territorial	Ordino	0	0	no	ASR textual; pendent d'audició
territorial	Sant Julià	0	0	no	ASR textual; pendent d'audició
territorial	aiguats	0	0	no	ASR textual; pendent d'audició
territorial	andorrana	0	0	no	ASR textual; pendent d'audició
territorial	comunal	0	0	no	ASR textual; pendent d'audició
territorial	comunals	0	0	no	ASR textual; pendent d'audició
territorial	comuns	0	0	no	ASR textual; pendent d'audició
territorial	comú	1	1	sí	ASR textual; pendent d'audició
territorial	copríncep	0	0	no	ASR textual; pendent d'audició
territorial	coprínceps	0	0	no	ASR textual; pendent d'audició
territorial	padrí	0	0	no	ASR textual; pendent d'audició
territorial	parròquia	0	0	no	ASR textual; pendent d'audició
territorial	santuari	0	0	no	ASR textual; pendent d'audició
territorial	veguer	0	0	no	ASR textual; pendent d'audició
