categoria	forma	small	base	consens	estat
discurs	a nivell	1	0	no	ASR textual; pendent d'audició
discurs	a veure	14	14	sí	ASR textual; pendent d'audició
discurs	aleshores	13	5	sí	ASR textual; pendent d'audició
discurs	aviam	0	0	no	ASR textual; pendent d'audició
discurs	bueno	9	13	sí	ASR textual; pendent d'audició
discurs	bé	21	23	sí	ASR textual; pendent d'audició
discurs	clar	15	12	sí	ASR textual; pendent d'audició
discurs	de fet	1	0	no	ASR textual; pendent d'audició
discurs	diguem	0	1	no	ASR textual; pendent d'audició
discurs	doncs	32	35	sí	ASR textual; pendent d'audició
discurs	evidentment	7	7	sí	ASR textual; pendent d'audició
discurs	llavors	1	1	sí	ASR textual; pendent d'audició
discurs	no?	16	19	sí	ASR textual; pendent d'audició
discurs	o sigui	0	0	no	ASR textual; pendent d'audició
discurs	per tant	8	8	sí	ASR textual; pendent d'audició
discurs	perquè	26	27	sí	ASR textual; pendent d'audició
discurs	vull dir	7	8	sí	ASR textual; pendent d'audició
discurs	és a dir	2	4	sí	ASR textual; pendent d'audició
territorial	Canillo	2	0	no	ASR textual; pendent d'audició
territorial	Escaldes	3	2	sí	ASR textual; pendent d'audició
territorial	Massana	0	0	no	ASR textual; pendent d'audició
territorial	Ordino	0	0	no	ASR textual; pendent d'audició
territorial	Sant Julià	0	0	no	ASR textual; pendent d'audició
territorial	aiguats	0	0	no	ASR textual; pendent d'audició
territorial	andorrana	0	0	no	ASR textual; pendent d'audició
territorial	comunal	0	0	no	ASR textual; pendent d'audició
territorial	comunals	0	0	no	ASR textual; pendent d'audició
territorial	comuns	0	0	no	ASR textual; pendent d'audició
territorial	comú	1	2	sí	ASR textual; pendent d'audició
territorial	copríncep	0	0	no	ASR textual; pendent d'audició
territorial	coprínceps	0	0	no	ASR textual; pendent d'audició
territorial	padrí	0	0	no	ASR textual; pendent d'audició
territorial	parròquia	2	4	sí	ASR textual; pendent d'audició
territorial	santuari	0	0	no	ASR textual; pendent d'audició
territorial	veguer	0	0	no	ASR textual; pendent d'audició
