forma	id_persona	interval_escolta	interval_base	clip	estat_clip	sha256	duracio_s
bé	pa-001	49.17-54.35		clips/pa-001__b__49.17.wav	existent-extraient-sense-overlap	e30d5df251638f7c7f0edd9cc400f8c4eea5af967862abd6906dad2785fe1670	5.180
bé	pa-002	348.25-355.75		clips/pa-002__b__348.25.wav	existent-extraient-sense-overlap	4e31cb66ba3c12e600dd20dfe1255aa214a465a49eb98dce47e2b589649517b8	7.500
bé	pa-003	0.00-7.19		clips/pa-003__b__0.00.wav	existent-extraient-sense-overlap	008eb3fe6d9be6fb42738890fa5177d68247f534391c20920525c41994e35dd1	7.190
bé	pa-004	319.61-322.59	319.32-321.32	clips/pa-004__b__319.61.wav	existent	df7d24cb4e6e4fad2990bb079bddcc77304bfd0271739dcac0bfd3c31fc3d9f8	2.980
bé	pa-005	51.09-56.07	51.80-55.36	clips/pa-005__b__51.09.wav	existent	705d6cb898f2bf5527351d34b6efec68717e495cf43064cdd8b8546d677dda0f	4.980
bé	pa-006	151.25-159.75	154.68-158.84	clips/pa-006__b__151.25.wav	existent	8ecb14864a2cbc485956de412094aeebb300609ce9ce7058fe118bb9d3351ed9	8.500
bé	pa-007	59.25-66.75	59.72-65.24	clips/pa-007__b__59.25.wav	existent	7bcafbd2c7cfcd294fc5f3127d39c12303eba4ce1e54675fd5e7be02556993a9	7.500
bé	pa-008	61.25-65.75	63.08-64.88	clips/pa-008__b__61.25.wav	existent	2ba6447522d9e1a68ddefe23659bbbb2019f14d192b88b5d3c76ec9645fd7d72	4.500
bé	pa-009	557.25-561.75	557.76-563.20	clips/pa-009__b__557.25.wav	existent	b2df5a5659372b5420f121ee03d4321eb31516e78dc9f30f2d4c47056c949be1	4.500
bé	pa-010	24.65-31.67	27.32-31.00	clips/pa-010__b__24.65.wav	existent	309b173e7d6f30301d9e7648b7163fb5f2d33aa940f2eaa4129fa4ee34282ff2	7.020
bé	pa-011	185.57-189.31	186.32-188.52	clips/pa-011__b__185.57.wav	existent	034b819677a59b8d383b5ddb60c9951a3331f66f42a86724202ce1b2c815ec04	3.740
