id_persona	cluster	distancia_centre	ratio_veu	rms_db_median	zcr_median	f0_median_hz	f0_p10_hz	f0_p90_hz	paraules_minut_span	pausa_percent_span	estat_cluster
pa-001	prosodia-2	1.999	0.6582	-29.1000	0.0563	211.9100	99.4100	298.7400	167.5500	3.1500	exploratori; revisió auditiva pendent
pa-002	prosodia-4	2.350	0.4450	-37.0000	0.0689	275.0300	182.4300	349.8500	129.7700	0.3800	exploratori; revisió auditiva pendent
pa-003	prosodia-3	1.951	0.6712	-26.7600	0.0782	301.0700	171.1600	347.4800	121.1300	0.0000	exploratori; revisió auditiva pendent
pa-004	prosodia-4	2.448	0.2292	-40.0100	0.0595	307.2600	141.1100	340.7800	140.4600	3.4700	exploratori; revisió auditiva pendent
pa-005	prosodia-4	4.438	0.0405	-43.9200	0.0923	217.3500	161.4500	262.4300	131.2600	1.8000	exploratori; revisió auditiva pendent
pa-006	prosodia-2	2.543	0.5268	-34.2000	0.0376	152.8200	102.4600	298.7600	154.7800	1.2400	exploratori; revisió auditiva pendent
pa-007	prosodia-3	1.890	0.5486	-33.1900	0.1002	244.3800	147.3300	316.8500	138.2300	0.0000	exploratori; revisió auditiva pendent
pa-008	prosodia-2	1.722	0.4359	-36.4100	0.0798	175.8600	126.2800	314.3800	143.6500	4.9100	exploratori; revisió auditiva pendent
pa-009	prosodia-2	2.680	0.5436	-33.9000	0.0861	188.1500	156.2000	274.7500	176.9900	0.0000	exploratori; revisió auditiva pendent
pa-010	prosodia-2	1.125	0.5825	-32.1900	0.0704	182.5000	101.0400	313.3000	139.2900	0.0000	exploratori; revisió auditiva pendent
pa-011	prosodia-3	2.110	0.5651	-32.8400	0.1158	231.5500	181.1500	354.5900	154.6800	6.1300	exploratori; revisió auditiva pendent
pa-012	prosodia-3	3.660	0.6375	-24.9300	0.1346	277.1400	209.8000	346.2700	94.3100	2.4400	exploratori; revisió auditiva pendent
