ordre	id	candidate	forma	clip	inici_s	final_s	prioritat	small	base	font	sha256	transcripcio_small	transcripcio_base	estat_audicio	veu_confirmada	forma_confirmada	variant_transcrita	trets_fonetics_observats	observacions_prosodiques	nota_audicio
1	lead-cg-001-xavier-espot::perquè::10::2	lead-cg-001-xavier-espot	perquè	candidats/lead-cg-001-xavier-espot/clips/xavier-espot__perqu__37.88.wav	36.880	42.040	A-consens-ASR	1	1	https://www.consellgeneral.ad/ca/videos/sessions-del-consell-general/any-2019/discurs-programa-del-candidat-xavier-espot-zamora	43a6c7ae638f3039ae8cb3741bedfc05ff9379d7776d5aeb24fdbcaafd040b31	candidats/lead-cg-001-xavier-espot/asr/xavier-espot.txt	candidats/lead-cg-001-xavier-espot/asr/xavier-espot-base.txt	pendent	pendent	pendent				
2	lead-cg-002-pere-lopez::perquè::12::1	lead-cg-002-pere-lopez	perquè	candidats/lead-cg-002-pere-lopez/clips/pere-lopez__perqu__48.40.wav	47.400	55.800	A-consens-ASR	1	1	https://www.consellgeneral.ad/ca/videos/sessions-del-consell-general/any-2019/discurs-programa-del-candidat-pere-lopez-agras	fb53388faa7e62716cdc22b1c57ab1be4b5500d4f263bb3f8fa8f1182febb07e	candidats/lead-cg-002-pere-lopez/asr/pere-lopez.txt	candidats/lead-cg-002-pere-lopez/asr/pere-lopez-base.txt	pendent	pendent	pendent				
3	lead-rtva-001::a veure::32::1	lead-rtva-001	a veure	candidats/lead-rtva-001/clips/joan__a-veure__94.36.wav	93.360	97.480	A-consens-ASR	4	3		ea5ab222f2945136aa5cfb7d8aa3901774dff543ee9bed208f513bfaf28fb8c7	candidats/lead-rtva-001/asr/joan-verdu.txt	candidats/lead-rtva-001/asr/joan-verdu-base.txt	pendent	pendent	pendent				
4	lead-rtva-002-ian-moya::Escaldes::10::14	lead-rtva-002-ian-moya	Escaldes	candidats/lead-rtva-002-ian-moya/clips/ian__escaldes__56.96.wav	55.960	61.560	A-consens-ASR	3	1	https://mediaverse.rtva.hiway.media/audio/2026/02/23/699c9090/20260223-ENTREVISTA---Iann-Moya---Primer-Andorr--a-Euphoria---20260223-ENTREVISTA---Iann-Moya---Primer-Andorr--a-Euphoria---.mp3?t=	03e2073993cf25cf415a94040d5d04e8b1d3386b88e2adbda3ef08f6a7cb3a7b	candidats/lead-rtva-002-ian-moya/asr/ian-moya.txt	candidats/lead-rtva-002-ian-moya/asr/ian-moya-base.txt	pendent	pendent	pendent				
5	lead-rtva-003-dj-neura::a veure::5::1	lead-rtva-003-dj-neura	a veure	candidats/lead-rtva-003-dj-neura/clips/dj-neura__a-veure__33.00.wav	32.000	40.000	A-consens-ASR	1	2	https://mediaverse.rtva.hiway.media/audio/67dd58e9/fqel_20241229_dj_neura.mp3?t=	7435ab18dbd57227dc38df9e594449f71d8baef1094891854b67ef7902275a6f	candidats/lead-rtva-003-dj-neura/asr/dj-neura.txt	candidats/lead-rtva-003-dj-neura/asr/dj-neura-base.txt	pendent	pendent	pendent				
6	lead-rtva-004-joan-mico::per tant::5::9	lead-rtva-004-joan-mico	per tant	candidats/lead-rtva-004-joan-mico/clips/joan-mico__per-tant__42.28.wav	41.280	49.640	A-consens-ASR	2	1	https://www.rtva.ad/programes/entrevista-joan-mico	881554c8bd53be8c06e8f488fa522a500ca73c1ede546cf80940393feaae91a1	candidats/lead-rtva-004-joan-mico/asr/joan-mico.txt	candidats/lead-rtva-004-joan-mico/asr/joan-mico-base.txt	pendent	pendent	pendent				
7	lead-rtva-005-carine-montaner::bé::26::4	lead-rtva-005-carine-montaner	bé	candidats/lead-rtva-005-carine-montaner/clips/carine-montaner__b__82.12.wav	81.120	87.080	A-consens-ASR	20	22	https://www.rtva.ad/programes/entrevista-presidenta-grup-parlamentari-andorra-endavant-carine	59017f48b02d299c4b4927c65cdbfb753d140fd88310ac08afe6798ed40390e8	candidats/lead-rtva-005-carine-montaner/asr/carine-montaner.txt	candidats/lead-rtva-005-carine-montaner/asr/carine-montaner-base.txt	pendent	pendent	pendent				
8	lead-rtva-006-jaume-tomas::doncs::9::6	lead-rtva-006-jaume-tomas	doncs	candidats/lead-rtva-006-jaume-tomas/clips/jaume-tomas__doncs__35.36.wav	34.360	38.120	A-consens-ASR	11	4	https://www.rtva.ad/programes/entrevista-jaume-tomas-director-tecnic-fab	88e63e6f8c8a3533b85a9916cd1c003b938f606448d13a6a23bdd7bbd5c2423d	candidats/lead-rtva-006-jaume-tomas/asr/jaume-tomas.txt	candidats/lead-rtva-006-jaume-tomas/asr/jaume-tomas-base.txt	pendent	pendent	pendent				
9	lead-rtva-007-robert-guirao::doncs::2::6	lead-rtva-007-robert-guirao	doncs	candidats/lead-rtva-007-robert-guirao/clips/robert-guirao__doncs__6.84.wav	5.840	9.520	A-consens-ASR	5	16	https://www.rtva.ad/programes/entrevista-robert-guirao	f840803a8c1bf37e51e27b4b4816f75d3297e0425f0e3eb91d844ed48e851db8	candidats/lead-rtva-007-robert-guirao/asr/robert-guirao.txt	candidats/lead-rtva-007-robert-guirao/asr/robert-guirao-base.txt	pendent	pendent	pendent				
10	lead-rtva-008-mireia-pedescoll::doncs::2::6	lead-rtva-008-mireia-pedescoll	doncs	candidats/lead-rtva-008-mireia-pedescoll/clips/mireia-pedescoll__doncs__11.20.wav	10.200	14.200	A-consens-ASR	32	35	https://www.rtva.ad/programes/entrevista-mireia-pedescoll	ba9f57403a1f9d87e9d4fc15bb5634261174aace8e86d5f6249585d022b622df	candidats/lead-rtva-008-mireia-pedescoll/asr/mireia-pedescoll.txt	candidats/lead-rtva-008-mireia-pedescoll/asr/mireia-pedescoll-base.txt	pendent	pendent	pendent				
11	lead-cg-003-roser-sune::a nivell::64::1	lead-cg-003-roser-sune	a nivell	candidats/lead-cg-003-roser-sune/clips/roser-sune__a-nivell__229.92.wav	228.920	233.120	B-un-model-ASR	1	0	https://www.consellgeneral.ad/ca/videos/sessions-del-consell-general/any-2022/14-03-2022-sessio-tradicional-de-la-constitucio	00a2942ffd71270059271f6c0a3cab3d625e7e80645edfa3ae5f420eacfee3d9	candidats/lead-cg-003-roser-sune/asr/roser-sune-full.txt	candidats/lead-cg-003-roser-sune/asr/roser-sune-full-base.txt	pendent	pendent	pendent				
12	lead-cg-001-xavier-espot::per tant::26::1	lead-cg-001-xavier-espot	per tant	candidats/lead-cg-001-xavier-espot/clips/xavier-espot__per-tant__91.48.wav	90.480	97.240	A-consens-ASR	1	1	https://www.consellgeneral.ad/ca/videos/sessions-del-consell-general/any-2019/discurs-programa-del-candidat-xavier-espot-zamora	356be42cadead30500e8d6d13121a7dbc9d7182bc7d58e1de37615f945c028bd	candidats/lead-cg-001-xavier-espot/asr/xavier-espot.txt	candidats/lead-cg-001-xavier-espot/asr/xavier-espot-base.txt	pendent	pendent	pendent				
13	lead-cg-001-xavier-espot::comú::29::3	lead-cg-001-xavier-espot	comú	candidats/lead-cg-001-xavier-espot/clips/xavier-espot__com__103.48.wav	102.480	108.480	A-consens-ASR	1	1	https://www.consellgeneral.ad/ca/videos/sessions-del-consell-general/any-2019/discurs-programa-del-candidat-xavier-espot-zamora	d2c52277d3ff8739fd2c49ea6f5e01d2ea14f79dfcb7992e979714af414c546d	candidats/lead-cg-001-xavier-espot/asr/xavier-espot.txt	candidats/lead-cg-001-xavier-espot/asr/xavier-espot-base.txt	pendent	pendent	pendent				
14	lead-rtva-001::bueno::60::2	lead-rtva-001	bueno	candidats/lead-rtva-001/clips/joan__bueno__175.96.wav	174.960	181.040	A-consens-ASR	6	10		a2226d387a1de5f364509c31183e056411a48f843a9ca890eca1230827c506a6	candidats/lead-rtva-001/asr/joan-verdu.txt	candidats/lead-rtva-001/asr/joan-verdu-base.txt	pendent	pendent	pendent				
15	lead-rtva-001::doncs::111::3	lead-rtva-001	doncs	candidats/lead-rtva-001/clips/joan__doncs__324.00.wav	323.000	328.400	A-consens-ASR	8	12		636551be991f085a2cae4b84646fcdec8369f542d469ab112b163a78468b8707	candidats/lead-rtva-001/asr/joan-verdu.txt	candidats/lead-rtva-001/asr/joan-verdu-base.txt	pendent	pendent	pendent				
