ordre	id_persona	inici_s	durada_s	clip	transcripcio	ratio_uniques	text_qa	text_small	jaccard_tokens	consens_textual	veu_proporcio	f0_median_hz	f0_iqr_hz	pausa_mediana_s	veu	decisio	variant_transcrita	trets_fonetics_observats	observacions_prosodiques	nota_audicio	estat_audicio
1	pa-044	20	20.000	clips-quarantena-20s/pa-044__0020.wav	qa-quarantena-20s/pa-044__0020.txt	1.0000	El lliminar la identitat pròpia per assumir la identitat dels nens  és el primer pas pel camí del progès i del coneixement d'un país.  Avui parlarem de una persona dedicada integrament a la seva professió,  Aleshores...	I el que ha de fer és agafar l'identitat pròpia.  Eliminar l'identitat pròpia per assumir la identitat dels demés  és el primer pas pel camí del progrés i del coneixement d'un país.  Avui parlarem d'una persona dedicada a la seva professió.	0.5714	no	0.5526	164.06	46.88	0.080	pendent	pendent					pendent
2	pa-044	80	20.000	clips-quarantena-20s/pa-044__0080.wav	qa-quarantena-20s/pa-044__0080.txt	1.0000	ensenyat-les.  Així va néixer l'humanisme.  Partit del principi més elemental,  arribar a aconseguir una identitat  i el que és més maravallós,  compartir-la amb les entitats als altres.	i ensenyar-les.  Així va néixer l'humanisme,  partint del principi més elemental,  arribar a aconseguir una identitat.  I el que és més meravellós,  compartir-la amb les entitats dels altres.	0.6250	no	0.5045	226.56	117.19	0.040	pendent	pendent					pendent
3	pa-044	140	20.000	clips-quarantena-20s/pa-044__0140.wav	qa-quarantena-20s/pa-044__0140.txt	1.0000	El seu fill, el meu avi, ja va fer transport de mercaderies  i més a més va fer de transport de persones.  I era pràcticament el moleteu, el chauffer, el macho,  del visbidurgell, el veguer francès,  que venien els nàbils buscant al seu, els nàbils capranç,  es portàvem aquí.	I el seu fill, el meu avi, ja va fer transport de mercaderies  i a més a més va fer transport de persones.  I era pràcticament el moleteu, el xòfer, el macho,  del bisbe d'orgèl, del veguer francès,  que venia als nàvies a buscar la seu,  als nàvies a buscar la França, es portava aquí.	0.5778	no	0.7958	273.44	138.67	0.040	pendent	pendent					pendent
4	pa-044	200	20.000	clips-quarantena-20s/pa-044__0200.wav	qa-quarantena-20s/pa-044__0200.txt	1.0000	Hi ha un tema molt curiós i és que, clar,  amb la vostra, jo diria filosofia de la vida,  que sou més aviat de l'Etat,  és perdó, d'alguna manera.  Acabeu de determinar-hi.  La meva primera intenció,  jo que em vaig escavar el vaigillerat, era de ser bogat.  Però em sembla que no m'agrada.	"I hi ha un tema molt curiós,  i és que, és clar, amb la vostra, jo diria, ""filosofia de la vida"",  que sou més aviat de lletres, perdut d'alguna manera,  acabeu de veterinari.  Bueno, la meva primera intenció, jo que em vaig escapar al batxillerat,  era de ser bogat.  Però em sembla molt bé."	0.5357	no	0.6717	234.38	140.62	0.060	pendent	pendent					pendent
5	pa-044	260	20.000	clips-quarantena-20s/pa-044__0260.wav	qa-quarantena-20s/pa-044__0260.txt	1.0000	i sobri vivien a les pràctiques dels alumnes o l'estornaven.  -Sobri vivien? -Sí.  Sí, sí, sí, sí, perquè el final cap és ficar les mans...  Al dintre d'una vaca, per mirar a veure de què passa.  Doncs ja quan vaig arribar aquí, no té moment.  Pràctica de cap no en tenia.  Vaig tenir la sort de què hi havia un personatge...	i sobrevivien a les pràctiques dels alumnes, les tornaven.  -Sobrevivien? -Sí.  Sí, sí, sí, perquè al final cap vaig ficar les mans a dintre d'una vaca,  per mirar a veure de...  -Què passa? -Vale.  Llavors, quan vaig arribar aquí, no és de moment.  Pràctica de camp no en tenia.  Vaig tenir la sort que aquí hi havia un personatge...	0.5714	no	0.6076	273.44	181.64	0.060	pendent	pendent					pendent
6	pa-047	60	20.000	clips-quarantena-20s/pa-047__0060.wav	qa-quarantena-20s/pa-047__0060.txt	1.0000	En el nostre país és el que té un index més elevat de mitjans de comunicació  a audiovisuals i escrites en relació al seu nombre de ciutadans.  Això és voce el periodisme, fos la forma moderna, ágil,  espiritual i fint i tot poètica, d'explicar l'afirament.	El nostre país és el que té un índex més elevat de mitjans de comunicació audiovisuals i escrites en relació al seu nombre de ciutadans.  Això és bo si el periodisme fos la forma moderna, àgil, espiritual i fins i tot poètica d'explicar la filòlegia.	0.6444	no	0.6396	226.56	109.38	0.060	pendent	pendent					pendent
7	pa-047	120	20.000	clips-quarantena-20s/pa-047__0120.wav	qa-quarantena-20s/pa-047__0120.txt	1.0000	que venia esde de Navarra i jo que estava a la mañana de Lleida,  vam començar una amistat  que, com a la pel·lícula Caixa Blanca, ha durat totes les dades.  És vericord, és d'aquí d'aquí d'una manera.  Recordo primer que, com ho t'ho ve n'has dit,  ara pentinen en canes, en aquell moment, tu canes, o n'hi ha.	"Vam començar una amistat que, com a la pel·lícula ""Casa Blanca"",  ha durat tota la vida.  Què recordes d'aquí de l'època?  Recordo, primer, que, com tu ho ve n'has dit,  ara pentinec canes, en aquell moment tu canes, oi?"	0.3667	no	0.6006	210.94	117.19	0.100	pendent	pendent					pendent
8	pa-047	180	20.000	clips-quarantena-20s/pa-047__0180.wav	qa-quarantena-20s/pa-047__0180.txt	1.0000	I el cap d'un test va tornar a via cap aquí i aquí em va quedar.  Però ell abans ho ens comença a corresponsellar-te la mañana.  No estava endrediant d'orra,  que primer tenien que posar el marxa tot un sistema d'informatiu,  perquè redidant d'orra fissa aquella època.	No va arribar un any, va marxar,  i al cap d'un temps va tornar, va tornar a acabar aquí,  i aquí vaig estar, i aquí em vas quedar.  Bueno, però aquí, llavors, vam començar a ser  corresponsals de la mañana, corresponsals de l'Esquadra.  Quan no estàvem radiant d'Horra,  primer, teníem que posar en marxa tot un sistema d'informatiu,  perquè radiant d'Horra fins a aquella època...	0.3000	no	0.5766	226.56	117.19	0.080	pendent	pendent					pendent
9	pa-047	240	20.000	clips-quarantena-20s/pa-047__0240.wav	qa-quarantena-20s/pa-047__0240.txt	1.0000	No hi havia massa esposibilitat,  i el mateix tens és el de sempre que continuaves col·laborant  amb mitjans de comunicació de Catalunya, de Espanya,  d'acord que no es van conèixer tu i jo,  en treballant en la mañana de Yeida,  des que s'estavastien.	No hi havia moltes possibilitats.  El mateix temps continuaves col·laborant  en mitjans de comunicació de Catalunya i d'Espanya.  D'acord que ens vam conèixer tu i jo	0.3902	no	0.5846	273.44	109.38	0.060	pendent	pendent					pendent
10	pa-047	300	20.000	clips-quarantena-20s/pa-047__0300.wav	qa-quarantena-20s/pa-047__0300.txt	1.0000	Era molt difícil la societat d'Andorana no estava acostumada a sentir crítiques a la seva gestió,  i totes tenies que fer un periodisme un poco light.  I si et sordies que va ser mai ocàs, va sortir el que jo considerava que tenia que dir.  L'ho vas dir i vas passar per treure el de balles en la que ja he pogut.	No, era molt difícil, la societat d'Andorra no estava acostumada  a sentir crítiques a la seva gestió,  i que, doncs, tenies que fer un periodisme un poco light.  I si te sorties, que va ser en el meu cas,  va sortir el que jo considerava que tenia que dir.  Lo vas dir i vas passar per terminal de valles en aquella època.	0.5645	no	0.4484	257.81	56.64	0.080	pendent	pendent					pendent
