ordre	id_persona	forma	clip	prob_min	absolute_start_s	absolute_end_s	text	f0_hz	f1_hz	f2_hz	f3_hz	prioritat	decisio_auditiva	variant_transcrita	trets_fonetica	observacions_prosodia	nota_audicio
1	pa-001	evidentment	clips/pa-001__evidentment__1067.69.wav	0.8911	1069.920	1070.050	evidentment	91.79	455.66	1982.25	2714.29	A-molts-parlants					
2	pa-002	reformeta	clips/pa-002__reformeta__12.25.wav	0.3873	15.750	16.650	reformeta		722.84	2133.10	3577.82	C-cobertura-limitada					
3	pa-002	evidentment	clips/pa-002__evidentment__205.25.wav	0.9889	205.860	206.830	evidentment	80.49	781.83	1072.49	2189.95	A-molts-parlants					
4	pa-003	ensenyança	clips/pa-003__ensenyan-a__279.69.wav	0.6760	282.410	283.280	ensenyança	161.49	656.50	854.82	1855.85	D-escassa					
5	pa-003	tirar endavant	clips/pa-003__tirar-endavant__361.93.wav	0.9453	362.910	363.930	tirar endavant		598.99	1996.39	3141.58	B-cobertura-o-confiança					
6	pa-004	evidentment	clips/pa-004__evidentment__522.93.wav	0.9676	526.850	526.900	evidentment	74.80	434.36	2049.83	2923.89	A-molts-parlants					
7	pa-005	o sigui	clips/pa-005__o-sigui__373.33.wav	0.8872	376.930	377.390	O sigui		367.21	2303.18	3409.75	B-cobertura-o-confiança					
8	pa-006	de fet	clips/pa-006__de-fet__285.25.wav	0.8407	286.520	287.320	de fet	122.56	363.37	2364.66	2621.87	C-cobertura-limitada					
9	pa-006	aleshores	clips/pa-006__aleshores__513.25.wav	0.5916	513.280	513.990	Aleshores		1567.02	2587.02	3187.61	C-cobertura-limitada					
10	pa-007	a veure	clips/pa-007__a-veure__89.25.wav	0.9934	90.530	91.050	a veure	145.45	374.23	898.89	2345.39	A-molts-parlants					
11	pa-007	diguem	clips/pa-007__diguem__585.25.wav	0.7294	586.460	586.670	diguem	302.11	327.47	1983.25	2640.08	C-cobertura-limitada					
12	pa-008	a veure	clips/pa-008__a-veure__668.25.wav	0.9915	670.160	670.890	a veure	180.44	533.13	1520.53	2422.28	A-molts-parlants					
13	pa-008	aleshores	clips/pa-008__aleshores__1315.25.wav	0.6411	1316.410	1316.880	Aleshores		802.79	1379.08	2682.19	C-cobertura-limitada					
14	pa-009	bé	clips/pa-009__b__557.25.wav	0.9969	560.310	560.680	bé		358.21	1745.11	2534.70	A-molts-parlants					
15	pa-009	evidentment	clips/pa-009__evidentment__947.25.wav	0.9520	948.250	948.990	evidentment	150.34	457.97	1691.63	2233.40	A-molts-parlants					
16	pa-010	clar	clips/pa-010__clar__334.85.wav	0.9866	338.130	338.350	clar		499.53	1825.84	3431.68	A-molts-parlants					
17	pa-011	bé	clips/pa-011__b__185.57.wav	0.9983	188.490	188.510	bé		798.21	1751.95	3114.63	A-molts-parlants					
18	pa-012	perquè	clips/pa-012__perqu__369.25.wav	0.6158	369.250	369.360	perquè		433.36	1700.56	2252.79	A-molts-parlants					
