id_persona	nom_public	canal	titol	durada_s	llicencia	url
pa-001	Albert Gelabert Grau	Consell General	#ConsellConstituent - Albert Gelabert Grau	1125	no declarada	https://www.youtube.com/watch?v=H1YzDVWz8-U
pa-002	Jordi Farràs Forné	Consell General	#ConsellConstituent - Jordi Farràs Forné	2647	no declarada	https://www.youtube.com/watch?v=pU9nG2c2zX8
pa-003	Roser Bastida	RTVA Andorra	Els primers 30: entrevista Roser Bastida	517	no declarada	https://www.youtube.com/watch?v=IW5OE88C_TQ
pa-004	Francina Pons	Andorra Recerca Innovació	Càpsula #11. Les moles de farina d'Andorra, per  Francina Pons	837	Creative Commons Attribution license (reuse allowed)	https://www.youtube.com/watch?v=1X4uGbdg2iY
pa-005	Ludmilla Lacueva	Andorra Recerca Innovació	Càpsula #13. Els hostals comunals, per  Ludmila Lacueva	949	Creative Commons Attribution license (reuse allowed)	https://www.youtube.com/watch?v=y8DXM2W2QI4
pa-006	Alan Ward	Andorra Recerca Innovació	Càpsula #20. Els molins d'aigua d'Andorra, per  Alan Ward.	659	Creative Commons Attribution license (reuse allowed)	https://www.youtube.com/watch?v=OBz__QiZyiQ
pa-007	Alfred Llahí	Andorra Recerca Innovació	Càpsula #27. Els noms dels carrers andorrans, per Alfred Llahí.	824	Creative Commons Attribution license (reuse allowed)	https://www.youtube.com/watch?v=8zYj5QNt0hA
pa-008	Albert Roig	Andorra Recerca Innovació	Càpsula #34. Les falles d'Andorra, per Albert Roig.	1397	Creative Commons Attribution license (reuse allowed)	https://www.youtube.com/watch?v=2Khh9Z7edcI
pa-009	Robert Lizarte	Andorra Recerca Innovació	Càpsula #40. Les campanes d'Andorra, per  Robert Lizarte	1102	Creative Commons Attribution license (reuse allowed)	https://www.youtube.com/watch?v=Wg5DnvyNwH0
pa-010	Xavier Planas	Andorra Recerca Innovació	Càpsula #45. Toponímia preromana a Andorra, per Xavier Planas.	1051	Creative Commons Attribution license (reuse allowed)	https://www.youtube.com/watch?v=o06GKLl_Jvs
pa-011	Esther Jover	Andorra Recerca Innovació	Càpsula #49. Cal Pal de la Cortinada, per Esther Jover.	588	Creative Commons Attribution license (reuse allowed)	https://www.youtube.com/watch?v=gvDsyvnxSFY
pa-012	Albert Rossa Naudí	Andorra Recerca Innovació	Càpsula #56. La vida a pagès, per Albert Rossa.	742	Creative Commons Attribution license (reuse allowed)	https://www.youtube.com/watch?v=lC14HCz82_Y
pa-013	Ruth Casabella	Andorra Recerca Innovació	Càpsula #57. Un racó d'Escaldes-Engordany, per Ruth Casabella.	1082	Creative Commons Attribution license (reuse allowed)	https://www.youtube.com/watch?v=xyJqeun7e2g
pa-014	Teo Armengol	Andorra Recerca Innovació	Càpsula #66. La dansa tradicional d'Andorra: el contrapàs, per Teo Armengol.	1004	Creative Commons Attribution license (reuse allowed)	https://www.youtube.com/watch?v=YGSaA_njUIo
pa-015	Sara Ubach	Andorra Recerca Innovació	Càpsula #70. La nissaga dels Martí de les Bons, per Sara Ubach.	542	Creative Commons Attribution license (reuse allowed)	https://www.youtube.com/watch?v=e1RPheooiDI
pa-016	Olga Adellach Coma	Consell General	#ConsellConstituent - Olga Adellach Coma	792	no declarada	https://www.youtube.com/watch?v=Zkb4kXbYIJc
pa-017	Nadia Aleix Tugas	Consell General	#ConsellConstituent - Nadia Aleix Tugas	902	no declarada	https://www.youtube.com/watch?v=_GRn2R7IOTs
pa-018	Miquel Aleix Areny	Consell General	#ConsellConstituent - Miquel Aleix Areny	2773	no declarada	https://www.youtube.com/watch?v=cWNPFoyNRxs
pa-019	Pere Altimir Pintat	Consell General	#ConsellConstituent - Pere Altimir Pintat	880	no declarada	https://www.youtube.com/watch?v=aBwACxaRdtQ
pa-020	Guillem Areny Argelich	Consell General	#ConsellConstituent - Guillem Areny Argelich	1487	no declarada	https://www.youtube.com/watch?v=zvzusC5RFWc
pa-021	Josep Areny Fité	Consell General	#ConsellConstituent - Josep Areny Fité	952	no declarada	https://www.youtube.com/watch?v=UvDO-W5T0RI
pa-022	Miquel Armengol Pons	Consell General	#ConsellConstituent - Miquel Armengol Pons	744	no declarada	https://www.youtube.com/watch?v=YHNIO9Hmn7g
pa-023	Antoni Armengol Vila	Consell General	#ConsellConstituent - Antoni Armengol Vila	596	no declarada	https://www.youtube.com/watch?v=JbOnYORyYLo
pa-024	Ladislau Baró Solà	Consell General	#ConsellConstituent - Ladislau Baró Solà	2492	no declarada	https://www.youtube.com/watch?v=qjxFKk8z_9w
pa-025	Jaume Bartumeu Cassany	Consell General	#ConsellConstituent - Jaume Bartumeu Cassany	2113	no declarada	https://www.youtube.com/watch?v=r4_Fb6P2J_4
pa-026	Ramon Canut Bové	Consell General	#ConsellConstituent - Ramon Canut Bové	2149	no declarada	https://www.youtube.com/watch?v=kLeQ6UJthLI
pa-027	Enric Casadevall Medrano	Consell General	#ConsellConstituent - Enric Casadevall Medrano	956	no declarada	https://www.youtube.com/watch?v=Xk0-BQ2W-ww
pa-028	Robert Cassany Vila	Consell General	#ConsellConstituent - Robert Cassany Vila	401	no declarada	https://www.youtube.com/watch?v=GTgD4mGT8xo
pa-029	Gabriel Dallerès Codina	Consell General	#ConsellConstituent - Gabriel Dallerès Codina	1213	no declarada	https://www.youtube.com/watch?v=mZtfU5LUTzg
pa-030	Enric Dolsa Font	Consell General	#ConsellConstituent - Enric Dolsa Font	1144	no declarada	https://www.youtube.com/watch?v=OrPvKUYQUXY
pa-031	Josep Garrallà Rossell	Consell General	#ConsellConstituent - Josep Garrallà Rossell	612	no declarada	https://www.youtube.com/watch?v=9vREIafSlMU
pa-032	Andreu Gaspà Picart	Consell General	#ConsellConstituent - Andreu Gaspà Picart	454	no declarada	https://www.youtube.com/watch?v=MRoHWrKS_8M
pa-033	Antoni Jordi Areny	Consell General	#ConsellConstituent - Antoni Jordi Areny	257	no declarada	https://www.youtube.com/watch?v=rLVdoY2tDuU
pa-034	Rosa Maria Mandicó Alcobé	Consell General	#ConsellConstituent - Rosa Maria Mandicó Alcobé	1268	no declarada	https://www.youtube.com/watch?v=vOucfx_sd4M
pa-035	Josep Marsal Riba	Consell General	#ConsellConstituent - Josep Marsal Riba	1029	no declarada	https://www.youtube.com/watch?v=JGV9XtZYPcw
pa-036	Jordi Mas Torres	Consell General	#ConsellConstituent - Jordi Mas Torres	720	no declarada	https://www.youtube.com/watch?v=s_36ug5eNZo
pa-037	Miquel Naudi Casal	Consell General	#ConsellConstituent - Miquel Naudi Casal	503	no declarada	https://www.youtube.com/watch?v=muwgxm-fqPo
pa-038	Maria Reig Moles	Consell General	#ConsellConstituent - Maria Reig Moles	2176	no declarada	https://www.youtube.com/watch?v=XW1B7wFV3E0
pa-039	Joan Santamaria Terré	Consell General	#ConsellConstituent - Joan Santamaria Terré	654	no declarada	https://www.youtube.com/watch?v=52o5NYxlbWY
pa-040	Jordi Torres Alís	Consell General	#ConsellConstituent - Jordi Torres Alís	250	no declarada	https://www.youtube.com/watch?v=4jPROROmH5k
pa-041	Mercè Segura	RTVA Andorra	Els primers 30: entrevista Mercè Segura	692	no declarada	https://www.youtube.com/watch?v=hGVDNoc9D0I
pa-042	Cielo	RTVA Andorra	Els primers 30: entrevista Cielo, cuinera de l'Escola Andorrana	419	no declarada	https://www.youtube.com/watch?v=0kBz9DT59lU
pa-043	Irene Clua	RTVA Andorra	Els primers 30: Entrevista Irene Clua	148	no declarada	https://www.youtube.com/watch?v=d8BRIvEwyD8
pa-044	Casimir Arajol	RTVA Andorra	IDENTITATS: CASIMIR ARAJOL	1606	no declarada	https://www.youtube.com/watch?v=H8TM9cpxjNI
pa-045	Eudald Guillamet	RTVA Andorra	IDENTITATS: EUDALD GUILLAMET	1608	no declarada	https://www.youtube.com/watch?v=kO-xG3sget4
pa-046	Josep Areny	RTVA Andorra	IDENTITATS: JOSEP ARENY	1265	no declarada	https://www.youtube.com/watch?v=QaksoPLFLuc
pa-047	Gualbert Osorio	RTVA Andorra	IDENTITATS: GUALBERT OSORIO	1572	no declarada	https://www.youtube.com/watch?v=v-JusrQAhzA
pa-048	Antoni Morell	RTVA Andorra	IDENTITATS: ANTONI MORELL	1528	no declarada	https://www.youtube.com/watch?v=w561_gp7M-U
pa-049	Angelina Mas	RTVA Andorra	IDENTITATS: ANGELINA MAS	1596	no declarada	https://www.youtube.com/watch?v=b429vuTkpXU
pa-050	Àngels Mach	RTVA Andorra	IDENTITATS: ÀNGELS MACH	1539	no declarada	https://www.youtube.com/watch?v=XOzHke6mBII
pa-051	Josep Casal	Arxiu d'Etnografia d'Andorra / Arxiu Nacional d'Andorra	Josep Casal — Vides de muntanya. Ramaderia d'alçada	310	© - Només per ús educatiu	https://www.arxiuenlinia.ad/fotoweb/archives/5005-Audiovisual/Audiovisual/AE/AE_0033.mp4.info
pa-052	Rosa Vidal	Arxiu d'Etnografia d'Andorra / Arxiu Nacional d'Andorra	Rosa Vidal — Vides de muntanya. Ramaderia d'alçada	170	© - Només per ús educatiu	https://www.arxiuenlinia.ad/fotoweb/archives/5005-Audiovisual/Audiovisual/AE/AE_0017.mp4.info
pa-053	Pere Torres	Arxiu d'Etnografia d'Andorra / Arxiu Nacional d'Andorra	Pere Torres — Vides de muntanya. Ramaderia d'alçada	252	© - Només per ús educatiu	https://www.arxiuenlinia.ad/fotoweb/archives/5005-Audiovisual/Audiovisual/AE/AE_0011.mp4.info
pa-054	Trini Mandicó Baró	Arxiu d'Etnografia d'Andorra / Arxiu Nacional d'Andorra	Trini Mandicó Baró — Vides de dones	328	© - Només per ús educatiu	https://www.arxiuenlinia.ad/fotoweb/archives/5005-Audiovisual/Audiovisual/AE/AE_0029.mp4.info
pa-055	Ramon Canut Bové	Consell General	#ConsellConstituent - Ramon Canut Bové	2149	no declarada	https://youtu.be/kLeQ6UJthLI
pa-056	Enric Dolsa Font	Consell General	#ConsellConstituent - Enric Dolsa Font	1144	no declarada	https://youtu.be/OrPvKUYQUXY
pa-057	Gabriel Dallerès Codina	Consell General	#ConsellConstituent - Gabriel Dallerès Codina	1213	no declarada	https://youtu.be/mZtfU5LUTzg
pa-058	Miquel Aleix Areny	Consell General	#ConsellConstituent - Miquel Aleix Areny	2773	no declarada	https://youtu.be/cWNPFoyNRxs
pa-059	Nadia Aleix Tugas	Consell General	#ConsellConstituent - Nadia Aleix Tugas	902	no declarada	https://youtu.be/_GRn2R7IOTs
pa-060	Antoni Armengol Vila	Consell General	#ConsellConstituent - Antoni Armengol Vila	596	no declarada	https://youtu.be/JbOnYORyYLo
pa-061	Patrick Pérez	RTVA Andorra	IDENTITATS: PATRICK PÉREZ	1570	no declarada	https://youtu.be/2QI-1wTQjfM
pa-062	Jordi Marquet	RTVA Andorra	IDENTITATS: JORDI MARQUET	1503	no declarada	https://youtu.be/0evP1gRQKzI
pa-063	Roser Jordana	RTVA Andorra	IDENTITATS: ROSER JORDANA	1572	no declarada	https://youtu.be/j0yGAJtaLA8
pa-064	Daniel Armengol	RTVA Andorra	IDENTITATS: DANIEL ARMENGOL	1489	no declarada	https://youtu.be/p7NRiPLEFPo
pa-065	Mossèn Ramon de Canillo	RTVA Andorra	IDENTITATS: MOSSÈN RAMON DE CANILLO	1565	no declarada	https://youtu.be/n0QqCxTzFSA
pa-066	Carles Sasplugas	RTVA Andorra	La memòria dels aiguats: entrevista a Carles Sasplugas	580	no declarada	https://youtu.be/bPZugFJMhl4
