forma	categoria	n_parlants_canònics	n_ocurrencies_asr	n_clips	clips	guia_observacio	camps_a_omplir	estat
Massana	territorial	9	21	3	pa-002::clips-formes-escasses/massana__pa-002__1.wav;pa-007::clips-formes-escasses/massana__pa-007__2.wav;pa-020::clips-formes-escasses/massana__pa-020__3.wav	Confirmar la forma i el sentit; escoltar vocalisme, consonants finals, accent i contacte amb article o preposició; anotar una variant local només si és audible.	decisió, variant, trets fonètics, prosòdia/pauses i observació	pendent d'audició
aiguats	territorial	3	9	3	pa-004::clips-formes-escasses/aiguats__pa-004__1.wav;pa-049::clips-formes-escasses/aiguats__pa-049__2.wav;pa-066::clips-formes-escasses/aiguats__pa-066__3.wav	Confirmar la forma i el sentit; escoltar vocalisme, consonants finals, accent i contacte amb article o preposició; anotar una variant local només si és audible.	decisió, variant, trets fonètics, prosòdia/pauses i observació	pendent d'audició
andorrana	territorial	7	11	3	pa-001::clips-formes-escasses/andorrana__pa-001__1.wav;pa-003::clips-formes-escasses/andorrana__pa-003__2.wav;pa-007::clips-formes-escasses/andorrana__pa-007__3.wav	Confirmar la forma i el sentit; escoltar vocalisme, consonants finals, accent i contacte amb article o preposició; anotar una variant local només si és audible.	decisió, variant, trets fonètics, prosòdia/pauses i observació	pendent d'audició
aviam	discurs	5	9	3	pa-003::clips-formes-escasses/aviam__pa-003__1.wav;pa-014::clips-formes-escasses/aviam__pa-014__2.wav;pa-016::clips-formes-escasses/aviam__pa-016__3.wav	Confirmar la funció discursiva; escoltar reducció vocàlica, contacte entre mots, accent, ritme i frontera prosòdica.	decisió, variant, trets fonètics, prosòdia/pauses i observació	pendent d'audició
comunal	territorial	4	6	3	pa-004::clips-formes-escasses/comunal__pa-004__1.wav;pa-005::clips-formes-escasses/comunal__pa-005__2.wav;pa-020::clips-formes-escasses/comunal__pa-020__3.wav	Confirmar la forma i el sentit; escoltar vocalisme, consonants finals, accent i contacte amb article o preposició; anotar una variant local només si és audible.	decisió, variant, trets fonètics, prosòdia/pauses i observació	pendent d'audició
comunals	territorial	6	8	3	pa-005::clips-formes-escasses/comunals__pa-005__1.wav;pa-016::clips-formes-escasses/comunals__pa-016__2.wav;pa-020::clips-formes-escasses/comunals__pa-020__3.wav	Confirmar la forma i el sentit; escoltar vocalisme, consonants finals, accent i contacte amb article o preposició; anotar una variant local només si és audible.	decisió, variant, trets fonètics, prosòdia/pauses i observació	pendent d'audició
coprínceps	territorial	6	25	3	pa-017::clips-formes-escasses/coprinceps__pa-017__1.wav;pa-025::clips-formes-escasses/coprinceps__pa-025__2.wav;pa-027::clips-formes-escasses/coprinceps__pa-027__3.wav	Confirmar la forma i el sentit; escoltar vocalisme, consonants finals, accent i contacte amb article o preposició; anotar una variant local només si és audible.	decisió, variant, trets fonètics, prosòdia/pauses i observació	pendent d'audició
padrí	territorial	5	7	3	pa-009::clips-formes-escasses/padri__pa-009__1.wav;pa-014::clips-formes-escasses/padri__pa-014__2.wav;pa-050::clips-formes-escasses/padri__pa-050__3.wav	Confirmar la forma i el sentit; escoltar vocalisme, consonants finals, accent i contacte amb article o preposició; anotar una variant local només si és audible.	decisió, variant, trets fonètics, prosòdia/pauses i observació	pendent d'audició
santuari	territorial	4	7	3	pa-009::clips-formes-escasses/santuari__pa-009__1.wav;pa-045::clips-formes-escasses/santuari__pa-045__2.wav;pa-048::clips-formes-escasses/santuari__pa-048__3.wav	Confirmar la forma i el sentit; escoltar vocalisme, consonants finals, accent i contacte amb article o preposició; anotar una variant local només si és audible.	decisió, variant, trets fonètics, prosòdia/pauses i observació	pendent d'audició
veguer	territorial	7	9	3	pa-001::clips-formes-escasses/veguer__pa-001__1.wav;pa-002::clips-formes-escasses/veguer__pa-002__2.wav;pa-025::clips-formes-escasses/veguer__pa-025__3.wav	Confirmar la forma i el sentit; escoltar vocalisme, consonants finals, accent i contacte amb article o preposició; anotar una variant local només si és audible.	decisió, variant, trets fonètics, prosòdia/pauses i observació	pendent d'audició
